,pls_74_12012022,pls_71_a_12012022,pls_106_13012022,pls_104_13012022,pls_102_13012022,pls_100_13012022,pls_76_13012022,pls_103_14012022,pls_101_REP_14012022,pls_75_13012022,DSS73_REP_190124,DSS76_REP_190124,DSS77_REP_190124,DSST0.7_180124
,DSS_T0,DSS_T0,DSS_T0,DSS_T0,DSS_T0,DSS_T0,DSS_T0,DSS_T0,DSS_T0,DSS_T0,DSS_T0,DSS_T0,DSS_T0,DSS_T0
Decanoic acid,5.499730852486234,5.737137670589088,5.558969206124991,5.75666867888244,5.549202193259483,5.76231328903666,5.784702691062792,5.544836731362195,5.673595168876799,5.692241878698506,0.0,0.0,2.698142732715754,0.0
Dehydronorketamine,4.244297573734362,2.6609536820311166,4.209415145623291,2.5406123921824073,0.0,4.906959996998343,5.287983655164429,4.063424495300814,0.0,4.625561687824784,0.0,0.0,0.0,0.0
Delorazepam,0.0,5.253090899274637,0.0,6.766104637890237,0.0,0.0,5.091587320730978,5.106315405619638,0.0,0.0,6.010454313684104,0.0,5.80294115047063,5.8605532538420135
Deoxycholic Acid,0.0,3.497406187930362,3.715648174397955,0.0,5.438646792988052,0.0,3.6838108993516623,3.442043934895518,3.3846153706284774,3.939354447180698,4.299996254012971,4.024261447787437,4.00416856296305,5.210279992209732
Desmosterol,3.791833110725299,3.819215140337515,4.1308829294485525,4.092555506316518,3.555530293764154,3.904967727913285,4.071209539161491,3.9432010365993126,4.059932020234461,4.086262884614767,0.0,3.977828200198708,3.875550647694536,3.7794982518977904
Dicyclohexylamine,0.0,0.0,7.13152853055208,0.0,0.0,0.0,7.470143177215672,6.896327327084365,0.0,0.0,5.887257645521012,0.0,0.0,6.863654918389031
Dihydrouracil,6.658152566855427,6.889260553144111,6.761337247589245,7.000614102298623,6.585024141304723,6.572532981452131,6.82626950823218,6.68544304188562,6.928806231192552,6.751852543286531,7.734804705096899,7.593011756790707,7.434439625504444,6.897645887808538
Dimethyl fumarate,4.326119440683479,4.505579676632082,4.8367489574854385,0.0,4.497564438495225,4.570454330799392,3.558122007459798,4.595078791815183,4.784148889217868,4.410937805788608,4.577723280056515,4.572200615081486,0.0,0.0
"Dimethyl hexopyranosiduronate, alpha-D-",0.0,0.0,0.0,0.0,0.0,5.593119124933257,0.0,0.0,0.0,6.479984315337569,6.204249358438678,6.189009049298386,6.664330654965403,5.491821731917506
Dinoseb ,0.0,0.0,0.0,4.237921238822032,0.0,0.0,0.0,0.0,0.0,0.0,3.013107967599765,2.94991844976863,2.6907489492982584,3.005701044397346
