cpx_gene,pls_metabolite,VECPAC r,VECPAC p-values,VECPAC n,DSS r,DSS p-values,DSS n,LPS r,LPS p-values,LPS n,Pooled r,Pooled p-values,Pooled n,r Count,Consistent,Sign,edge_dir,Pooled FDR
ENSMUSG00000032724-P,"L-Lysine, ethyl ester ",0.353553391,0.559404344,5,0.8,0.2,4,,,0,0.452601905,0.221216595,9,2,TRUE,+,1,0.482527724
ENSMUSG00000023236-P,"L-Lysine, ethyl ester ",0.353553391,0.559404344,5,0.2,0.8,4,,,0,0.06092718,0.876263484,9,2,TRUE,+,1,0.919964735
ENSMUSG00000026483-P,"L-Lysine, ethyl ester ",-0.353553391,0.559404344,5,-0.8,0.2,4,,,0,-0.504825202,0.165720677,9,2,TRUE,-,-1,0.434772605
ENSMUSG00000057738-P,"L-Lysine, ethyl ester ",-0.353553391,0.559404344,5,-0.4,0.6,4,,,0,-0.670198975,0.048229312,9,2,TRUE,-,-1,0.289244323
ENSMUSG00000032301-P,"L-Lysine, ethyl ester ",0.707106781,0.181690114,5,1,0,4,,,0,0.774645569,0.014235675,9,2,TRUE,+,1,0.20430774
ENSMUSG00000010607-P,"L-Lysine, ethyl ester ",-0.707106781,0.181690114,5,-0.4,0.6,4,,,0,-0.800757217,0.009508477,9,2,TRUE,-,-1,0.181093809
ENSMUSG00000030862-P,"L-Lysine, ethyl ester ",0.353553391,0.559404344,5,0.8,0.2,4,,,0,0.705014507,0.033904569,9,2,TRUE,+,1,0.259614372
ENSMUSG00000014195-P,"L-Lysine, ethyl ester ",-0.353553391,0.559404344,5,-0.2,0.8,4,,,0,-0.348155312,0.358535187,9,2,TRUE,-,-1,0.585872274
ENSMUSG00000036718-P,"L-Lysine, ethyl ester ",-0.707106781,0.181690114,5,-0.8,0.2,4,,,0,-0.940019342,0.000164049,9,2,TRUE,-,-1,0.06313846
ENSMUSG00000019080-P,"L-Lysine, ethyl ester ",0.353553391,0.559404344,5,0.4,0.6,4,,,0,0.147966008,0.704011728,9,2,TRUE,+,1,0.811676975
ENSMUSG00000059495-P,"L-Lysine, ethyl ester ",0.353553391,0.559404344,5,0.2,0.8,4,,,0,0.087038828,0.82380155,9,2,TRUE,+,1,0.886720514
ENSMUSG00000024170-P,"L-Lysine, ethyl ester ",-0.707106781,0.181690114,5,-1,0,4,,,0,-0.304635898,0.425413443,9,2,TRUE,-,-1,0.630474854
ENSMUSG00000030058-P,"L-Lysine, ethyl ester ",-0.707106781,0.181690114,5,-0.2,0.8,4,,,0,-0.539640733,0.13372692,9,2,TRUE,-,-1,0.405223325
ENSMUSG00000014075-P,"L-Lysine, ethyl ester ",0.707106781,0.181690114,5,0.8,0.2,4,,,0,0.139262125,0.720842697,9,2,TRUE,+,1,0.822655041
ENSMUSG00000041012-P,"L-Lysine, ethyl ester ",-0.707106781,0.181690114,5,-0.2,0.8,4,,,0,-0.339451429,0.371481998,9,2,TRUE,-,-1,0.596668501
ENSMUSG00000025060-P,"L-Lysine, ethyl ester ",0.353553391,0.559404344,5,0.4,0.6,4,,,0,0.147966008,0.704011728,9,2,TRUE,+,1,0.811676975
ENSMUSG00000013858-P,"L-Lysine, ethyl ester ",-0.707106781,0.181690114,5,-0.4,0.6,4,,,0,-0.87038828,0.0022686,9,2,TRUE,-,-1,0.122945141
ENSMUSG00000020777-P,"L-Lysine, ethyl ester ",0.707106781,0.181690114,5,0.4,0.6,4,,,0,0.295932015,0.439413762,9,2,TRUE,+,1,0.640069643
ENSMUSG00000024150-P,"L-Lysine, ethyl ester ",0.707106781,0.181690114,5,0.2,0.8,4,,,0,0.017407766,0.964546145,9,2,TRUE,+,1,0.975198435
ENSMUSG00000043467-P,"L-Lysine, ethyl ester ",0.707106781,0.181690114,5,0.4,0.6,4,,,0,0.208893187,0.589618693,9,2,TRUE,+,1,0.739785068
ENSMUSG00000020102-P,"L-Lysine, ethyl ester ",0.707106781,0.181690114,5,0.2,0.8,4,,,0,0.148586413,0.702816176,9,2,TRUE,+,1,0.811676975
ENSMUSG00000050493-P,"L-Lysine, ethyl ester ",-0.353553391,0.559404344,5,-0.4,0.6,4,,,0,-0.322043664,0.398026086,9,2,TRUE,-,-1,0.61287045
ENSMUSG00000048200-P,"L-Lysine, ethyl ester ",-0.707106781,0.181690114,5,-0.6,0.4,4,,,0,-0.417786374,0.26317194,9,2,TRUE,-,-1,0.515619804
ENSMUSG00000005510-P,"L-Lysine, ethyl ester ",0.353553391,0.559404344,5,0.4,0.6,4,,,0,0.121854359,0.754811502,9,2,TRUE,+,1,0.844185412
ENSMUSG00000020496-P,"L-Lysine, ethyl ester ",0.353553391,0.559404344,5,0.4,0.6,4,,,0,0.27852425,0.468007207,9,2,TRUE,+,1,0.659230948
ENSMUSG00000056054-P,"L-Lysine, ethyl ester ",-0.353553391,0.559404344,5,-0.105409255,0.894590745,4,,,0,-0.061968745,0.874161598,9,2,TRUE,-,-1,0.91857591
ENSMUSG00000062937-P,"L-Lysine, ethyl ester ",0.353553391,0.559404344,5,0.4,0.6,4,,,0,0.06092718,0.876263484,9,2,TRUE,+,1,0.919964735
ENSMUSG00000018372-P,"L-Lysine, ethyl ester ",0.707106781,0.181690114,5,0.8,0.2,4,,,0,0.644087327,0.061176799,9,2,TRUE,+,1,0.312065356
ENSMUSG00000040158-P,"L-Lysine, ethyl ester ",-0.707106781,0.181690114,5,-0.737864787,0.262135213,4,,,0,-0.407223183,0.276671083,9,2,TRUE,-,-1,0.525395839
ENSMUSG00000019897-P,"L-Lysine, ethyl ester ",0.707106781,0.181690114,5,0.8,0.2,4,,,0,0.191485422,0.621632737,9,2,TRUE,+,1,0.759844948
ENSMUSG00000031451-P,"L-Lysine, ethyl ester ",-0.353553391,0.559404344,5,-0.2,0.8,4,,,0,-0.774645569,0.014235675,9,2,TRUE,-,-1,0.20430774
ENSMUSG00000031751-P,"L-Lysine, ethyl ester ",-0.707106781,0.181690114,5,-0.4,0.6,4,,,0,-0.852980514,0.003464046,9,2,TRUE,-,-1,0.140038255
ENSMUSG00000024168-P,"L-Lysine, ethyl ester ",0.707106781,0.181690114,5,1,0,4,,,0,0.130558242,0.737778012,9,2,TRUE,+,1,0.832381744
ENSMUSG00000001687-P,"L-Lysine, ethyl ester ",0.707106781,0.181690114,5,0.8,0.2,4,,,0,0.313339781,0.411616235,9,2,TRUE,+,1,0.621756739
ENSMUSG00000029790-P,"L-Lysine, ethyl ester ",0.707106781,0.181690114,5,0.4,0.6,4,,,0,0.087038828,0.82380155,9,2,TRUE,+,1,0.886720514
