Gene,Metabolite,Sign
ENSMUSG00000014075-P,5-Hydroxyquinoline,1.0
ENSMUSG00000035133-P,"Benzaldehyde, 2,5-dimethyl-",1.0
ENSMUSG00000041012-P,"1-(2,4-Dimethoxyphenyl)-propan-2-one",-1.0
ENSMUSG00000041012-P,1-Hydroxy-3-methoxy-6-methylanthraquinone,-1.0
ENSMUSG00000041012-P,Hexanoylglycine,1.0
ENSMUSG00000041012-P,Isonicotinic Acid,-1.0
ENSMUSG00000041012-P,"N,N-Diethyl-2-aminoethanol",-1.0
ENSMUSG00000041012-P,"Propanoic acid, 2-methyl-",-1.0
ENSMUSG00000025060-P,"3beta,4beta-Bis(trimethylsiloxy)cholest-5-ene",1.0
ENSMUSG00000025060-P,Isopropyl palmitate,1.0
ENSMUSG00000025060-P,Methyl aminoacetate,1.0
ENSMUSG00000013858-P,2-Heptenoic acid,-1.0
ENSMUSG00000013858-P,2-Methyl-4-pentenoic acid,-1.0
ENSMUSG00000013858-P,"2,6-Dimethoxybenzylamine",-1.0
ENSMUSG00000013858-P,3-Hydroxyisovaleric acid,-1.0
ENSMUSG00000013858-P,3-Methyladenine,-1.0
ENSMUSG00000013858-P,"3,4,5-Trihydroxypentanoic acid, tetrakis(trimethylsilyl)-",-1.0
ENSMUSG00000013858-P,4-Hydroxyphenyllactic acid,-1.0
ENSMUSG00000013858-P,Butylmethylamine,-1.0
ENSMUSG00000013858-P,Cyclohexanol,-1.0
ENSMUSG00000013858-P,Glycine,-1.0
ENSMUSG00000013858-P,Guanabenz,-1.0
ENSMUSG00000013858-P,Nonanal,-1.0
ENSMUSG00000013858-P,Octocrylene,-1.0
ENSMUSG00000024150-P,p-Toluic acid,1.0
ENSMUSG00000030016-P,Adipoyl-L-carnitine,1.0
ENSMUSG00000030016-P,Isopropyl palmitate,1.0
ENSMUSG00000030016-P,Methyl aminoacetate,1.0
ENSMUSG00000005510-P,1-Deoxypentitol,1.0
ENSMUSG00000005510-P,"1H-Pyrazole, 3,4-bis(trimethylsilyl)-",1.0
ENSMUSG00000005510-P,"Benzaldehyde, 2,5-dimethyl-",1.0
ENSMUSG00000005510-P,Isofucosterol,1.0
ENSMUSG00000005510-P,Methyl aminoacetate,1.0
ENSMUSG00000005510-P,"Stigmast-5-ene, 3beta-",1.0
ENSMUSG00000032615-P,"1-Phenyl-1,2-ethanediol",-1.0
ENSMUSG00000024687-P,10-Heptadecenoic acid,1.0
ENSMUSG00000024687-P,2-Amino-4-methylphenol,1.0
ENSMUSG00000024687-P,2-Isopropyl-5-methyl-1-heptanol ,1.0
ENSMUSG00000024687-P,3-Methoxysalicylic acid,-1.0
ENSMUSG00000024687-P,5-Hydroxyquinoline,1.0
ENSMUSG00000024687-P,"6,7,4'-Trihydroxyisoflavone",1.0
ENSMUSG00000024687-P,Arachidonic acid,1.0
ENSMUSG00000024687-P,beta-Lyxopyranose,1.0
ENSMUSG00000024687-P,DL-Glyceraldehyde,1.0
ENSMUSG00000024687-P,p-Toluic acid,1.0
ENSMUSG00000024687-P,Sertraline carbamoyl glucuronide,1.0
ENSMUSG00000032641-P,"6-Methoxy-1-methyl-1,2,3,4-tetrahydroisoquinolin-7-ol ",1.0
ENSMUSG00000022711-P,2-Hydroxy-3-methylbutyric acid,1.0
ENSMUSG00000022711-P,"Azetidine, 1-acetyl-2-methyl-",1.0
ENSMUSG00000056054-P,Hydracrylic acid,-1.0
ENSMUSG00000056054-P,Phenylalanine,-1.0
ENSMUSG00000004040-P,2-Hydroxybutyric acid,1.0
ENSMUSG00000004040-P,L-Hydroxyproline,-1.0
ENSMUSG00000004040-P,Trisaminol,1.0
ENSMUSG00000004040-P,Uridine,1.0
ENSMUSG00000024740-P,"1-Butanamine, N,N-diethyl-",-1.0
ENSMUSG00000024740-P,"1-Propanamine, N,N-diethyl- ",-1.0
ENSMUSG00000006777-P,1-Octadecanol,-1.0
ENSMUSG00000017405-P,Phosalone,-1.0
ENSMUSG00000064345-P,3'-(Trimethylsilyl)oxy-beta-naphthoflavone,-1.0
