NAME,3297_VECPAC_190224,3679_VECPAC_190224,3681_VECPAC_190224
,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL
"9H-Xanthen-9-one, 1-hydroxy-3,5,6-trimethoxy",0,0,0
"9Z-Octadecenoic acid, (2S)-3-[(hydroxymercaptophosphinyl)oxy]-2-methoxypropyl ester ",180584.7088,0,186903.9538
Acetic acid,82716323818,13704725484,73615612943
Aceturic acid,9812734.88,9573820.936,12046661.81
Aconitic acid,18024390.93,15834196.85,17669640.78
Adenine,0,12098.62535,0
Adipic acid,0,0,0
Adipoyl-L-carnitine,20827195.79,0,0
alpha-Hydroxyisobutyric acid,0,0,0
Allylescaline,1356829083,666183105.9,1782273870
Aminoguanidine,0,0,0
Aniline,248055.4688,364165.1596,311454.5968
Azelaic acid,310958.759,251805.5386,256962.2661
"Aziridine, 1-(2-buten-2-yl)",0,0,0
"Benz[a]anthracene-1,7,12(2H)-trione, 3,4-dihydro-8-hydroxy-3-methyl-, (3S)",0,0,54866161.62
"Benz[c]acridine, 5,10-dimethyl",0,0,0
"Benzaldehyde, 2,5-dimethoxy",1.18383E+11,74658252245,1.09943E+11
"Benzene, 1,4-dimethoxy",3630448.527,2539951.744,4805818.15
"Benzene, 1-acetoxy-2,6-dimethoxy-4-(2-propenyl)",0,0,0
"Benzene, 1-ethyl-3,5-dimethyl",1235837.995,0,0
Benzeneacetic acid,342984.6155,0,1373710.338
Benzenepropanoic acid,17073459.69,18106699.27,11245537.56
"Benzenesulfonamide, N-butyl",14843.32222,15075.05698,9776.836388
"Benzoic acid, 2-hydroxy-3-[(2-hydroxy-4-methoxy-6-propylbenzoyl)oxy]-4-methoxy-6-propyl-, methyl ester ",336661051.4,164395816.1,256605394.9
"Benzoic acid, methyl ester",7728088.843,1386749.412,8099953.412
Benzoic Acid,429239666.2,377592219.8,471647800.8
Benzophenone,29601.25041,22734.16291,0
Benzyl alcohol,29662925.79,25928181.18,28071022.04
Biphenyl,3399966.786,2709020.555,3320720.855
Butachlor ESA,0.247419454,0,0.236226523
Butanedioic acid,787071215.3,766162786.7,613268302.8
Butylmethylamine,16531394.4,9995193.524,12824776.48
Butyric Acid,97129452.59,148106692.7,90510879.16
Chlorobenzilate ,0,0,0
Cholesterol,4578691.269,5372335.71,46236.90927
cis-2-Decenoic acid,0,101989.9296,0
Citramalic acid,16750.21943,23738.29857,17749.63806
Crotonic acid,5384743.275,5028004.964,5008721.948
Curcumin,105906.9438,87267.14672,101540.8392
Cyclobutylamine,29746210.27,24690521.2,28265474.73
Cyclocurcumin,0,6299.772852,0
