Name,Tissue,"BiBC, Feces-Cortex, via Plasma"
Slc1a2,Cortex,56.9
Pard6a,Cortex,552.6
Apc,Cortex,55.5
Tbcb,Cortex,186.7
Kmt2b,Cortex,30.2
Rps9,Cortex,810.7
Tcf23,Cortex,2.3
Psmd2,Cortex,59.6
Neu1,Cortex,3.6
Gtpbp3,Cortex,
Dqx1,Cortex,15.9
Sdhb,Cortex,1377.3
Ccnt1,Cortex,
Trpv4,Cortex,
Fam120b,Cortex,2.3
Nol3,Cortex,80.0
Sirt2,Cortex,
Lpl,Cortex,0.0
Sqstm1,Cortex,18.2
Stk32c,Cortex,240.2
E2f3,Cortex,295.0
Mtif3,Cortex,0.0
Mrps18c,Cortex,169.0
Plcg1,Cortex,1082.3
Etaa1,Cortex,22.3
Rarb,Cortex,0.0
Atad5,Cortex,0.0
Med13l,Cortex,127.2
Gdf9,Cortex,0.0
Appbp2,Cortex,25.0
Aatf,Cortex,308.7
Ywhah,Cortex,662.9
Dalrd3,Cortex,285.4
Ubb,Cortex,184.7
Mydgf,Cortex,78.6
L3hypdh,Cortex,0.0
Rgs17,Cortex,590.0
Pex3,Cortex,35.3
Gopc,Cortex,0.0
Cand1,Cortex,0.0
Rab36,Cortex,0.0
Vps13d,Cortex,127.1
Mdh1,Cortex,784.9
Patz1,Cortex,774.4
Cyria,Cortex,0.0
Sdc1,Cortex,0.0
Dus4l,Cortex,295.0
Dnmt3a,Cortex,32.7
Cdc27,Cortex,804.9
Gh,Cortex,220.0
Grin2c,Cortex,
Unk,Cortex,590.0
Tekt1,Cortex,
Slc13a5,Cortex,0.0
Mxra7,Cortex,136.6
Mia2,Cortex,0.0
Spata7,Cortex,402.3
Ttc8,Cortex,411.9
Serpina3n,Cortex,676.2
Erh,Cortex,386.4
Trip11,Cortex,658.2
Fdft1,Cortex,47.8
Kif26a,Cortex,0.0
Habp4,Cortex,1058.9
Fam193b,Cortex,253.6
Cxcl14,Cortex,2433.3
Mterf3,Cortex,694.2
Cast,Cortex,0.0
Ankra2,Cortex,295.0
Erbin,Cortex,62.4
Ogdhl,Cortex,10.5
Gdf10,Cortex,0.0
Zdhhc20,Cortex,
Amer2,Cortex,
Slc22a17,Cortex,370.1
Carmil3,Cortex,295.0
Psme1,Cortex,276.1
Sdr39u1,Cortex,1370.3
Cmbl,Cortex,
Ndufb9,Cortex,992.4
Col14a1,Cortex,0.0
Adsl,Cortex,133.6
Shisa9,Cortex,38.0
Nudt16l1,Cortex,43.3
Fgf12,Cortex,1525.5
Cep97,Cortex,0.8
Klhl22,Cortex,1157.7
Lrch3,Cortex,3.6
Ccdc14,Cortex,
Ece2,Cortex,0.3
Brwd1,Cortex,1294.6
Paxbp1,Cortex,134.3
Scaf4,Cortex,0.4
Larp4,Cortex,14.8
Ndufa5,Cortex,232.4
Msrb2,Cortex,
Rhebl1,Cortex,236.9
Cmtr1,Cortex,
Ndufv3,Cortex,75.2
Clip4,Cortex,110.5
Pja2,Cortex,328.1
Zfp523,Cortex,302.1
Mtpap,Cortex,295.9
Svil,Cortex,295.0
Mib1,Cortex,2110.9
Sting1,Cortex,1475.0
Spata24,Cortex,295.0
Stard4,Cortex,112.2
Map3k2,Cortex,356.7
Iws1,Cortex,546.9
Csnk2b,Cortex,459.5
Impact,Cortex,353.3
Dcp2,Cortex,0.5
Fads3,Cortex,0.0
Fads2,Cortex,301.1
Tmem138,Cortex,47.3
Pcsk5,Cortex,
Naa40,Cortex,121.6
Pcx,Cortex,177.0
Efemp2,Cortex,
Drap1,Cortex,26.9
Xpnpep1,Cortex,221.6
Btbd1,Cortex,18.6
Arhgap19,Cortex,234.4
Flnb,Cortex,314.9
Car5a,Cortex,
Sp4,Cortex,535.6
Gdf11,Cortex,0.0
Rps26,Cortex,689.2
Chmp6,Cortex,124.5
Pstpip2,Cortex,63.8
Sigirr,Cortex,0.0
Gaa,Cortex,18.6
Rab40c,Cortex,376.0
Gdap1,Cortex,327.5
Dhtkd1,Cortex,277.2
Thoc3,Cortex,48.0
Gria4,Cortex,176.7
Sntg1,Cortex,0.0
Carf,Cortex,296.4
Mitd1,Cortex,0.0
Gls,Cortex,122.4
Zfand2b,Cortex,
Ncl,Cortex,295.0
Spp2,Cortex,0.0
Cdc73,Cortex,532.7
Cfh,Cortex,0.0
Ptpn4,Cortex,283.1
Steap3,Cortex,360.1
Csrp1,Cortex,1682.9
Tor1aip1,Cortex,149.1
Xpr1,Cortex,313.9
Cdc42bpa,Cortex,453.3
Efcab2,Cortex,
Trp53bp2,Cortex,16.0
Atp1b1,Cortex,56.1
Soat1,Cortex,0.0
Atf3,Cortex,
Rgs5,Cortex,114.2
Trdmt1,Cortex,0.0
Lypd6b,Cortex,0.1
Spopl,Cortex,33.6
Slc25a12,Cortex,105.3
Sp3,Cortex,155.8
Lrp4,Cortex,61.9
Vps39,Cortex,164.9
Knstrn,Cortex,92.1
Gabpb1,Cortex,
Cpxm1,Cortex,3.0
Mrgbp,Cortex,741.1
Mmp24,Cortex,30.0
Rpn2,Cortex,10.5
Slc7a11,Cortex,304.2
Casq2,Cortex,10.2
Sypl2,Cortex,0.3
Ctso,Cortex,474.9
Iqgap3,Cortex,60.6
Lrba,Cortex,130.4
Abca4,Cortex,0.0
Zranb2,Cortex,154.6
Ndufaf4,Cortex,0.0
Nans,Cortex,44.9
Nudt2,Cortex,0.0
Gne,Cortex,33.8
Plin2,Cortex,0.0
Plpp3,Cortex,1285.2
Pum1,Cortex,56.3
Ybx1,Cortex,590.2
Macf1,Cortex,455.1
Ptch2,Cortex,51.0
Htr6,Cortex,
Ccdc28b,Cortex,0.0
Yars1,Cortex,316.1
Extl1,Cortex,279.9
Hycc1,Cortex,0.0
Mfn2,Cortex,1942.6
Dnajb6,Cortex,
Glmn,Cortex,1150.9
Brdt,Cortex,57.6
Tfip11,Cortex,36.8
Asphd2,Cortex,41.6
Fam168a,Cortex,2111.9
Prkab1,Cortex,
Gigyf1,Cortex,48.0
Prss3b,Cortex,
Dusp11,Cortex,651.7
Zfp638,Cortex,183.1
Wbp1,Cortex,247.3
Ift122,Cortex,7.2
Sbk2,Cortex,
Psd3,Cortex,92.9
Mtmr10,Cortex,114.0
Furin,Cortex,2710.5
Sgf29,Cortex,36.2
Ppme1,Cortex,1067.3
Sh2b1,Cortex,358.0
Spns1,Cortex,497.4
Fadd,Cortex,834.0
Cul4b,Cortex,295.0
Prickle3,Cortex,
Rpgr,Cortex,57.6
Heph,Cortex,
Chic1,Cortex,0.0
Flna,Cortex,1.9
Mtm1,Cortex,247.1
Mecp2,Cortex,295.0
Psmd10,Cortex,179.1
Eif4ebp1,Cortex,3.3
Wwc2,Cortex,0.0
Star,Cortex,
Msmo1,Cortex,593.2
Nr3c2,Cortex,0.0
Nek1,Cortex,0.7
Rfx1,Cortex,466.3
Bean1,Cortex,171.6
Vps4a,Cortex,0.0
Cfdp1,Cortex,1739.9
St14,Cortex,0.0
2310030G06Rik,Cortex,
Zpr1,Cortex,538.5
Ddx6,Cortex,0.1
Dock6,Cortex,1.2
Rab27a,Cortex,
Phip,Cortex,94.7
Nptn,Cortex,35.9
Mto1,Cortex,665.8
Csnk1g1,Cortex,
Rasa2,Cortex,15.2
Me1,Cortex,0.6
Cmtm7,Cortex,102.1
Zcwpw2,Cortex,1.8
Kif9,Cortex,
Trib1,Cortex,329.7
Lyzl4,Cortex,0.0
Srprb,Cortex,15.6
Nphp3,Cortex,49.6
Mrpl3,Cortex,0.2
Ip6k2,Cortex,0.0
Nicn1,Cortex,1904.8
Mier3,Cortex,60.0
Cep15,Cortex,21.2
Adamts15,Cortex,0.0
Angptl1,Cortex,
Ndn,Cortex,515.9
Map3k13,Cortex,16.3
Cep350,Cortex,53.4
Smyd5,Cortex,607.1
Rpap2,Cortex,0.0
Gde1,Cortex,185.3
Skic3,Cortex,0.0
Gpbp1l1,Cortex,1411.1
Phka1,Cortex,0.2
Tmem132c,Cortex,5.7
Cops8,Cortex,309.0
Pkd2,Cortex,4.2
2700049A03Rik,Cortex,
Dgkh,Cortex,625.1
Rab24,Cortex,351.7
Mrpl34,Cortex,352.9
Ncaph,Cortex,0.0
Arhgap5,Cortex,1877.1
Zc3h12c,Cortex,
Xrra1,Cortex,
Hectd1,Cortex,0.0
Vps13c,Cortex,260.4
L3mbtl1,Cortex,372.7
Tsen34,Cortex,237.7
Grhpr,Cortex,
Lrfn5,Cortex,2447.5
Ppp1r26,Cortex,0.0
Atosb,Cortex,1619.9
Slf2,Cortex,49.2
Rfxank,Cortex,0.0
Dipk1b,Cortex,718.1
Slc18a1,Cortex,0.0
Sec24a,Cortex,399.6
Thap11,Cortex,0.0
Elf1,Cortex,
Rnf13,Cortex,905.0
Phpt1,Cortex,169.5
Cnot1,Cortex,0.0
Alg5,Cortex,0.0
Zcchc12,Cortex,92.3
Mrpl41,Cortex,13.4
Arhgef26,Cortex,99.4
4921524J17Rik,Cortex,131.4
Zdhhc9,Cortex,1180.0
Ss18,Cortex,13.9
Fam91a1,Cortex,28.0
Nudt22,Cortex,126.5
Dmxl1,Cortex,51.0
Ubr5,Cortex,89.1
Vash2,Cortex,0.0
Atp8a1,Cortex,299.8
Ddhd1,Cortex,13.1
Dzip1l,Cortex,0.0
Nufip2,Cortex,57.4
Ankrd9,Cortex,0.1
Kmt2c,Cortex,52.7
Crygn,Cortex,20.6
Notch3,Cortex,3.0
Prdm1,Cortex,83.4
Scarf1,Cortex,284.9
Bend3,Cortex,301.1
Atg9b,Cortex,0.0
Kcnh2,Cortex,1.6
Sesn1,Cortex,
Fbxo25,Cortex,
Mllt6,Cortex,27.3
Spsb2,Cortex,295.1
Dock10,Cortex,0.0
Atp5mf,Cortex,161.4
Kdm3b,Cortex,342.2
Ascc3,Cortex,105.5
Sema6c,Cortex,7.8
Rsad1,Cortex,92.6
Zc3hc1,Cortex,47.0
Ndst2,Cortex,295.6
Minar1,Cortex,205.4
Hlx,Cortex,648.1
Snx22,Cortex,0.0
Tnrc18,Cortex,35.5
Myo9a,Cortex,0.0
Rxrb,Cortex,139.7
Lmbrd2,Cortex,44.2
Plekhg5,Cortex,118.6
Nhsl1,Cortex,0.0
Epcip,Cortex,885.0
2310057M21Rik,Cortex,0.0
Ankib1,Cortex,0.0
Wdr47,Cortex,0.0
Cfap69,Cortex,23.6
Ltbp4,Cortex,0.5
Sox30,Cortex,591.3
Manea,Cortex,619.4
Abhd11,Cortex,178.6
Oaz2,Cortex,425.6
Rad54l2,Cortex,277.5
Appl1,Cortex,32.3
Arhgef1,Cortex,92.1
Cables1,Cortex,0.0
Wwp1,Cortex,30.2
Osgin2,Cortex,295.0
Phf8,Cortex,0.0
Myzap,Cortex,
Hspb8,Cortex,947.4
Tmtc4,Cortex,90.5
Inava,Cortex,
Kctd12b,Cortex,0.0
Klf8,Cortex,0.2
Fcho2,Cortex,4430.7
Rpl37,Cortex,462.2
Kank3,Cortex,590.2
Grk3,Cortex,7.0
Ehbp1,Cortex,24.3
Rbm7,Cortex,880.8
Zmym6,Cortex,113.7
Dctpp1,Cortex,440.4
Prdm10,Cortex,0.0
Dmtf1,Cortex,86.2
Fam199x,Cortex,0.0
Immp1l,Cortex,0.0
Krtcap2,Cortex,7.1
Pigv,Cortex,11.6
Smco3,Cortex,11.1
Hexim2,Cortex,92.4
Zbtb37,Cortex,69.7
Adamts3,Cortex,
Mgat5b,Cortex,18.9
Zfp469,Cortex,767.1
Or52b2,Cortex,0.0
Bclaf3,Cortex,1140.7
Cdc25c,Cortex,0.0
Kcnj4,Cortex,458.6
Trp53i13,Cortex,
Ackr3,Cortex,
Setd2,Cortex,1232.1
D630023F18Rik,Cortex,84.6
H1f10,Cortex,304.9
Fzd5,Cortex,142.3
Tubg2,Cortex,257.8
Vcpip1,Cortex,164.1
Tmem104,Cortex,553.0
Eid2,Cortex,346.0
Patl1,Cortex,332.5
Tmem229b,Cortex,680.7
Vps13a,Cortex,1271.4
Nxph3,Cortex,29.9
Myct1,Cortex,0.0
Tet1,Cortex,6.5
Emc6,Cortex,10.3
Zbtb44,Cortex,0.0
Cmya5,Cortex,
Gphn,Cortex,288.1
Yipf6,Cortex,
Slc38a9,Cortex,455.6
Ankrd16,Cortex,608.2
Kmt2d,Cortex,73.0
Zfp738,Cortex,296.5
Phldb1,Cortex,4.1
Ccdc169,Cortex,0.0
Frmd3,Cortex,
Gm8186,Cortex,295.0
Myef2l,Cortex,
Polr1a,Cortex,
Zbtb45,Cortex,696.9
Lpar4,Cortex,
Nudt6,Cortex,10.0
Snip1,Cortex,0.0
Synpo2,Cortex,0.0
Mir9-2hg,Cortex,931.1
Ppp1r3g,Cortex,7.6
Fbxl22,Cortex,296.6
B230217C12Rik,Cortex,6.4
Zscan29,Cortex,
Serpinb1b,Cortex,142.3
Gimap9,Cortex,0.0
Zgrf1,Cortex,71.2
Pcmtd1,Cortex,261.9
Mettl5,Cortex,28.4
Nlgn2,Cortex,60.6
Senp7,Cortex,93.0
Gas1,Cortex,82.5
Jam2,Cortex,116.3
Mterf1b,Cortex,
Tcf4,Cortex,197.6
Mast1,Cortex,3108.2
Fpgt,Cortex,308.7
Srcap,Cortex,328.9
Tprkb,Cortex,
Fra10ac1,Cortex,41.3
Dnajc8,Cortex,0.0
Gimap4,Cortex,295.0
Tle5,Cortex,1026.5
Zfp869,Cortex,151.6
Adam10,Cortex,17.3
Hmgb2,Cortex,48.4
Vmac,Cortex,198.0
Ep300,Cortex,0.0
Mrfap1,Cortex,393.3
Maf,Cortex,295.0
Zcchc24,Cortex,
Klhl26,Cortex,30.6
R3hdm1,Cortex,156.7
Med12l,Cortex,978.8
Pign,Cortex,0.0
Fry,Cortex,168.4
H2bc27,Cortex,261.9
Mpp7,Cortex,15.5
Cyb5d2,Cortex,504.8
Mmel1,Cortex,
Idi1,Cortex,941.1
Rpl28-ps1,Cortex,52.9
Tubb2a,Cortex,62.0
Nap1l1,Cortex,77.0
Col13a1,Cortex,
Col25a1,Cortex,659.8
Hopx,Cortex,0.0
Ptk2b,Cortex,13.2
Cfap418,Cortex,303.8
Taf1b,Cortex,378.4
Kcnh7,Cortex,0.0
Nrm,Cortex,2.2
Zfp74,Cortex,1101.9
Scrt2,Cortex,1877.2
Ap2a1,Cortex,5.3
Samd5,Cortex,3.2
Tnfrsf19,Cortex,2352.2
H3f3a,Cortex,59.2
Arl1,Cortex,47.5
Exoc5,Cortex,405.0
Itgb1bp1,Cortex,701.4
Zfp677,Cortex,15.4
Lrrc40,Cortex,0.0
Dgkeos,Cortex,0.0
Kcnma1,Cortex,4640.4
B9d2,Cortex,2745.7
Krt73,Cortex,148.6
Brwd3,Cortex,284.3
Pepd,Cortex,0.0
Arb2a,Cortex,597.6
Gm26225,Cortex,1.7
Med18,Cortex,583.4
Gm1976,Cortex,
Cntnap5b,Cortex,0.0
Gm10221,Cortex,0.7
Tcea1-ps1,Cortex,313.7
Rtl8b,Cortex,1522.8
Efcc1,Cortex,
Aard,Cortex,0.0
Flnc,Cortex,295.0
Cry2,Cortex,83.0
Urm1,Cortex,679.3
Slc7a14,Cortex,0.6
Cdk7,Cortex,0.0
Nkain2,Cortex,1510.3
Tmem100,Cortex,46.7
Msi2,Cortex,275.9
Ccnyl1,Cortex,1144.4
Gprin2,Cortex,2.1
Rimbp3,Cortex,
Cebpd,Cortex,
Rom1,Cortex,4.2
Mpst,Cortex,320.2
4933439C10Rik,Cortex,6.3
C030034I22Rik,Cortex,1.1
Nbeal1,Cortex,0.0
Rpl31,Cortex,638.1
5730409E04Rik,Cortex,214.3
4930513N10Rik,Cortex,0.0
D930028M14Rik,Cortex,
AI429214,Cortex,
Chst14,Cortex,22.2
Heg1,Cortex,276.7
UNKNOWN,Cortex,8.5
Ppil6,Cortex,19.2
D030028A08Rik,Cortex,14.7
Tmem8b,Cortex,0.0
Alkbh1,Cortex,209.3
Neu2,Cortex,147.4
Gm5909,Cortex,
Gm12902,Cortex,
Rps13-ps5,Cortex,0.0
Slc2a4rg-ps,Cortex,127.1
UNKNOWN,Cortex,
C030013C21Rik,Cortex,123.1
Ascl4,Cortex,3.2
Taco1os,Cortex,
Gm15124,Cortex,0.0
Gm14634,Cortex,363.5
4833417C18Rik,Cortex,0.0
A330040F15Rik,Cortex,0.0
Gm15513,Cortex,94.6
Ftx,Cortex,229.9
5330413P13Rik,Cortex,54.2
1810021B22Rik,Cortex,75.8
Tbx3os1,Cortex,295.0
Gm15764,Cortex,2.9
B230398E01Rik,Cortex,0.0
Tmem250,Cortex,861.5
Gm13031,Cortex,
Gm23751,Cortex,88.6
Cbx6,Cortex,765.4
Gm16168,Cortex,0.0
Gm3687,Cortex,333.3
Tarbp1,Cortex,0.0
Gypc,Cortex,0.0
Gm18284,Cortex,17.5
Hmgcs1,Cortex,6.1
Slc6a16,Cortex,
Fsbp,Cortex,421.1
Rnaset2b,Cortex,57.2
Muc3a,Cortex,408.0
Gm3764,Cortex,925.9
Gm10516,Cortex,0.0
Gm26652,Cortex,560.9
Gm26592,Cortex,109.2
4930519P11Rik,Cortex,
Gm17259,Cortex,64.0
Celrr,Cortex,0.0
Gm26691,Cortex,295.0
Bvht,Cortex,
Gm4804,Cortex,0.0
Gm28523,Cortex,308.9
Gm29155,Cortex,
Iqank1,Cortex,0.0
6430511E19Rik,Cortex,5.4
Gm37777,Cortex,252.8
Gm37258,Cortex,0.0
Gm38254,Cortex,
C130023A14Rik,Cortex,689.6
Gm37124,Cortex,0.0
Gm37745,Cortex,
Gm5845,Cortex,3378.5
Gm37834,Cortex,162.7
Gm38217,Cortex,0.0
Gm37529,Cortex,37.9
Pcdha8,Cortex,0.0
Gm37061,Cortex,346.3
Gm37420,Cortex,40.5
Gm37452,Cortex,592.7
Gm37941,Cortex,322.6
Gm37678,Cortex,
Gm38104,Cortex,1058.1
Gm37397,Cortex,0.0
Gm38299,Cortex,215.8
5730408A14Rik,Cortex,298.0
Gm38077,Cortex,71.8
Gm37033,Cortex,0.0
E230020A03Rik,Cortex,0.0
Gm42941,Cortex,2.8
Gm43133,Cortex,137.9
Gm43066,Cortex,278.9
Gm43413,Cortex,
Gm42989,Cortex,0.0
Gm42482,Cortex,11.2
Gm43765,Cortex,333.8
Gm3364,Cortex,16.6
Gm43751,Cortex,80.0
Gm43663,Cortex,
Gm43009,Cortex,0.0
Gm43187,Cortex,111.3
Gm43420,Cortex,470.1
Gm42679,Cortex,0.0
Gm43677,Cortex,0.0
Gm43176,Cortex,1.4
Gm43795,Cortex,7.3
Gm42727,Cortex,514.2
Peg13,Cortex,93.5
Gm43800,Cortex,
Gm43417,Cortex,64.3
Gm42853,Cortex,296.8
Gm42897,Cortex,
Gm42600,Cortex,
Ckmt1,Striatum,
Acvrl1,Striatum,
Icosl,Striatum,
Tcf7,Striatum,
Slc5a5,Striatum,
Zfp512b,Striatum,
Dnajc5,Striatum,
Ilf2,Striatum,
Luzp1,Striatum,
Kctd10,Striatum,
Ckb,Striatum,
Efnb2,Striatum,
Jup,Striatum,
Tspan33,Striatum,
Esam,Striatum,
Emd,Striatum,
Pnck,Striatum,
Ift46,Striatum,
Tmem25,Striatum,
Ddb2,Striatum,
Smg9,Striatum,
Zim1,Striatum,
Nr2f6,Striatum,
Rgs20,Striatum,
Fkbp7,Striatum,
Ggct,Striatum,
Hbp1,Striatum,
Zfp959,Striatum,
Prkcsh,Striatum,
Dll3,Striatum,
Impdh1,Striatum,
Calb2,Striatum,
Farsa,Striatum,
Cdip1,Striatum,
Ptpn6,Striatum,
Dtx2,Striatum,
Celf1,Striatum,
Epor,Striatum,
Rundc3a,Striatum,
Snai3,Striatum,
Eif1b,Striatum,
Crlf1,Striatum,
Elavl2,Striatum,
Snap47,Striatum,
Sugp1,Striatum,
Pgam1,Striatum,
Rps5,Striatum,
Pea15a,Striatum,
Trnt1,Striatum,
Xk,Striatum,
Dennd6b,Striatum,
Ace2,Striatum,
Pdzd11,Striatum,
Rxrg,Striatum,
Macroh2a1,Striatum,
Fli1,Striatum,
Mpped2,Striatum,
Atxn10,Striatum,
Mrps18c,Striatum,
Plcg1,Striatum,
Rarb,Striatum,
Mapt,Striatum,
Acadvl,Striatum,
Smyd4,Striatum,
Mrpl58,Striatum,
Cxcl16,Striatum,
Nars2,Striatum,
Cacng2,Striatum,
Tmem160,Striatum,
H13,Striatum,
Utrn,Striatum,
Fyn,Striatum,
Smpdl3a,Striatum,
Bltp3b,Striatum,
Med23,Striatum,
Cfap54,Striatum,
Cdk17,Striatum,
Micu1,Striatum,
Slc1a4,Striatum,
Uqcr11,Striatum,
Adora2a,Striatum,
Osbpl8,Striatum,
Zpbp,Striatum,
Wif1,Striatum,
Ncln,Striatum,
Slc36a1,Striatum,
Mrnip,Striatum,
Cyria,Striatum,
Hs1bp3,Striatum,
Amz2,Striatum,
Map2k6,Striatum,
Fkbp1b,Striatum,
Rnf144a,Striatum,
Sntg2,Striatum,
Psmc5,Striatum,
Polg2,Striatum,
Cacng4,Striatum,
Sec14l1,Striatum,
Map3k14,Striatum,
Coch,Striatum,
Vrk1,Striatum,
Vti1b,Striatum,
Galnt16,Striatum,
Slc25a29,Striatum,
Ppp1r13b,Striatum,
Tpmt,Striatum,
Id4,Striatum,
Sema4d,Striatum,
Fancc,Striatum,
Zfp346,Striatum,
Adcy2,Striatum,
Ndufs6,Striatum,
Arhgef28,Striatum,
Mtx3,Striatum,
Htr1a,Striatum,
Nid2,Striatum,
Cacna2d3,Striatum,
Slc25a30,Striatum,
Rhobtb2,Striatum,
Gfra2,Striatum,
Gpr180,Striatum,
Acin1,Striatum,
Pabpn1,Striatum,
6030458C11Rik,Striatum,
Laptm4b,Striatum,
Oxr1,Striatum,
Ebag9,Striatum,
Derl1,Striatum,
Pmm1,Striatum,
Ly6h,Striatum,
Ly6e,Striatum,
Mapk8ip2,Striatum,
Nit2,Striatum,
Tomm70a,Striatum,
Ncbp2,Striatum,
Adcy5,Striatum,
Pdia5,Striatum,
D16Ertd472e,Striatum,
Cxadr,Striatum,
Atp5po,Striatum,
Calcoco1,Striatum,
Il15ra,Striatum,
Parp3,Striatum,
Nfatc4,Striatum,
Tiam2,Striatum,
Cenpq,Striatum,
Mmut,Striatum,
Ptk7,Striatum,
Abcg1,Striatum,
Lpin2,Striatum,
Strn,Striatum,
Pdpk1,Striatum,
Msh2,Striatum,
Zfp523,Striatum,
Mapre2,Striatum,
Pfdn1,Striatum,
Sting1,Striatum,
Ttc39c,Striatum,
Mrps18b,Striatum,
Trim26,Striatum,
Me2,Striatum,
Smad2,Striatum,
Txnl1,Striatum,
Tmx3,Striatum,
Cbln2,Striatum,
Lipo3,Striatum,
Stambpl1,Striatum,
Pip5k1b,Striatum,
Map4k2,Striatum,
Stip1,Striatum,
Sfr1,Striatum,
Mob2,Striatum,
Erlin1,Striatum,
Sufu,Striatum,
Gnl3l,Striatum,
Myo1a,Striatum,
Dctn2,Striatum,
St8sia5,Striatum,
Caly,Striatum,
Adgra1,Striatum,
Cct8,Striatum,
Fbxl16,Striatum,
Faf2,Striatum,
Aasdhppt,Striatum,
Gsta3,Striatum,
Lactb2,Striatum,
Casp8,Striatum,
Mrpl30,Striatum,
Zfp142,Striatum,
Ngef,Striatum,
Mcm6,Striatum,
Rgs2,Striatum,
Niban1,Striatum,
Dusp12,Striatum,
Abi2,Striatum,
Gad2,Striatum,
Ddx31,Striatum,
Brd3,Striatum,
Rbms1,Striatum,
Itga4,Striatum,
Ccdc34,Striatum,
Nat10,Striatum,
Tyro3,Striatum,
Crls1,Striatum,
Nop56,Striatum,
Pkia,Striatum,
Snx16,Striatum,
Dhx35,Striatum,
Kcnab1,Striatum,
Sike1,Striatum,
Casq2,Striatum,
Stxbp3,Striatum,
Slc16a4,Striatum,
Ddx20,Striatum,
Pmvk,Striatum,
Kcnq5,Striatum,
Sh3d19,Striatum,
Polr3c,Striatum,
Tex10,Striatum,
Enho,Striatum,
Npr2,Striatum,
Cachd1,Striatum,
Bend5,Striatum,
Mrpl37,Striatum,
Ccdc30,Striatum,
Htr6,Striatum,
Trappc3,Striatum,
Gnl2,Striatum,
Psmc2,Striatum,
Acot7,Striatum,
Ctnnbip1,Striatum,
Mib2,Striatum,
Agbl5,Striatum,
Gabra4,Striatum,
Tec,Striatum,
Mthfd2l,Striatum,
Mrm2,Striatum,
Dlx5,Striatum,
Klhdc10,Striatum,
Luc7l2,Striatum,
Mkrn1,Striatum,
Tgfa,Striatum,
Copg1,Striatum,
Kras,Striatum,
Cmas,Striatum,
Ift122,Striatum,
Rad51ap1,Striatum,
Prmt8,Striatum,
Fkbp4,Striatum,
Zfp719,Striatum,
Ddias,Striatum,
Fchsd2,Striatum,
Parva,Striatum,
Itgam,Striatum,
Stx4a,Striatum,
Vps35l,Striatum,
Pgap2,Striatum,
Nadsyn1,Striatum,
Rbmx,Striatum,
Chmp1b2,Striatum,
Rps6ka3,Striatum,
Haus7,Striatum,
Psmd10,Striatum,
Prps1,Striatum,
Tnks,Striatum,
Saraf,Striatum,
Pdlim3,Striatum,
Cntnap4,Striatum,
Arl2bp,Striatum,
Map1lc3b,Striatum,
Cdh15,Striatum,
Dbndd1,Striatum,
C2cd2l,Striatum,
Lca5,Striatum,
1700017B05Rik,Striatum,
Loxl1,Striatum,
Nptn,Striatum,
Gclc,Striatum,
Ube3d,Striatum,
Dync1li1,Striatum,
Nmnat3,Striatum,
Scap,Striatum,
Gorasp1,Striatum,
Cep63,Striatum,
Traip,Striatum,
Ip6k1,Striatum,
Nckipsd,Striatum,
Lmo2,Striatum,
Bet1,Striatum,
Gtf3c1,Striatum,
Alas1,Striatum,
Rasgrp2,Striatum,
Inha,Striatum,
Npat,Striatum,
Cntnap3,Striatum,
Podxl2,Striatum,
Szt2,Striatum,
Cacul1,Striatum,
Adra2a,Striatum,
Vav3,Striatum,
Spr,Striatum,
Gucy1a1,Striatum,
Chmp2a,Striatum,
Jcad,Striatum,
Poglut1,Striatum,
Ino80,Striatum,
Fbxo16,Striatum,
Ttc21b,Striatum,
Rps29,Striatum,
Ttc22,Striatum,
Parm1,Striatum,
Rundc1,Striatum,
Baz1a,Striatum,
Elmod2,Striatum,
Arx,Striatum,
Klf16,Striatum,
Tstd2,Striatum,
Fam174c,Striatum,
Thrsp,Striatum,
Cd99l2,Striatum,
Ints6l,Striatum,
Fmnl2,Striatum,
Rpp25l,Striatum,
Ndufa13,Striatum,
Kctd1,Striatum,
Fam13b,Striatum,
Ago2,Striatum,
Slc39a12,Striatum,
Spryd3,Striatum,
Rsrp1,Striatum,
Dtl,Striatum,
Zdhhc18,Striatum,
Mcrs1,Striatum,
Phf12,Striatum,
Ctnna1,Striatum,
Igsf8,Striatum,
Mrm3,Striatum,
Mturn,Striatum,
Ano2,Striatum,
P3h2,Striatum,
Fbxo25,Striatum,
Rbm8a,Striatum,
Mesd,Striatum,
Efl1,Striatum,
Ift172,Striatum,
Dgki,Striatum,
Scube3,Striatum,
Kdm3b,Striatum,
Smurf1,Striatum,
Irs2,Striatum,
Lmtk2,Striatum,
Tspyl5,Striatum,
Abhd2,Striatum,
Wdr17,Striatum,
Pgap4,Striatum,
Strip2,Striatum,
Dync2i2,Striatum,
Dock3,Striatum,
Polr2j,Striatum,
Ncoa5,Striatum,
Stk32a,Striatum,
Rhou,Striatum,
Dtx4,Striatum,
Gjb6,Striatum,
Mrps35,Striatum,
Trappc5,Striatum,
Accs,Striatum,
Hey1,Striatum,
Bcor,Striatum,
Cbln3,Striatum,
Spns2,Striatum,
Efhd2,Striatum,
Psme4,Striatum,
Osbpl10,Striatum,
Fbxw4,Striatum,
Vps41,Striatum,
Car8,Striatum,
Tox,Striatum,
Katnal1,Striatum,
Rgl2,Striatum,
Mfsd6,Striatum,
Irf8,Striatum,
Entpd3,Striatum,
