Gene,Metabolite,VECPAC r,VECPAC p,VECPAC n,DSS r,DSS p,DSS n,LPS r,LPS p,LPS n,Pooled r,Pooled p,Pooled n,Consistent,Sign,Pooled FDR
ENSMUSG00000025979-P,Luciferin,,,0,,,0,,,0,1.0,0.0,4,True,+,0.0
ENSMUSG00000051343-P,2-Aminoquinolin-8-ol,,,0,,,0,,,0,-1.0,0.0,3,True,-,0.0
ENSMUSG00000051343-P,2-Norbornanemethanol,,,0,,,0,,,0,1.0,0.0,3,True,+,0.0
ENSMUSG00000051343-P,Isosorbide,-1.0,0.0,3,,,0,,,0,-1.0,0.0,3,True,-,0.0
ENSMUSG00000051343-P,Lactic acid,1.0,0.0,3,,,0,0.753702346348183,0.0835232813732598,6,0.7671312851617349,0.0058609491945253,11,True,+,0.197916543768702
ENSMUSG00000051343-P,L-Val-L-Leu,,,0,,,0,-1.0,0.0,3,-1.0,0.0,3,True,-,0.0
ENSMUSG00000051343-P,"N-[(3,4,5-Trimethoxyphenyl)methylidene]hydroxylamine",,,0,,,0,1.0,0.0,3,1.0,0.0,3,True,+,0.0
ENSMUSG00000051343-P,Octadecanoic acid,,,0,,,0,,,0,-1.0,0.0,3,True,-,0.0
ENSMUSG00000051343-P,tert-butyl(dimethyl)silyl-2-([tert-butyl(dimethyl)silyl]oxy)hex-2-enoate,,,0,,,0,-1.0,0.0,4,-1.0,0.0,4,True,-,0.0
ENSMUSG00000035443-P,2-Aminoquinolin-8-ol,,,0,,,0,,,0,-1.0,0.0,3,True,-,0.0
ENSMUSG00000035443-P,"3,3-Dimethylacrylic acid",,,0,,,0,,,0,-1.0,0.0,4,True,-,0.0
ENSMUSG00000035443-P,"3-Hydroxy-7,3',4',5'-tetramethoxyflavone",,,0,,,0,,,0,1.0,0.0,3,True,+,0.0
ENSMUSG00000035443-P,"4,5-Dihydro-1H-pyrazole",,,0,,,0,,,0,-1.0,0.0,4,True,-,0.0
ENSMUSG00000035443-P,L-(+)-Threose,,,0,,,0,-1.0,0.0,3,-1.0,0.0,3,True,-,0.0
ENSMUSG00000028991-P,"1-(2,5-Dimethoxyphenyl)-1-[(trimethylsilyl)oxy]propan-2-amine",0.5,0.6666666666666666,3,1.0,0.0,3,0.7826908981308054,0.065703848071589,6,0.7464973841162387,0.0052880195761919,12,True,+,0.1828794563201549
ENSMUSG00000028991-P,"2-Allyl-1,4-dimethoxybenzene",0.5,0.6666666666666666,3,0.8660254037844387,0.3333333333333332,3,0.942857142857143,0.004804664723032,6,0.7464973841162387,0.0052880195761919,12,True,+,0.1828794563201549
ENSMUSG00000028991-P,2-Norbornanemethanol,,,0,,,0,,,0,-1.0,0.0,3,True,-,0.0
ENSMUSG00000028991-P,2-Pyrrolidone-5-carboxylic acid,1.0,0.0,3,0.8660254037844387,0.3333333333333332,3,0.942857142857143,0.004804664723032,6,0.7523728093483062,0.0047540845385396,12,True,+,0.1700425386675901
ENSMUSG00000028991-P,"3,3-Dimethylacrylic acid",,,0,,,0,,,0,-1.0,0.0,4,True,-,0.0
ENSMUSG00000028991-P,4-Oxohexanoic acid,0.5,0.6666666666666666,3,0.5,0.6666666666666666,3,1.0,0.0,4,0.8181818181818182,0.0038149200825507,10,True,+,0.1434242179147388
ENSMUSG00000028991-P,8-Methylnonanoic acid,0.5,0.6666666666666666,3,0.5,0.6666666666666666,3,0.6377481392176932,0.1730711102412598,6,0.789478544050317,0.0022591594736003,12,True,+,0.0921804923734663
ENSMUSG00000028991-P,Glycolic acid,1.0,0.0,3,1.0,0.0,3,0.9276336570439176,0.0076658441874731,6,0.8049321018270617,0.0015867363456598,12,True,+,0.0679231600783698
ENSMUSG00000028991-P,Hydracrylic acid,1.0,0.0,3,0.5,0.6666666666666666,3,0.8285714285714287,0.0415626822157433,6,0.7565685858054141,0.0043984927612255,12,True,+,0.1613451674855498
ENSMUSG00000028991-P,Isosorbide,-1.0,0.0,3,,,0,,,0,-1.0,0.0,3,True,-,0.0
ENSMUSG00000028991-P,"N-[(3,4,5-Trimethoxyphenyl)methylidene]hydroxylamine",,,0,,,0,-1.0,0.0,3,-1.0,0.0,3,True,-,0.0
ENSMUSG00000028991-P,tert-butyl(dimethyl)silyl-2-([tert-butyl(dimethyl)silyl]oxy)hex-2-enoate,,,0,,,0,1.0,0.0,4,1.0,0.0,4,True,+,0.0
ENSMUSG00000036948-P,"13-Docosenamide, (Z)",,,0,,,0,-1.0,0.0,3,-1.0,0.0,3,True,-,0.0
ENSMUSG00000036948-P,"2,4-Dimethoxybenzaldoxime",,,0,,,0,,,0,-1.0,0.0,3,True,-,0.0
ENSMUSG00000036948-P,2-Aminoquinolin-8-ol,,,0,,,0,,,0,-1.0,0.0,3,True,-,0.0
ENSMUSG00000036948-P,3-(4-Methoxyphenyl)coumarin,,,0,,,0,1.0,0.0,3,1.0,0.0,4,True,+,0.0
ENSMUSG00000036948-P,alpha-Hydroxyisobutyric acid,,,0,,,0,-0.7714285714285715,0.0723965014577259,6,-0.9047619047619048,0.0020082755054294,8,True,-,0.0832425620981403
ENSMUSG00000036948-P,Azelaic acid,-1.0,0.0,3,-1.0,0.0,3,-0.5507824838698261,0.2573693316225746,6,-0.7614081958174166,0.0040137487228951,12,True,-,0.1493267280070222
ENSMUSG00000036948-P,Butanedioic acid,-0.5,0.6666666666666666,3,-1.0,0.0,3,-0.7714285714285715,0.0723965014577259,6,-0.8227778098887566,0.0010140477438473,12,True,-,0.0449535380100918
ENSMUSG00000036948-P,L-(+)-Threose,,,0,,,0,-1.0,0.0,3,-1.0,0.0,3,True,-,0.0
ENSMUSG00000036948-P,"l-Leucine, n-butoxycarbonyl-N-methyl-, hexadecyl ester",,,0,,,0,,,0,1.0,0.0,4,True,+,0.0
ENSMUSG00000036948-P,L-Val-L-Leu,,,0,,,0,-1.0,0.0,3,-1.0,0.0,3,True,-,0.0
ENSMUSG00000036948-P,Tyr-Val,,,0,,,0,,,0,1.0,0.0,3,True,+,0.0
ENSMUSG00000033900-P,2-Aminoquinolin-8-ol,,,0,,,0,,,0,1.0,0.0,3,True,+,0.0
ENSMUSG00000033900-P,"3,3-Dimethylacrylic acid",,,0,,,0,,,0,1.0,0.0,4,True,+,0.0
ENSMUSG00000033900-P,"3-Hydroxy-7,3',4',5'-tetramethoxyflavone",,,0,,,0,,,0,-1.0,0.0,3,True,-,0.0
ENSMUSG00000033900-P,"4,5-Dihydro-1H-pyrazole",,,0,,,0,,,0,1.0,0.0,4,True,+,0.0
ENSMUSG00000033900-P,cis-2-Decenoic acid,,,0,,,0,,,0,-1.0,0.0,3,True,-,0.0
ENSMUSG00000033900-P,L-(+)-Threose,,,0,,,0,1.0,0.0,3,1.0,0.0,3,True,+,0.0
ENSMUSG00000041936-P,Azelaic acid,-1.0,0.0,3,-0.5,0.6666666666666666,3,-0.6377481392176932,0.1730711102412598,6,-0.803513718166767,0.0016410752385769,12,True,-,0.0697922375858043
ENSMUSG00000041936-P,Ethanolamine,-1.0,0.0,3,-0.8660254037844387,0.3333333333333332,3,-0.0579771035652448,0.9131317851623264,6,-0.7407695435903443,0.0058509125905492,12,True,-,0.1977372150573701
ENSMUSG00000041936-P,Octanoic acid,,,0,,,0,-0.7999999999999999,0.2000000000000001,4,-0.942857142857143,0.004804664723032,6,True,-,0.1700425386675901
ENSMUSG00000041936-P,Sarcosine,,,0,,,0,,,0,0.942857142857143,0.004804664723032,6,True,+,0.1700425386675901
ENSMUSG00000041936-P,Tyr-Val,,,0,,,0,,,0,1.0,0.0,3,True,+,0.0
