Individual_Pval,FDR,Total_Nodes,Total_Edges,Positive_Edges,Negative_Edges,Pos_to_Neg,Density,Mean_Corr_Coeff
0.2,0.05,515,3261,2935,326,9.003067484662576,0.024638283404480373,0.6125427214687592
0.2,0.01,510,2417,2122,295,7.193220338983051,0.018621672637620865,0.6054599263567114
0.15,1.0,522,3183,2842,341,8.334310850439882,0.023407681955567323,0.5979311899871264
0.15,0.3,522,3183,2842,341,8.334310850439882,0.023407681955567323,0.5979311899871264
0.15,0.25,522,3177,2836,341,8.316715542521994,0.02336355814415249,0.5975604263525306
0.15,0.2,521,3138,2805,333,8.423423423423424,0.023165510113686696,0.5994612399961452
0.15,0.15,516,3003,2696,307,8.781758957654723,0.022601038609166856,0.6069533535704501
0.15,0.1,511,2775,2502,273,9.164835164835164,0.021296189708760217,0.6165585691632673
0.15,0.05,498,2425,2189,236,9.275423728813559,0.019595484553909803,0.6280313194958637
0.15,0.01,489,1883,1669,214,7.799065420560748,0.015781621911562575,0.625819475899713
0.1,1.0,501,2189,1959,230,8.517391304347827,0.017477045908183633,0.6263806103687976
0.1,0.3,501,2189,1959,230,8.517391304347827,0.017477045908183633,0.6263806103687976
0.1,0.25,501,2188,1958,230,8.513043478260869,0.017469061876247506,0.626233305666932
0.1,0.2,501,2182,1952,230,8.486956521739131,0.017421157684630737,0.6256395142493276
0.1,0.15,500,2155,1928,227,8.493392070484582,0.017274549098196392,0.62554143380878
0.1,0.1,494,2043,1835,208,8.822115384615385,0.016777393632309828,0.6324134963963881
0.1,0.05,480,1828,1643,185,8.881081081081081,0.015901183020180933,0.6411346801608916
0.1,0.01,464,1478,1311,167,7.850299401197605,0.013759588888061369,0.6422154715154109
0.05,1.0,445,1191,1066,125,8.528,0.01205587610081992,0.6590835231399822
0.05,0.3,445,1191,1066,125,8.528,0.01205587610081992,0.6590835231399822
0.05,0.25,445,1191,1066,125,8.528,0.01205587610081992,0.6590835231399822
0.05,0.2,445,1191,1066,125,8.528,0.01205587610081992,0.6590835231399822
0.05,0.15,445,1191,1066,125,8.528,0.01205587610081992,0.6590835231399822
0.05,0.1,445,1179,1054,125,8.432,0.011934406316428788,0.6574306850245665
0.05,0.05,430,1113,997,116,8.594827586206897,0.012067002764677183,0.6629751868084458
0.05,0.01,406,966,858,108,7.944444444444445,0.011749680715197957,0.6622848432872713
0.01,1.0,289,434,377,57,6.614035087719298,0.010428681276432141,0.6638731202134822
0.01,0.3,289,434,377,57,6.614035087719298,0.010428681276432141,0.6638731202134822
0.01,0.25,289,434,377,57,6.614035087719298,0.010428681276432141,0.6638731202134822
0.01,0.2,289,434,377,57,6.614035087719298,0.010428681276432141,0.6638731202134822
0.01,0.15,289,434,377,57,6.614035087719298,0.010428681276432141,0.6638731202134822
0.01,0.1,289,434,377,57,6.614035087719298,0.010428681276432141,0.6638731202134822
0.01,0.05,289,434,377,57,6.614035087719298,0.010428681276432141,0.6638731202134822
0.01,0.01,284,419,362,57,6.350877192982456,0.010426516697357288,0.6581346899608045
