Individual P-value,FDR Threshold,Edges,Positive Edges,Negative Edges,Positive:Negative Ratio,Unique Nodes,Density,Mean Correlation Coefficient
0.25,0.05,5950,5022,606,8.287128712871286,528,0.03333277311865907,0.5602733569144698
0.25,0.01,5039,4264,513,8.311890838206628,528,0.02822921743612152,0.5843495442022908
0.2,1.0,4990,4170,524,7.958015267175573,528,0.027954712245732566,0.5682875181760102
0.2,0.3,4990,4170,524,7.958015267175573,528,0.027954712245732566,0.5682875181760102
0.2,0.25,4990,4170,524,7.958015267175573,528,0.027954712245732566,0.5682875181760102
0.2,0.2,4990,4170,524,7.958015267175573,528,0.027954712245732566,0.5682875181760102
0.2,0.15,4990,4170,524,7.958015267175573,528,0.027954712245732566,0.5682875181760102
0.2,0.1,4968,4160,512,8.125,528,0.027831465017394665,0.5705600981599116
0.2,0.05,4855,4086,485,8.424742268041237,528,0.027198422435477276,0.5771047612413247
0.2,0.01,4280,3615,429,8.426573426573427,527,0.023977188058464004,0.5956172277323849
0.15,1.0,3183,2729,275,9.923636363636364,522,0.017831633081796944,0.6172335588855083
0.15,0.3,3183,2729,275,9.923636363636364,522,0.017831633081796944,0.6172335588855083
0.15,0.25,3183,2729,275,9.923636363636364,522,0.017831633081796944,0.6172335588855083
0.15,0.2,3183,2729,275,9.923636363636364,522,0.017831633081796944,0.6172335588855083
0.15,0.15,3183,2729,275,9.923636363636364,522,0.017831633081796944,0.6172335588855083
0.15,0.1,3182,2728,275,9.92,522,0.01782603093505431,0.6172686985745957
0.15,0.05,3137,2695,264,10.208333333333334,521,0.01757393433163588,0.6211666741703261
0.15,0.01,2868,2471,237,10.426160337552743,519,0.016066956857867937,0.6349988936742333
0.1,1.0,2189,1865,180,10.36111111111111,501,0.012263099219620958,0.6457481276597979
0.1,0.3,2189,1865,180,10.36111111111111,501,0.012263099219620958,0.6457481276597979
0.1,0.25,2189,1865,180,10.36111111111111,501,0.012263099219620958,0.6457481276597979
0.1,0.2,2189,1865,180,10.36111111111111,501,0.012263099219620958,0.6457481276597979
0.1,0.15,2189,1865,180,10.36111111111111,501,0.012263099219620958,0.6457481276597979
0.1,0.1,2189,1865,180,10.36111111111111,501,0.012263099219620958,0.6457481276597979
0.1,0.05,2178,1856,178,10.426966292134832,501,0.01220147560545201,0.6469013077806867
0.1,0.01,2058,1758,165,10.654545454545454,497,0.011529217996336195,0.656015702886078
0.05,1.0,1191,1002,98,10.224489795918368,445,0.006672156770474446,0.6805696794060546
0.05,0.3,1191,1002,98,10.224489795918368,445,0.006672156770474446,0.6805696794060546
0.05,0.25,1191,1002,98,10.224489795918368,445,0.006672156770474446,0.6805696794060546
0.05,0.2,1191,1002,98,10.224489795918368,445,0.006672156770474446,0.6805696794060546
0.05,0.15,1191,1002,98,10.224489795918368,445,0.006672156770474446,0.6805696794060546
0.05,0.1,1191,1002,98,10.224489795918368,445,0.006672156770474446,0.6805696794060546
0.05,0.05,1191,1002,98,10.224489795918368,445,0.006672156770474446,0.6805696794060546
0.05,0.01,1161,977,95,10.284210526315789,440,0.006504092368195493,0.6831825408137284
0.01,1.0,434,346,49,7.061224489795919,289,0.002431331686302191,0.688558126148014
0.01,0.3,434,346,49,7.061224489795919,289,0.002431331686302191,0.688558126148014
0.01,0.25,434,346,49,7.061224489795919,289,0.002431331686302191,0.688558126148014
0.01,0.2,434,346,49,7.061224489795919,289,0.002431331686302191,0.688558126148014
0.01,0.15,434,346,49,7.061224489795919,289,0.002431331686302191,0.688558126148014
0.01,0.1,434,346,49,7.061224489795919,289,0.002431331686302191,0.688558126148014
0.01,0.05,434,346,49,7.061224489795919,289,0.002431331686302191,0.688558126148014
0.01,0.01,434,346,49,7.061224489795919,289,0.002431331686302191,0.688558126148014
