Individual P-value,FDR Threshold,Unique Nodes,Edges,Positive Edges,Negative Edges,Positive:Negative Ratio,Density,Mean Correlation Coefficient
0.2,0.1,528,4968,4160,512,8.125,0.03570812489218561,0.5705600981599116
0.2,0.05,528,4855,4086,485,8.424742268041237,0.03489592317865563,0.5771047612413247
0.2,0.01,527,4280,3615,429,8.426573426573427,0.03088000808074978,0.5956172277323849
0.15,1.0,522,3183,2729,275,9.923636363636364,0.023407681955567323,0.6172335588855083
0.15,0.3,522,3183,2729,275,9.923636363636364,0.023407681955567323,0.6172335588855083
0.15,0.25,522,3183,2729,275,9.923636363636364,0.023407681955567323,0.6172335588855083
0.15,0.2,522,3183,2729,275,9.923636363636364,0.023407681955567323,0.6172335588855083
0.15,0.15,522,3183,2729,275,9.923636363636364,0.023407681955567323,0.6172335588855083
0.15,0.1,522,3182,2728,275,9.92,0.023400327986998183,0.6172686985745957
0.15,0.05,521,3137,2695,264,10.208333333333334,0.023158127860623063,0.6211666741703261
0.15,0.01,519,2868,2471,237,10.426160337552743,0.021335951971790123,0.6349988936742333
0.1,1.0,501,2189,1865,180,10.36111111111111,0.017477045908183633,0.6457481276597979
0.1,0.3,501,2189,1865,180,10.36111111111111,0.017477045908183633,0.6457481276597979
0.1,0.25,501,2189,1865,180,10.36111111111111,0.017477045908183633,0.6457481276597979
0.1,0.2,501,2189,1865,180,10.36111111111111,0.017477045908183633,0.6457481276597979
0.1,0.15,501,2189,1865,180,10.36111111111111,0.017477045908183633,0.6457481276597979
0.1,0.1,501,2189,1865,180,10.36111111111111,0.017477045908183633,0.6457481276597979
0.1,0.05,501,2178,1856,178,10.426966292134832,0.017389221556886228,0.6469013077806867
0.1,0.01,497,2058,1758,165,10.654545454545454,0.016696955929123125,0.656015702886078
0.05,1.0,445,1191,1002,98,10.224489795918368,0.01205587610081992,0.6805696794060546
0.05,0.3,445,1191,1002,98,10.224489795918368,0.01205587610081992,0.6805696794060546
0.05,0.25,445,1191,1002,98,10.224489795918368,0.01205587610081992,0.6805696794060546
0.05,0.2,445,1191,1002,98,10.224489795918368,0.01205587610081992,0.6805696794060546
0.05,0.15,445,1191,1002,98,10.224489795918368,0.01205587610081992,0.6805696794060546
0.05,0.1,445,1191,1002,98,10.224489795918368,0.01205587610081992,0.6805696794060546
0.05,0.05,445,1191,1002,98,10.224489795918368,0.01205587610081992,0.6805696794060546
0.05,0.01,440,1161,977,95,10.284210526315789,0.012021122385587078,0.6831825408137284
0.01,1.0,289,434,346,49,7.061224489795919,0.010428681276432141,0.688558126148014
0.01,0.3,289,434,346,49,7.061224489795919,0.010428681276432141,0.688558126148014
0.01,0.25,289,434,346,49,7.061224489795919,0.010428681276432141,0.688558126148014
0.01,0.2,289,434,346,49,7.061224489795919,0.010428681276432141,0.688558126148014
0.01,0.15,289,434,346,49,7.061224489795919,0.010428681276432141,0.688558126148014
0.01,0.1,289,434,346,49,7.061224489795919,0.010428681276432141,0.688558126148014
0.01,0.05,289,434,346,49,7.061224489795919,0.010428681276432141,0.688558126148014
0.01,0.01,289,434,346,49,7.061224489795919,0.010428681276432141,0.688558126148014
