node,direction,puc_value
Isopropyl palmitate,-1,0.0
D-Mannose,-1,0.2
N-(Trimethylsilyl)hexanamide,-1,0.0
"3beta,4beta-Bis(trimethylsiloxy)cholest-5-ene",-1,0.0
"1,1'-Biphenyl, 3,4-diethyl-",-1,0.0
Deoxycholic Acid,-1,0.0
Desmosterol,-1,0.0
"Butanoic acid, 2-methyl-3-[(trimethylsilyl)oxy]-",-1,0.0
Glyoxime,-1,0.0
"3-(3-Cyclohexylaminopropionylamino)-5-ethylthiophene-2-carboxylic acid, ethyl ester",-1,0.0
N-Methyl-N-(tetrahydro-2-furanylmethyl)-4-piperidinamine,-1,0.0
"3,5-Dimethylpyrazole",-1,0.0
Decanoic acid,1,0.0
N-Valerylglycine,-1,0.0
"1-Piperazineethanol, 4-dibenzo[b,f][1,4]thiazepin-11-yl-",1,0.0
Heptadecanoic acid,-1,0.0
L-Aspartic acid,-1,0.2
L-Cysteine,1,0.0
(CH3)2C=NC2H558,1,0.0
"N,O-Bis(trimethylsilyl)carbamate",-1,0.0
"1-Butanamine, N,N-diethyl-",-1,0.14285714285714285
5-Henicosylresorcinol,-1,0.0
1-Hexadecanol,1,0.0
Nonadecanoic acid,-1,0.0
L-Alanine,1,0.0
"beta-D-Galactofuranose, 1,2,3,5,6-pentakis-O-(trimethylsilyl)-",-1,0.0
"Cyclopentaneacetic acid, 3-oxo-2-pentyl-",-1,0.0
2-Hydroxy-5-methoxybenzaldehyde,1,0.0
"Glycine, N-[4-[(trimethylsilyl)oxy]benzoyl]-",-1,0.0
Glycolic acid,-1,0.0
Aspartic acid,1,0.0
"(9H-fluoren-9-yl)methanol, O-methoxycarbonyl-",-1,0.0
"7-Isoquinolinol, 1,2,3,4-tetrahydro-1-[(4-hydroxyphenyl)methyl]-6-methoxy-",1,0.0
"Stigmast-5-ene, 3beta-",-1,0.0
Cadaverine,-1,0.0
3-Indoleacetic acid,-1,0.0
4-Hydroxybutanoic acid,1,0.0
3-Hexenedinitrile,-1,0.0
13-Docosenamide,1,0.0
Dodecylcyclohexane,-1,0.0
"Benzaldehyde, 2,5-dimethyl-",-1,0.0
"3-Buten-2-one, 3-trimethylsilyloxy-",1,0.0
1-(4-Hydroxybenzylidene)acetone,-1,0.06451612903225806
"DL-Proline, 5-oxo-",-1,0.0
Benzeneacetamide,1,0.0
"Acetamide, N,N-diethyl-",-1,0.2
"Benzene, 3-cyclohexen-1-yl-",1,0.0
"Cholesta-3,5-diene ",-1,0.0
Trimethylsilyl 3-((trimethylsilyl)thio)propanoate,-1,0.0
"1,3-Cyclohexanebis(methylamine)",-1,0.0
S-Methyl-L-cysteine,-1,0.06666666666666667
Pyrrole-2-carboxylic acid,-1,0.0
"Pregn-16-en-20-one, 3,18-bis(acetyloxy)-14,15-epoxy-, (3beta,5alpha,14beta,15beta)-",-1,0.0
3-Hydroxybutyric acid,-1,0.0
"3,4-dimethyl-5-(3,4-methylenedioxy)phenyloxazolidine",1,0.0
5-Hydroxytryptophan,-1,0.0
Dodecanoic acid,-1,0.2
"Acetin, bis-1,3-trimethylsilyl ether",-1,0.14285714285714285
"2,5-Dimethoxyphenol",-1,0.0
p-Hydroxydiisopropylbenzene,-1,0.0
4-Cumylphenol,-1,0.17647058823529413
Itaconic acid,-1,0.058823529411764705
"2',2,3,6'-Tetramethoxychalcone",1,0.0
L-Tyrosine,-1,0.0
"D-(-)-Ribofuranose, tetrakis",1,0.0
"Pentanedioic acid, 2-[(trimethylsilyl)oxy]-",1,0.16666666666666666
"5alpha-Pregnane-3,20-dione",-1,0.0
Citric acid,1,0.0
"(S,S)-(-)-Hydrobenzoin",-1,0.0
3'-Hydroxyacetophenone,-1,0.0
"2-Propanone, bis(1-methylethyl)hydrazone",-1,0.19047619047619047
"O-Methyl-N,N'-diisopropylisourea ",1,0.0
2-Furoic acid,-1,0.0
Cholesterol,-1,0.0
1-Tetradecanol,-1,0.14285714285714285
DL-Phenylalanine,-1,0.0
1-Hexanol,1,0.0
Mirin,-1,0.0
Ketamine ,1,0.0
"Ethanamine, N,N-diethyl-2,2-dimethyl-2-[(3,5-dimethoxy)phenyl]-",-1,0.0
Xylose,-1,0.0
"Benzene, 1,1'-(1,2-cyclobutanediyl)bis-",1,0.0
alpha-Tocopherol,-1,0.0
5-Aminovaleric acid,1,0.0
Methyl isovanillate,-1,0.0
Bis(trimethylsilyl)acetylene,-1,0.0
"Cetaben, N,O-bis(trimethylsilyl)-",-1,0.0
Cyclo(L-prolyl-L-valine) ,-1,0.0
Palmitic Acid,1,0.0
Lactic Acid,1,0.0
Pentylone,1,0.0
Diphenyl ether,-1,0.037037037037037035
D-Leucylglycylglycine,1,0.0
