Individual_Pval,FDR,Total_Nodes,Total_Edges,Positive_Edges,Negative_Edges,Pos_to_Neg,Density,Mean_Corr_Coeff
0.1,0.25,389,313,154,159,0.9685534591194969,0.004147563141017147,-0.00428818842213246
0.1,0.2,352,273,136,137,0.9927007299270073,0.004419191919191919,0.0062742693959273385
0.1,0.15,309,226,105,121,0.8677685950413223,0.004749296011431934,-0.05403182665044765
0.1,0.1,255,176,80,96,0.8333333333333334,0.005434614790798209,-0.07327682191508668
0.1,0.05,159,99,43,56,0.7678571428571429,0.007881538094100788,-0.10866735354456405
0.1,0.01,48,27,9,18,0.5,0.023936170212765957,-0.3061708940884342
0.05,1.0,395,327,165,162,1.0185185185185186,0.0042022746257148365,0.01679498487163273
0.05,0.3,274,192,95,97,0.979381443298969,0.005133552578808053,0.0005566574858652621
0.05,0.25,260,179,90,89,1.0112359550561798,0.0053163053163053165,0.014277055207421832
0.05,0.2,236,156,81,75,1.08,0.00562567616300036,0.042675475077587725
0.05,0.15,203,129,63,66,0.9545454545454546,0.006291762181144223,-0.01720864471196513
0.05,0.1,161,100,49,51,0.9607843137254902,0.007763975155279503,-0.017059359507026993
0.05,0.05,90,51,26,25,1.04,0.012734082397003745,0.019965771518107713
0.05,0.01,28,16,6,10,0.6,0.042328042328042326,-0.23831273976869208
0.01,1.0,185,131,67,64,1.046875,0.007696827262044653,0.021110126532356617
0.01,0.3,105,64,32,32,1.0,0.011721611721611722,-0.001042229491874519
0.01,0.25,100,61,32,29,1.103448275862069,0.012323232323232323,0.042242634369715544
0.01,0.2,81,49,25,24,1.0416666666666667,0.015123456790123457,0.014512156783324086
0.01,0.15,63,37,16,21,0.7619047619047619,0.01894521249359959,-0.13991330393963552
0.01,0.1,56,33,15,18,0.8333333333333334,0.02142857142857143,-0.0969439308353833
0.01,0.05,39,22,11,11,1.0,0.029689608636977057,-0.014572691714384618
0.01,0.01,18,11,3,8,0.375,0.0718954248366013,-0.46169301737490814
