Matt Node 1,Matt Node 2,Ananya Node 1,Ananya Node 2
Rarb,Zbtb3,,
Rbm14,Wdr89,,
Rgl2,Tfap2b,,
Rit2,Vwa5b2,,
Rnf144a,Setd3,,
Rnf144a,Zbtb3,,
Rps12,Txnl1,,
Rspo1,Slc16a4,,
Rspo1,Ube3d,,
Rspo1,Zfp617,,
Rspo1,Zpbp,,
Rsrp1,Tspo,,
Rusc2,Tiam2,,
Rusc2,Tmem25,,
Rusc2,Trim26,,
S100a9,Zfp512,,
Scn4b,Zbtb3,,
Sec24c,St3gal5,,
Sema4f,Ubr7,,
Setd3,Slc39a12,,
Sh3d19,Tspo,,
Slc24a3,Tspo,,
Slc25a29,Vps72,,
Slc35d3,Tspo,,
Slc35d3,Vps72,,
Smarca1,Trim26,,
Smarcc1,Timm17a,,
Snap47,Vwa5a,,
Snrnp70,Tubb3,,
Spns2,Tfap2b,,
Spock3,Zbtb3,,
Strn,Tspo,,
Strn,Vps72,,
Syt6,Zfp389,,
Szt2,Zswim4,,
Tgif2,UNKNOWN,,
Tob2,Zswim4,,
Trappc5,Tubb3,,
Vps72,mt-Cytb,,
Vwa5a,mt-Nd1,,
