Matt Node 1,Matt Node 2,Ananya Node 1,Ananya Node 2
Shoc2,Wdr17,,
Slc16a4,St8sia2,,
Slc22a17,Slc36a1,,
Slc22a17,Slc5a5,,
Slc25a13,Tspan33,,
Slc25a16,Trnt1,,
Slc25a26,Synj2bp,,
Slc25a30,Sncg,,
Slc35e2,Zswim5,,
Slc36a1,Ubl3,,
Slc39a12,Zswim5,,
Slc6a13,Trim68,,
Slco5a1,Trpc4ap,,
Smc6,Tubb2b,,
Smyd4,Tulp4,,
Smyd4,Zfp654,,
Snai3,Ube2v2,,
Snora35,Tubb2b,,
Snrnp70,Zfp219,,
Snx7,Zfp78,,
Sostdc1,Top1,,
Stip1,Tulp4,,
Stip1,Ubc,,
Stk32a,Tubgcp2,,
Stx3,Synm,,
Stxbp3,Tppp3,,
Stxbp4,Trappc3,,
Thrsp,Tubgcp2,,
Tlnrd1,Ube2v2,,
Tmx3,Zbtb39,,
Tomm22,Wdsub1,,
Traip,Ube2v2,,
Trappc5,Zfp219,,
Tubb2b,mt-Nd2,,
Vangl1,Zbtb3,,
Wdr17,Zfp638,,
