,pls_74_12012022,pls_71_a_12012022,pls_106_13012022,pls_104_13012022,pls_102_13012022,pls_100_13012022,pls_103_14012022,pls_101_REP_14012022,pls_75_13012022,DSS73_REP_190124,DSS76_REP_190124,DSS77_REP_190124,DSST0.7_180124
,DSS_T0,DSS_T0,DSS_T0,DSS_T0,DSS_T0,DSS_T0,DSS_T0,DSS_T0,DSS_T0,DSS_T0,DSS_T0,DSS_T0,DSS_T0
"4-Fluoroaniline, N-trimethylsilyl-",5158665.058,5915351.591,8037585.804,3827297.424,4325358.02,4590985.008,5472372.411,8645553.246,5835704.783,17127657.45,17129059.16,13060286.05,8237523.401
4-Hydroxy-5-(hydroxymethyl)oxolan-2-one,0,0,0,6868360.052,3887711.471,0,0,0,0,1825552.478,320041.3321,1810442.098,787953.6661
4-Hydroxybenzaldehyde,664221.7366,1013813.689,1298398.17,1123700.189,697627.7436,605300.3333,1066260.015,1894636.085,912723.6989,10101428.56,7653523.943,6091169.845,566383.6102
4-Hydroxybenzeneacetic acid,0,0,0,29529.38219,0,0,0,0,0,74297.03038,65113.99282,40344.62976,5416.262742
4-Hydroxybenzoic acid,7006818.34,11297784.34,9591649.235,12493781.61,32959152.99,10088059.1,12483302.78,18045623.01,8516853.086,90301158.8,102093909.7,58281142.37,2004501.194
4-Hydroxybutanoic acid,451775.7218,509180.1242,933982.3129,1111156.323,3361036.864,642472.1874,1406794.732,1932193.066,658114.9631,4438189.242,2430094.809,2338401.146,0
4-Hydroxyphenyllactic acid,292914.3601,259205.296,291981.1048,413670.1989,234286.5753,73221.6845,302785.695,600624.8654,340832.5889,873444.6889,0,578606.2814,219018.026
4-Methoxyphenol,1544764.15,1618838.837,1639992.027,1642160.79,1511700.208,1554448.754,1605731.396,1722453.948,1599465.502,4011973.364,3825066.367,3944838.446,2278365.563
"4-Methylethcathinone, N-acetyl-",785802.7025,591283.9798,341504.694,1251589.439,205110.2435,145694.8725,401196.9014,178426.1632,139460.9477,0,0,0,0
4-Methylvaleric acid,85035.25739,176801.649,307982.5584,188398.2194,306950.5235,115585.6858,219339.2146,495933.2391,516657.77,332878.7918,327367.8654,326764.4327,269436.835
4-Pyridinol,614004094.3,760446394.9,1489696239,148183121,792413976.3,966180831.1,1031970441,1322212073,592132773.5,2098972565,1929876842,1247905493,568862263.4
"4,4,5,8-Tetramethyl-chroman-2-one",74230.29789,68272.44032,0,237234.1877,50294.20417,66923.77201,44798.53466,0,91036.54053,0,0,0,0
5-(2-Aminopropyl)-2-methylphenol,2325538332,2821093482,3776049099,1117330059,1542503682,3240216948,3081974770,3796757013,3046911895,2696158429,7644252475,1058673196,0
5-Aminovaleric acid,0,0,0,0,0,0,0,0,0,125128703.9,140318520.3,63935708.12,0
"5-Androsten-17alpha-methyl-3beta,17beta-diol",0,0,2510.451249,0,864115.0955,0,5561.290077,2653.869895,2298.060243,17220.49827,4083.786589,3247.182513,927433.1137
"5-Cholesten-3beta, 7alpha-bis[(trimethylsilyl)oxy]- ",1188999.086,18158145.9,5281470.861,1275107.562,2789900.73,2129007.489,3001163.751,21047212.81,1643607.089,6856925.097,62178914.79,1755649.045,2882564.572
5-Ethyluracil,0,49956.27735,0,786603.8859,0,0,0,72851.33758,40890.77981,0,0,61425.15603,0
5-Henicosylresorcinol,6270.391295,0,0,10160.35921,0,5427.209512,0,0,5863.258905,9.443357766,0,0,32.23600329
5-Hydroxy-L-tryptophan,5763618.074,8946062.098,4950785.12,8635935.747,5644355.402,6852657.837,11355219.99,13993446.81,7482165.654,125708926.9,86385551.37,24819440.89,0
5-Hydroxyquinoline,543807.0931,1131343.556,679666.3035,210139.5751,420622.6648,725408.8989,693663.5995,729465.6835,1031199.1,4341123.206,9060146.013,4371984.236,0
5-Hydroxytryptophan,19662.26715,225735.3128,423224.1361,120304.8192,0,77312.07281,136132.0532,0,39109.22094,142789.5434,139322.5144,110710.0877,105829.6652
5-Methyluridine,6354440.375,0,11278622.33,20715746.55,9836344.041,0,10094218.91,19678465.33,12047178.59,0,0,0,0
"5,10-Diethoxy-2,3,7,8-tetrahydro-1H,6H-dipyrrolo[1,2-a:1',2'-d]pyrazine ",70896.90775,12502.77847,0,392405.6505,6662.62013,7730.895214,20619.92427,0,25580.51828,681078.187,305481.7259,306324.3714,0
"5,6-Dihydro-5-methyluracil",0,368787.9102,357258.8582,2316145.041,78729.63994,0,163171.5377,0,399960.4994,0,0,0,0
"5,6-Dimethyl-4-phenyl-3-cyanopyridine-2(1H)-thione",605617.8852,867719.5001,0,0,458165.0875,0,0,0,0,0,21049.30858,8882.281657,0
"5alpha-Pregnane-3,20-dione",0,0,855627.4322,0,642528.9204,0,497789.4171,2019703.151,0,2770293.275,1272140.458,888161.8044,0
6-Hydroxyflavone-beta-D-glucoside,1407672.687,0,2479451.491,218552.0112,0,2001658.09,0,3856995.762,0,5796691.355,2668867.845,4513684.342,0
6-Hydroxyflavone,20029061338,34055988528,23122035111,46177040498,69895746451,67503039320,87725802323,0,50686027359,0,0,0,0
"6-Methoxy-1-methyl-1,2,3,4-tetrahydroisoquinolin-7-ol ",1153161.934,1558215.912,1782854.772,1875955.371,1285335.264,1567291.904,0,1440258.495,0,19324544.7,4394631.405,10203018.91,0
"6,7,4'-Trihydroxyisoflavone",14801.09399,82936.83411,0,20672.66074,24043.69504,15909.29361,0,0,0,67357.0839,60122.34918,43493.14279,2578.789499
"6,8-Dioxapentadecane",34925.79563,176366.1507,0,0,158077.2078,198123.9787,41497.83356,0,208304.5975,475314.1542,0,402391.2031,233163.7383
"7-(Trimethylsilyl)-2,6-bis[(trimethylsilyl)oxy]-7H-purine",0,11620.34351,0,0,590673.7633,0,0,0,0,0,0,1749326.73,0
7-(Trimethylsilyl)amino-4-methylcoumarin,2244.753364,0,754.1411855,108233.9119,0,0,0,3164.284706,1186.546378,76119.58704,110169.3117,56791.31997,0
"7-Acetyl-6-ethyl-1,1,4,4-tetramethyltetralin ",1105840.99,1712229.258,141787.9612,700905.0433,144372.5896,1078393.93,615662.642,667623.2329,383198.7691,202183.8491,157378.1443,149803.129,116596.1458
"7-Isoquinolinol, 1,2,3,4-tetrahydro-1-[(4-hydroxyphenyl)methyl]-6-methoxy-",52555109.97,60378999.01,38848503.25,30120961.4,86339821.65,69594644.99,134261154.5,143739126.7,55085807.13,232028794.8,273354715.4,159057933.5,26888374.44
"7-Keto-3alpha,12-alpha-dihydroxycholanic acid",0,0,0,0,26802.31791,0,0,2044939.522,52174.39234,0,0,186746.6814,185046.9851
"7,9-Di-tert-butyl-1-oxaspiro(4,5)deca-6,9-diene-2,8-dione",19607456.7,20179250.76,19915407.7,20624382.69,20335741.31,20048506.24,20016117.52,22148317.73,21195492.53,131022246.2,116449784.5,48895610.22,29569936.94
8-Heptadecene,0,42741.31093,39653.33202,0,33058.40748,0,11806.29179,9464.626051,0,0,1966.736795,0,0
8-Hydroxy-5-(hydroxymethyl)quinoline,240327079.7,231981132.4,0,146052085.2,488973153.1,511038877.3,486398315.9,694504727,163556380,4711941882,0,13041219098,0
9-Hexadecenoic acid,2732123.725,2449943.259,25319644.61,1117643.44,0,0,19642966.08,21389881.62,647410.2292,9442578.988,8734499.282,0,13495826.38
9-Octadecenamide,3114744.558,10193625.48,8574156.054,10798071.06,5574523.647,9430483.496,7119768.063,12441854.28,21667609.82,0,106553.0136,0,0
9-Octadecenoic acid,22.6287385,0,0,0,0,0,111.0380068,0,0,0.004067278,2.090148069,0.86290062,0.793081587
"9,12-Octadecadienoic acid",10632639.96,12809030.59,15783777.2,9941404.165,8231261.443,6176782.321,5956658.548,11220113.3,11646046.61,29391368.31,1874935.051,24645014.87,428027.8002
"9(E),11(E)-Conjugated linoleic acid",0,5428.786536,0,13454.57568,6059.837591,0,0,12742.07107,0,0,0,0,0
"9H-Fluorene, 9-methylene-",29210.02717,37673.18244,0,29609.62277,14006.4074,49890.57422,22270.74553,20955.48616,16600.36562,0,0,0.299718598,0
9H-Purin-6-ol,0,60190.27434,88971.23721,0,0,15513.04525,0,38348.58502,0,164908.7197,105402.7055,87659.60878,0
"9H-Purine, 9-(trimethylsilyl)-2,6,8-tris[(trimethylsilyl)oxy]-",0,0,0,12749.00139,0,66623.33254,54319.66487,266813.1359,0,135979.3228,22212.1049,0,26055.29075
"Acetamide, 2,2,2-trifluoro-",2107266.539,4808257.501,0,0,0,0,0,0,0,598868.7664,618868.1554,539321.0107,774614.7635
"Acetamide, N,N-diethyl-",2216183.78,2642757.299,817796.1523,3733520.566,3783607.673,2572096.272,1341709.786,3745409.232,3212128.207,3409208.437,3272260.331,2985057.284,2889809.402
"Acetic acid, bis[(trimethylsilyl)oxyl]-",1976410.715,7375110.704,7141632.306,1714130.949,12128298.24,3764072.892,5332863.895,10707025.38,3250022.411,989066.7748,267680.6145,494322.105,0
"Acetin, bis-1,3-trimethylsilyl ether",2038.124374,2394.613274,2500.214024,2585.227027,53.01979423,0,74.40152328,3105.711826,56.16534669,0,0,0,0
Acetoacetic acid,462892.1213,1083626.982,582705.1479,588999.3238,541336.476,432756.3639,912915.6405,592962.6537,609428.2316,5192253.251,3760425.457,5247075.685,195902.3736
"Acetohydrazide, 2-(2-isopropyl-5-methylphenoxy)-N2-benzylideno-",63742.82956,0,0,94157.01436,0,91237.7962,0,0,0,0,0,0,43223.66281
Aceturic acid,1760.617823,4706.300771,33626.38509,0,7016.296219,3051.278183,2635.879855,7011.266588,10530.80752,97639.29885,113688.2104,63098.65939,0
Aconitic acid,6439.357862,0,0,0,20399.69076,0,0,0,0,0,0,0,0
Adipoyl-L-carnitine,416404.034,637912.2174,1061319.782,202060.6061,849489.5827,543238.3099,1044623.764,1739660.937,499720.5279,35.15366569,46.23977671,0,0
Albizziin,38521490.35,37568287.1,50656941.99,14005848.66,12626464.58,28660060.59,25808570.55,70396324.34,16690863.58,192721750.9,0,0,76579055.98
Alloxanic acid,2483657.963,0,2146181.833,13591568.68,3470155.106,4360193.654,0,0,10417078.57,0,0,20276320.3,11099004.09
