Metabolite 1,Metabolite 2,Spearman Coefficient,p-value,Values Counted
ENSMUSG00000026988-S,Myristic acid,-0.5,0.6666666666666666,3
ENSMUSG00000026988-S,"N,N-Dimethyl-2-aminoethanol",nan,nan,0
ENSMUSG00000026988-S,"N-[(3,4,5-Trimethoxyphenyl)methylidene]hydroxylamine",nan,nan,0
ENSMUSG00000026988-S,N-Acetylaminoethanol,-0.8660254037844387,0.33333333333333326,3
ENSMUSG00000026988-S,N-Acetylaspartic acid,-1.0,0.0,3
ENSMUSG00000026988-S,N-Acetyl-L-alanine,-0.5,0.6666666666666666,3
ENSMUSG00000026988-S,"Naringenin 4',7-dimethylether",-0.5,0.6666666666666666,3
ENSMUSG00000026988-S,N-Caffeoyl-O-methyltyramine,-1.0,0.0,3
ENSMUSG00000026988-S,N-Ethylamphetamine,nan,nan,0
ENSMUSG00000026988-S,N-Ethyldiethanolamine,-0.5,0.6666666666666666,3
ENSMUSG00000026988-S,Niacin,-0.5,0.6666666666666666,3
ENSMUSG00000026988-S,Niacinamide,0.5,0.6666666666666666,3
ENSMUSG00000026988-S,N-Isobutyrylglycine,0.5,0.6666666666666666,3
ENSMUSG00000026988-S,N-Methyl-1-[(trimethylsilyl)oxy]-1-{4-[(trimethylsilyl)oxy]phenyl}propan-2-amine,-1.0,0.0,3
ENSMUSG00000026988-S,N-Methylacetamide,0.0,1.0,3
ENSMUSG00000026988-S,Nonanoic acid,-1.0,0.0,3
ENSMUSG00000026988-S,Norephedrine,-0.5,0.6666666666666666,3
ENSMUSG00000026988-S,Norketamine,-1.0,0.0,3
ENSMUSG00000026988-S,"Norleucine, N-trimethylsilyl-",nan,nan,0
ENSMUSG00000026988-S,Octacosanol,nan,nan,0
ENSMUSG00000026988-S,"Octadecanoic acid, octyl ester",nan,nan,0
ENSMUSG00000026988-S,Octadecanoic acid,nan,nan,0
ENSMUSG00000026988-S,Octanoic acid,nan,nan,0
ENSMUSG00000026988-S,Octocrylene,nan,nan,0
ENSMUSG00000026988-S,Oleamide,-1.0,0.0,3
ENSMUSG00000026988-S,Oleic Acid,nan,nan,0
ENSMUSG00000026988-S,Olomoucine,nan,nan,0
ENSMUSG00000026988-S,Oxalic acid,-0.8660254037844387,0.33333333333333326,3
