ID,External ID,Name,Tissue,Feature Type,Direction of Change (LPS & DSS),Median BiBC Percentile,Degree,Degree Percentile,Feces-Degree,Feces-Degree Percentile,Plasma-Degree,Plasma-Degree Percentile,Plexus-Degree,Plexus-Degree Percentile,Cortex-Degree,Cortex-Degree Percentile,Striatum-Degree,Striatum-Degree Percentile,Remaining-Brain-Degree,Remaining-Brain-Degree Percentile,"BiBC, Feces-Choroid Plexus, via Plasma","BiBC, Feces-Choroid Plexus, via Plasma (%ile)","BiBC, Feces-Cortex, via Plasma","BiBC, Feces-Cortex, via Plasma (%ile)","BiBC, Feces-Cortex, via Plexus","BiBC, Feces-Cortex, via Plexus (%ile)","BiBC, Feces-Cortex, via Plasma + Plexus","BiBC, Feces-Cortex, via Plasma + Plexus (%ile)","BiBC, Feces-Striatum, via Plasma","BiBC, Feces-Striatum, via Plasma (%ile)","BiBC, Feces-Striatum, via Plexus","BiBC, Feces-Striatum, via Plexus (%ile)","BiBC, Feces-Striatum, via Plasma + Plexus","BiBC, Feces-Striatum, via Plasma + Plexus (%ile)","BiBC, Plasma-Plexus","BiBC, Plasma-Plexus (%ile)","BiBC, Plasma - Cortex","BiBC Percentile, Plasma - Cortex","BiBC, Plasma - Striatum","BiBC Percentile, Plasma - Striatum","BiBC, Choroid Plexus - Cortex","BiBC Percentile, Choroid Plexus - Cortex","BiBC, Choroid Plexus - Striatum","BiBC Percentile, Choroid Plexus - Striatum","BiBC, Choroid Plexus - Remaining Brain","BiBC Percentile, Choroid Plexus - Remaining Brain","BiBC, Choroid Plexus - Other Transcriptomics","BiBC Percentile, Choroid Plexus - Other Transcriptomics",Median BiBC Percentile,Subnetwork,Frustration,Total # of Inputs,# Inputs Indicating Up,# Inputs Indicating Down,"Mean Abundance, VECPAC, CRE-","Mean Abundance, VECPAC, CRE+","Mean Abundance, LPS, CTRL","Mean Abundance, LPS, 2.5h","Mean Abundance, DSS, CTRL","Mean Abundance, DSS, T1","Log2 Mean Fold Change, VECPAC","Log2 Mean Fold Change, LPS","Log2 Mean Fold Change, DSS",Actual Direction of Change in DSS,Predicted Direction Matches Actual Direction?,"Median Abundance, VECPAC, CRE-","Median Abundance, VECPAC, CRE+","Median Abundance, LPS, CTRL","Median Abundance, LPS, 2.5h","Median Abundance, DSS, CTRL","Median Abundance, DSS, T1",Minimum Median Control Abundance,Coefficient of Variation (Medians)
21,ENSMUSG00000021243,Fcf1,Choroid Plexus,Gene,Up,68.4%,11,73.5%,0,0.0%,4,91.1%,6,88.3%,0,0.0%,1,64.7%,0,0.0%,311.4,67.1%,448.2,80.4%,7.7,25.2%,35.9,37.6%,444.5,78.8%,27.0,30.9%,176.4,57.7%,447.7,54.2%,542.2,69.1%,432.0,62.9%,871.4,69.4%,877.4,68.8%,611.9,68.5%,2360.8,68.4%,68.4%,gene_P_0,,,,,6.706E+00,6.560E+00,6.902E+00,7.016E+00,6.662E+00,6.868E+00,-0.032,0.023,0.044,Up,True,6.749E+00,6.662E+00,6.898E+00,7.014E+00,6.695E+00,6.803E+00,6.695E+00,0.015
22,ENSMUSG00000016495,Plgrkt,Choroid Plexus,Gene,Down,52.3%,9,67.8%,5,95.6%,0,0.0%,2,69.1%,1,60.6%,0,0.0%,1,79.7%,22.9,28.4%,28.5,39.1%,642.1,81.6%,586.1,85.7%,15.8,33.9%,320.1,65.1%,195.3,59.9%,50.5,28.1%,53.4,35.8%,49.0,33.5%,408.1,52.3%,457.3,51.4%,864.6,78.1%,1730.0,58.8%,52.3%,gene_P_5,,,,,4.725E+00,5.237E+00,5.386E+00,5.068E+00,5.429E+00,5.144E+00,0.148,-0.088,-0.078,Down,True,5.014E+00,5.028E+00,5.384E+00,5.243E+00,5.544E+00,5.205E+00,5.014E+00,0.051
23,ENSMUSG00000026803,Ttf1,Choroid Plexus,Gene,Down,86.8%,20,85.6%,0,0.0%,3,89.0%,14,94.1%,1,60.6%,1,64.7%,1,79.7%,1721.8,95.6%,837.7,89.7%,398.3,70.4%,418.9,79.1%,1747.9,97.0%,387.9,69.6%,491.0,83.0%,1768.3,87.2%,1029.8,82.5%,1952.2,92.4%,2609.2,92.1%,1857.5,86.8%,1115.1,84.5%,5581.8,89.8%,86.8%,gene_P_4,,,,,5.630E+00,6.002E+00,5.928E+00,5.615E+00,5.924E+00,5.530E+00,0.092,-0.078,-0.099,Down,True,5.763E+00,6.017E+00,5.903E+00,5.858E+00,6.083E+00,5.500E+00,5.763E+00,0.027
24,ENSMUSG00000036188,Ankmy2,Choroid Plexus,Gene,Down,66.0%,3,28.4%,1,80.7%,0,0.0%,0,0.0%,2,77.6%,0,0.0%,0,0.0%,,,,,398.8,70.5%,369.3,77.0%,,,0.0,0.0%,0.0,0.0%,,,,,,,2249.0,89.7%,699.0,61.4%,404.0,58.4%,3352.0,77.8%,66.0%,,,,,,5.638E+00,5.787E+00,5.889E+00,5.688E+00,5.983E+00,5.725E+00,0.038,-0.050,-0.064,Down,True,5.721E+00,5.819E+00,5.935E+00,5.750E+00,5.938E+00,5.817E+00,5.721E+00,0.021
25,ENSMUSG00000068284,Usf3,Choroid Plexus,Gene,Down,91.8%,44,96.3%,3,91.3%,2,85.2%,35,97.7%,3,85.2%,1,64.7%,0,0.0%,1240.8,93.2%,1414.8,95.2%,1294.8,94.5%,1261.4,96.5%,795.3,88.4%,837.7,87.2%,704.0,89.2%,1714.5,86.7%,1765.9,91.8%,708.7,74.0%,2579.2,92.0%,2574.1,92.7%,1475.9,90.3%,6629.2,93.0%,91.8%,gene_P_2,,,,,5.578E+00,5.973E+00,5.935E+00,5.620E+00,6.135E+00,5.668E+00,0.099,-0.079,-0.114,Down,True,5.562E+00,5.959E+00,5.944E+00,5.699E+00,6.323E+00,6.080E+00,5.562E+00,0.064
26,ENSMUSG00000033237,Arid2,Choroid Plexus,Gene,Down,36.0%,3,28.4%,0,0.0%,0,0.0%,1,50.1%,1,60.6%,0,0.0%,1,79.7%,0.0,0.0%,215.0,63.7%,219.0,57.0%,222.0,65.7%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,370.0,59.7%,0.0,0.0%,381.1,50.8%,12.5,18.2%,243.9,49.4%,637.5,36.0%,36.0%,,,,,,5.843E+00,6.104E+00,6.106E+00,5.921E+00,6.161E+00,5.668E+00,0.063,-0.044,-0.120,Down,True,5.876E+00,5.968E+00,6.119E+00,5.821E+00,5.970E+00,5.923E+00,5.876E+00,0.021
27,ENSMUSG00000063894,Zkscan8,Choroid Plexus,Gene,Down,77.5%,6,54.4%,1,80.7%,1,78.8%,1,50.1%,3,85.2%,0,0.0%,0,0.0%,18.9,26.7%,399.8,77.5%,504.7,76.1%,381.2,77.6%,0.0,0.0%,0.0,0.0%,12.4,27.8%,50.6,28.2%,1010.2,82.2%,1.1,20.3%,1564.6,83.0%,1491.5,82.1%,838.7,77.5%,3894.8,81.6%,77.5%,,,,,,4.267E+00,4.754E+00,4.414E+00,4.237E+00,5.069E+00,4.691E+00,0.156,-0.059,-0.112,Down,True,4.307E+00,4.642E+00,4.440E+00,4.320E+00,5.089E+00,4.747E+00,4.307E+00,0.091
28,ENSMUSG00000027536,Chmp4c,Choroid Plexus,Gene,Up,39.8%,4,39.1%,1,80.7%,0,0.0%,1,50.1%,2,77.6%,0,0.0%,0,0.0%,0.0,0.0%,219.5,66.0%,596.9,80.4%,526.7,84.0%,0.0,0.0%,5.1,22.4%,2.7,20.2%,0.0,0.0%,379.2,61.3%,0.0,0.0%,1182.7,77.0%,200.0,39.4%,129.5,39.8%,1512.2,54.5%,39.8%,gene_P_0,,,,,2.962E+00,2.647E+00,2.843E+00,3.272E+00,2.508E+00,2.910E+00,-0.162,0.203,0.215,Up,True,3.228E+00,3.012E+00,3.150E+00,3.095E+00,3.279E+00,2.440E+00,3.150E+00,0.020
29,ENSMUSG00000069727,Zfp975,Choroid Plexus,Gene,Down,69.4%,14,78.8%,5,95.6%,0,0.0%,5,86.2%,2,77.6%,2,80.9%,0,0.0%,285.6,65.1%,415.5,78.6%,1314.3,94.7%,1134.9,95.8%,218.1,64.9%,1014.1,90.5%,855.5,91.8%,574.7,60.7%,867.5,79.2%,390.5,61.1%,870.4,69.4%,823.6,66.9%,423.2,60.1%,2117.2,65.0%,69.4%,gene_P_0,,,,,1.708E+00,2.030E+00,2.197E+00,1.734E+00,2.185E+00,1.661E+00,0.249,-0.342,-0.396,Down,True,1.842E+00,2.102E+00,2.713E+00,1.479E+00,3.312E+00,1.870E+00,1.842E+00,0.282
30,ENSMUSG00000042118,Bhmt2,Choroid Plexus,Gene,Down,62.9%,11,73.5%,1,80.7%,0,0.0%,7,89.8%,2,77.6%,1,64.7%,0,0.0%,309.7,66.9%,406.1,77.8%,215.3,56.2%,227.5,66.7%,48.9,43.5%,71.4,39.0%,56.6,40.9%,628.6,63.0%,754.4,76.0%,146.8,43.6%,1024.0,73.2%,403.7,49.3%,526.1,65.0%,1953.8,62.9%,62.9%,gene_P_0,,,,,2.767E+00,3.686E+00,3.196E+00,1.812E+00,3.285E+00,2.161E+00,0.414,-0.819,-0.604,Down,True,2.913E+00,3.744E+00,3.412E+00,2.122E+00,2.913E+00,2.916E+00,2.913E+00,0.094
