NAME,935_CTR_LPS_CSF_070224,936_CTR_LPS_CSF_070224_2,937_CTR_LPS_CSF_070224,941_CTR_LPS_CSF_070224,942_CTR_LPS_CSF_070224,943_CTR_LPS_CSF_070224
,LPS_CTRL,LPS_CTRL,LPS_CTRL,LPS_CTRL,LPS_CTRL,LPS_CTRL
2-Furoic acid,0.0,17.53432975717236,17.924096654049123,16.922005848746732,0.0,16.528636948046376
2-Hexanol,25.787252850738195,0.0,26.30294955061093,0.0,25.82024093815226,26.456100480033697
"2'-Hydroxy-2,4,4',5-tetramethoxychalcone",9.755639214733907,11.209528024383998,11.47124341668523,10.440711287656496,10.041382994198626,11.19057938989915
"2-Hydroxy-2',4',6'-trimethoxychalcone",0.0,0.0,9.365187985074082,10.650729357280216,0.0,0.0
2-Hydroxy-3-methylbutyric acid,8.95669420979846,9.642625484159419,9.73399904376786,1.7187666401260204,8.864115341574207,9.521485106661112
"2-Hydroxymethyl-17alpha-methylandrosta-1,4-diene-11alpha,17beta-diol-3-one",0.0,0.0,0.0,0.0,0.0,0.0
2-Isopropyl-5-methyl-1-heptanol,0.0,0.0,0.0,0.0,0.0,0.0
"2-Methyl-1,3-butanediol",23.029841945070494,22.53697742416346,23.2437612087246,22.78663178609337,22.007868081522645,22.73476307964673
2-Methyl-3-pentanol,16.177145815769133,16.99544366734957,16.20815251443936,0.0,17.14615155558615,17.252005369521083
"2-Methylcyclohexanol, (Z)",16.09103373291336,16.84812173640483,16.337884804225666,16.365871870440376,14.520571846222397,15.50541766530678
"2-Methylcyclohexylamine, tert.-butyldimethylsilyl ether",21.825120701980783,0.0,22.632136633894785,0.0,21.881610401155918,22.183864720551462
2-Naphthol,16.74472513077817,16.481265413509778,17.248928887338625,17.75329660363436,15.815272114893792,16.508825531370835
2-Norbornanemethanol,24.378729641754003,23.152092267614705,0.0,0.0,0.0,0.0
"2-Oxiraneethanol, 2-t-butyldimethysilyloxymethyl- acetate",19.064001747553185,0.0,0.0,0.0,0.0,0.0
2-Pentadecanone,5.270600262826063,5.57569447473868,6.34331410928212,6.482368642255816,4.575782209044429,5.978495868268916
"2-Pivaloyl-1,3-indandione",0.0,0.0,0.0,0.0,0.0,0.0
2-Propyl-1-pentanol,20.772638008565018,18.497953126351106,23.55555668595684,24.06084165307349,22.964505272224688,23.25772771986685
2-Pyrrolidone-5-carboxylic acid,29.14867911242964,30.270707617057536,29.577945792147684,28.220259457616194,29.33319885779893,30.112401223277317
"2-Thiophenecarboxylic acid, 4-cyanophenyl ester",0.0,0.0,0.0,0.0,0.0,0.0
"3-(4,7-Dimethoxy-2H-1,3-benzodioxol-5-yl)-2-methylprop-2-enal",20.079251286382,21.003508442442353,21.71375454740098,20.619278847480906,21.499452999766607,22.05325798321256
3-(4-Methoxyphenyl)coumarin,21.30818626670108,0.0,19.476836646575205,17.442802052559337,0.0,0.0
"3,3-Bis{4-[(trimethylsilyl)oxy]phenyl}-2-benzofuran-1(3H)-one",0.0,0.0,34.14975571149616,0.0,0.0,0.0
