Individual P-value,FDR Threshold,Unique Nodes,Edges,Positive Edges,Negative Edges,Positive:Negative Ratio,Density,Mean Correlation Coefficient
0.15,1.0,507,2872,2788,84,33.19047619047619,0.022390095968691286,0.6234856617657673
0.15,0.3,507,2872,2788,84,33.19047619047619,0.022390095968691286,0.6234856617657673
0.15,0.25,507,2872,2788,84,33.19047619047619,0.022390095968691286,0.6234856617657673
0.15,0.2,507,2872,2788,84,33.19047619047619,0.022390095968691286,0.6234856617657673
0.15,0.15,507,2872,2788,84,33.19047619047619,0.022390095968691286,0.6234856617657673
0.15,0.1,507,2872,2788,84,33.19047619047619,0.022390095968691286,0.6234856617657673
0.15,0.05,489,2716,2649,67,39.53731343283582,0.022763082905896945,0.6360161518973947
0.15,0.01,365,1525,1508,17,88.70588235294117,0.022956495559235287,0.7023618274888407
0.1,1.0,414,1664,1635,29,56.37931034482759,0.01946403715010937,0.6743626322022703
0.1,0.3,414,1664,1635,29,56.37931034482759,0.01946403715010937,0.6743626322022703
0.1,0.25,414,1664,1635,29,56.37931034482759,0.01946403715010937,0.6743626322022703
0.1,0.2,414,1664,1635,29,56.37931034482759,0.01946403715010937,0.6743626322022703
0.1,0.15,414,1664,1635,29,56.37931034482759,0.01946403715010937,0.6743626322022703
0.1,0.1,414,1664,1635,29,56.37931034482759,0.01946403715010937,0.6743626322022703
0.1,0.05,414,1663,1634,29,56.3448275862069,0.019452340012398966,0.6744554335087612
0.1,0.01,326,1122,1113,9,123.66666666666667,0.021179801793298727,0.7229043088926544
0.05,1.0,260,691,682,9,75.77777777777777,0.020522720522720524,0.7309437386081815
0.05,0.3,260,691,682,9,75.77777777777777,0.020522720522720524,0.7309437386081815
0.05,0.25,260,691,682,9,75.77777777777777,0.020522720522720524,0.7309437386081815
0.05,0.2,260,691,682,9,75.77777777777777,0.020522720522720524,0.7309437386081815
0.05,0.15,260,691,682,9,75.77777777777777,0.020522720522720524,0.7309437386081815
0.05,0.1,260,691,682,9,75.77777777777777,0.020522720522720524,0.7309437386081815
0.05,0.05,260,691,682,9,75.77777777777777,0.020522720522720524,0.7309437386081815
0.05,0.01,241,622,616,6,102.66666666666667,0.021507607192254495,0.7459341020633755
0.01,1.0,97,121,120,1,120.0,0.025987972508591067,0.8261064898325658
0.01,0.3,97,121,120,1,120.0,0.025987972508591067,0.8261064898325658
0.01,0.25,97,121,120,1,120.0,0.025987972508591067,0.8261064898325658
0.01,0.2,97,121,120,1,120.0,0.025987972508591067,0.8261064898325658
0.01,0.15,97,121,120,1,120.0,0.025987972508591067,0.8261064898325658
0.01,0.1,97,121,120,1,120.0,0.025987972508591067,0.8261064898325658
0.01,0.05,97,121,120,1,120.0,0.025987972508591067,0.8261064898325658
0.01,0.01,97,121,120,1,120.0,0.025987972508591067,0.8261064898325658
