Name,direction
2-Methylglutaconic acid,-1
"L-Lysine, ethyl ester ",-1
Phenanthridin-6-ol ,1
Oxalic acid,1
Tetradecanenitrile,1
Sertraline carbamoyl glucuronide,-1
3'-(Trimethylsilyl)oxy-beta-naphthoflavone,1
Aspartic acid,1
"7-Acetyl-6-ethyl-1,1,4,4-tetramethyltetralin ",1
"9,12-Octadecadienoic acid",-1
(pm)-alpha-Tocopherol acetate,-1
L-Tryptophan,-1
Cyclo(L-prolyl-L-valine) ,-1
4-(Methoxycarbonyl)phenol,1
"1,4-diazabicyclo[4.3.0]nonan-2,5-dione, 3-methyl ",1
3-Amino-2-piperidone,-1
Hydantoic acid,-1
Syringaldehyde,-1
Trisaminol,1
3-(2-Hydroxyethyl)imidazole-2-thione,1
Atrazine desethyl,-1
4-Hydroxybenzoic acid,-1
Dodecylcyclohexane,-1
Ketamine ,1
2-Aminobutanoic acid,1
Carfentrazone-ethyl,1
DL-Phenylalanine,-1
"Dodecane, 4,6-dimethyl-",-1
Trimidox,1
L-Leucine,
"Glycine, N-[4-[(trimethylsilyl)oxy]benzoyl]-",-1
Dehydronorketamine,-1
cyclobutanecarboxylic acid,-1
Glyceric acid,-1
"Glycine, N-(1-oxobutyl)-",-1
N-Valerylglycine,-1
"Thiazolo[4,5-f]quinoline, 2,9-dimethyl-",1
"(2S,3R)-3-[(4E,7E)-Nona-4,7-dienoyl]-N,N-bis(trimethylsilyl)oxirane-2-carboxamide ",-1
Cadaverine,-1
"D-Psicofuranose, pentakis",1
N-alpha-Acetyl-L-Lysine,-1
1-Phenylethanol,1
2-Hydroxy-2-methylbutyric acid,-1
"5,10-Diethoxy-2,3,7,8-tetrahydro-1H,6H-dipyrrolo[1,2-a:1',2'-d]pyrazine ",-1
"Acetohydrazide, 2-(2-isopropyl-5-methylphenoxy)-N2-benzylideno-",-1
"N-isobutyl-2-(trimethylsilyloxy]-4,5-dihydro-1H-imidazole-1-carboxamide",-1
"Trimethylsilyl (5-benzyl-3,6-dioxopiperazin-2-yl)acetate",-1
"1,3-Cyclohexanebis(methylamine)",-1
Arabinaric acid,-1
Stearic acid,-1
"Benzoic acid, methyl ester",1
2-Amino-4-methylphenol,-1
"D-(-)-Lyxose, tetrakis",1
"1-Pentene, 3,3-dimethyl-",1
"1H-Inden-1-one, 2,3-dihydro-7-hydroxy-3-methyl- ",-1
Trimethylsilyl oct-2-enoate ,1
Arsenous acid,1
"Morpholine, 4-[2,3,4,6-tetrakis-O-(trimethylsilyl)-alpha-d-mannopyranosyl]-",1
"Cyclohexene, 3,3-dimethyl-1-(trimethylsilyloxy)-",1
1-(4-Hydroxybenzylidene)acetone,-1
"2,4-Imidazolidinedione, 5,5-dimethyl-",-1
"5,6-Dihydro-5-methyluracil",1
"Cetaben, N,O-bis(trimethylsilyl)-",-1
1-Hydroxy-3-methoxy-6-methylanthraquinone,1
"2,2,8,8-Tetramethyl-3,7-dioxa-4-aza-2,8-disilanon-4-ene",1
"Propiophenone, 3',4'-dimethoxy-",1
Petroselinic acid,-1
1-(3-Methylphenyl)piperazine,-1
"2,5-Dimethoxymandelic acid",1
L-Cysteine,1
Ribitol,-1
Succinic anhydride,-1
Xylazine,-1
5-(2-Aminopropyl)-2-methylphenol,1
"2-Heptanone, 4,6-dimethyl-",-1
6-Hydroxyflavone-beta-D-glucoside,-1
"alpha-L-Galactopyranoside, methyl 6-deoxy-, (R,R,R,S,S)-",-1
"Azetidine, 1-acetyl-2-methyl-",-1
"Benzene, 1-acetoxy-2,6-dimethoxy-4-(2-propenyl)-",1
"1-Decene, 8-methyl-",-1
Bis(trimethylsilyl)acetylene,-1
Cyclo-(l-leucyl-l-phenylalanyl) ,1
1-Hexadecanol,1
Xylitol,1
3-Methoxysalicylic acid,1
L-Hydroxyproline,-1
"Butanoic acid, 2-methyl-3-[(trimethylsilyl)oxy]-",-1
Ammeline,-1
"2-Pentenedioic acid, 3-methyl-",-1
"2,5-Dimethoxybenzonitrile",-1
"Benzenepropanoic acid, 3,5-bis(1,1-dimethylethyl)-4-hydroxy-",1
"D-Xylofuranose, 1,2,3,5-tetrakis-O-",1
Mirin,-1
"Cephalotaxine, 3-deoxy-3,11-epoxy-, (3alpha,11alpha)-",1
Quazodine,1
n-Pentadecanol,1
"3-Methoxyamphetamine, 4-Trimethylsilyloxy, N,N-bis(Trimethylsilyloxy)-",
Glucopyranose,-1
"2,5-Piperazinedione, 3-methyl-6-(phenylmethyl)-",-1
Guanabenz,-1
D-Mannose,-1
"1,4-Dioxaspiro[4.5]decane",1
Xylose,-1
N-Isobutyrylglycine,1
"Talonic acid, gamma-lactone",-1
"D-(-)-Fructofuranose, pentakis",1
2-Aminoadipic acid,-1
"2-Propenamide, 3-phenyl-N-2-propenyl-",-1
Albizziin,1
2-Hydroxy-3-methylbutyric acid,-1
Octopamine,1
"Ethanone, 1-(5-methoxy-2-methyl-3(1H)-indolyl)-",-1
Latanoprost lactone diol,1
Gln-Ala,-1
9-Octadecenamide,-1
"N,9-bis(Trimethylsilyl)-6-[(trimethylsilyl)oxy]-9H-purin-2-amine",-1
