NAME,DSS_73_090224,DSS_76_090224,DSS_B896_090224,DSS_T0.7_090224,DSS_T0.8_090224
,DSS_T0,DSS_T0,DSS_T0,DSS_T0,DSS_T0
"2'-Hydroxy-2,4,4',5-tetramethoxychalcone",10.327396851550608,11.178200668564928,0.0,11.155761275153019,11.686995732172646
"2-Hydroxy-2',4',6'-trimethoxychalcone",0.0,0.0,0.0,0.0,0.0
2-Hydroxy-3-methylbutyric acid,9.30577446697876,9.076746235147718,9.094100885552754,8.763987921838341,9.263693404209121
"2-Hydroxymethyl-17alpha-methylandrosta-1,4-diene-11alpha,17beta-diol-3-one",0.0,0.0,0.0,0.0,0.0
2-Isopropyl-5-methyl-1-heptanol,0.0,28.88908743060726,0.0,0.0,0.0
"2-Methyl-1,3-butanediol",23.872623756677058,22.91353884841536,22.77335350468096,22.605484611685146,22.77965328203918
2-Methyl-3-pentanol,0.0,16.526102177444756,16.423198309631555,17.618376015039125,0.0
"2-Methylcyclohexanol, (Z)",17.785644860859456,17.159117616696562,16.87224912022487,16.59398010346235,16.72432057488729
"2-Methylcyclohexylamine, tert.-butyldimethylsilyl ether",0.0,22.030278940771705,21.847100467405003,0.0,22.038975713417596
2-Naphthol,17.735127895639742,16.57777032625118,16.25712708168752,16.358221208306944,16.342515517361488
2-Norbornanemethanol,0.0,0.0,0.0,0.0,26.187401745513277
"2-Oxiraneethanol, 2-t-butyldimethysilyloxymethyl- acetate",0.0,0.0,0.0,0.0,0.0
2-Pentadecanone,6.181275781662908,5.707643809435317,5.4676408042285605,4.610364453014943,5.515612599424944
"2-Pivaloyl-1,3-indandione",0.0,0.0,0.0,0.0,0.0
2-Propyl-1-pentanol,0.0,20.848935159638803,23.330804554244292,22.847485194182077,22.873871242204228
2-Pyrrolidone-5-carboxylic acid,29.2291084782978,29.603055462218208,29.736970811304232,31.069203241207546,29.976228599595064
"2-Thiophenecarboxylic acid, 4-cyanophenyl ester",0.0,0.0,0.0,0.0,0.0
"3-(4,7-Dimethoxy-2H-1,3-benzodioxol-5-yl)-2-methylprop-2-enal",19.758988329619132,20.8940013783423,21.42641987183415,21.295423479949243,22.337437703698594
3-(4-Methoxyphenyl)coumarin,0.0,0.0,0.0,0.0,0.0
"3,3-Bis{4-[(trimethylsilyl)oxy]phenyl}-2-benzofuran-1(3H)-one",0.0,0.0,0.0,0.0,0.0
"3,3-Dimethylacrylic acid",0.0,0.0,0.0,0.0,22.85983443592463
"3,4-Dihydroxybenzaldehyde",0.0,0.0,0.0,0.0,0.0
"3,4-Methylenedioxyamphetamine",28.06638676111312,0.0,27.245242293081848,0.0,0.0
"3,5-Dimethoxy-4-(tert.-butyldimethylsilyl)oxybenzaldehyde",0.0,0.0,0.0,0.0,0.0
"3,5-Dimethylphenol",15.265972931976455,14.609111425427093,14.428255275774463,14.163591584202177,14.624567223713507
3-Amino-5-methylisoxazole,23.57990088940565,22.530802224784416,22.9117072719071,22.82936876873424,22.90216143075774
3-Aminobenzoic acid,25.07764809609225,24.338147929963675,22.768402880814598,23.807289429577633,21.56845297523536
3-Buten-2-one,18.953619944973212,17.96445196802381,17.61390177720683,17.875130443163624,17.994649904757328
3-Heptanol,0.0,22.446943313973435,23.13785076980699,21.82102548241142,23.229736959534613
"3-Hydroxy-7,3',4',5'-tetramethoxyflavone",7.51906986933189,3.720729458046167,0.0,0.0,0.0
3-Hydroxymethyl-2-trimethylsilyloxypentane,0.0,0.0,0.0,0.0,15.376991782118944
3-Methyl-3-buten-1-ol,0.0,0.0,15.63472281226736,0.0,17.137711158784107
3-Nonene,0.0,0.0,0.0,0.0,0.0
3-Phenyl oxindole,0.0,0.0,0.0,0.0,0.0
"4,4'-Dichlorobenzophenone",0.0,0.0,0.0,0.0,0.0
"4,5-Dihydro-1H-pyrazole",0.0,24.264184831997063,25.314022237943888,0.0,25.792747357609738
"4-[2-(4,7-Dimethoxy-2H-1,3-benzodioxol-5-yl)ethenyl]-2-methoxyphenol",22.395897037450382,21.92989599702484,20.664459440117778,21.49489692721039,21.24292163903085
4-Aminobutanoic acid,15.593789123907447,19.245122450352216,18.215704283071158,17.224801742452637,15.592460118409154
4-Hydroxybutanoic acid,0.0,0.0,0.0,0.0,0.0
4-Methoxyphenol,0.0,26.77373968430705,0.0,0.0,28.585948115784937
"4-Methylquinoline-2,7-diol",0.0,0.0,0.0,0.0,0.0
4-Methylvaleric acid,19.38512732882917,19.553461457170123,19.59741227163859,18.60762597018816,19.266280053681275
4-Oxohexanoic acid,19.81665476883624,19.18321503951421,19.061087805126228,19.27036248784784,18.9457994806289
"4-Phenyl-2,3-dihydro-1H-1,5-benzodiazepin-2-one",0.0,0.0,0.0,0.0,0.0
4-tert-Butyldimethylsiloxy-3-penten-2-one,26.987023906346103,24.999511740763104,0.0,0.0,0.0
5-Aminovaleric acid,0.0,0.0,0.0,0.0,0.0
5-Azacytosine,18.40442560349255,18.136270995250975,18.586353127189263,18.37579728242799,17.838383056953106
"5-Chlorovaleric acid, nonyl ester",24.513592309966768,23.79607407273538,24.073801220300506,23.657235635047,23.667612341461336
"5-Ethyl-1,3-dioxane-5-methanol, tert-butyldimethylsilyl ether",22.88753511016086,23.52485203738897,0.0,20.969123349826695,22.89392977684854
5-Ethyl-5-methylnonadecane,0.0,0.0,0.0,0.0,0.0
5-Hydroxy-7-methoxy-2-methyl-3-phenyl-4-chromenone,15.93645443616743,36.78720357011533,16.012019750020812,26.242272896099205,0.0
5-Nitroso-8-quinolinol,0.0,23.875633064304292,24.388524718192514,0.0,0.0
"5-Nonanol, tert-butyldimethylsilyl ether",20.126985328410893,19.759625549261184,19.48281485481638,19.411315250836722,19.43039529499923
5-Oxohexanoic Acid,19.884143530493688,19.475010838137493,19.28162367884271,17.283706508498003,19.304636314828215
"6,7,4'-Trihydroxyisoflavone",17.635028083883988,17.359363404676348,16.708359168382,16.921378867189077,17.182662735713993
"6-Aminocaproic acid, N-(tert.-butyldimethylsilyl)",17.223414813508498,15.816990087978168,16.130403394024256,16.057177296016558,16.26415673556949
"6-Methoxy-1-methyl-1,2,3,4-tetrahydroisoquinolin-7-ol ",26.265221928047513,25.98217650642197,26.11655134131988,0.0,26.42945270727698
6-Methyluracil,21.30067017012949,19.90044458123151,19.319832878641122,19.751110829229045,18.47254896371173
6-Nitroveratryl alcohol,0.0,0.0,18.18203537026234,0.0,0.0
6-Oxoheptanoic acid,21.81112502972204,21.417796046763318,21.21807389873146,21.003265172385674,21.30139004042402
"7(S),17(S)-Dihydroxy-8(E),10(Z),13(Z),15(E),19(Z)-docosapentaenoic acid",0.0,0.0,12.129480519969583,0.0,0.0
7-Hydroxy-4-(methoxymethyl)coumarin,6.779654337534883,6.8005249808116535,0.0,0.0,0.0
8-Acetyl-7-hydroxycoumarin,0.0,0.0,0.0,0.0,0.0
8-Methylnonanoic acid,24.342401063198157,23.784022895457394,23.810750958922558,23.379919754207204,23.75201017433775
"9,12-Octadecadienoic acid (Z,Z)",0.0,0.0,0.0,0.0,24.099699503979352
9-Ethyl-N-(trimethylsilyl)-9H-carbazol-3-amine,0.0,0.0,0.0,0.0,0.0
"9H-Xanthen-9-one, 1-hydroxy-3,5,6-trimethoxy",0.0,25.035915717996993,0.0,0.0,0.0
