NAME,DSS_73_090224,DSS_76_090224,DSS_B896_090224,DSS_T0.7_090224,DSS_T0.8_090224,935_CTR_LPS_CSF_070224,936_CTR_LPS_CSF_070224_2,937_CTR_LPS_CSF_070224,941_CTR_LPS_CSF_070224,942_CTR_LPS_CSF_070224,943_CTR_LPS_CSF_070224,3297_VECPAC_190224,3679_VECPAC_190224,3681_VECPAC_190224
,DSS_T0,DSS_T0,DSS_T0,DSS_T0,DSS_T0,LPS_CTRL,LPS_CTRL,LPS_CTRL,LPS_CTRL,LPS_CTRL,LPS_CTRL,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL
"2-Methyl-1,3-butanediol",23.872623756677058,22.91353884841536,22.77335350468096,22.605484611685146,22.77965328203918,23.029841945070494,22.53697742416346,23.2437612087246,22.78663178609337,22.007868081522645,22.73476307964673,23.26926130157857,22.46526160476117,22.629513518651002
2-Methyl-3-pentanol,0.0,16.526102177444756,16.423198309631555,17.618376015039125,0.0,16.177145815769133,16.99544366734957,16.20815251443936,0.0,17.14615155558615,17.252005369521083,0.0,0.0,0.0
"2-Methylcyclohexanol, (Z)",17.785644860859456,17.159117616696562,16.87224912022487,16.59398010346235,16.72432057488729,16.09103373291336,16.84812173640483,16.337884804225666,16.365871870440376,14.520571846222397,15.50541766530678,16.065937495741483,16.995112862957345,17.17086534566569
"2-Methylcyclohexylamine, tert.-butyldimethylsilyl ether",0.0,22.030278940771705,21.847100467405003,0.0,22.038975713417596,21.825120701980783,0.0,22.632136633894785,0.0,21.881610401155918,22.183864720551462,0.0,0.0,0.0
2-Naphthol,17.735127895639742,16.57777032625118,16.25712708168752,16.358221208306944,16.342515517361488,16.74472513077817,16.481265413509778,17.248928887338625,17.75329660363436,15.815272114893792,16.508825531370835,15.99780578006538,16.36385451883464,16.27711528112605
2-Norbornanemethanol,0.0,0.0,0.0,0.0,26.187401745513277,24.378729641754003,23.152092267614705,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"2-Oxiraneethanol, 2-t-butyldimethysilyloxymethyl- acetate",0.0,0.0,0.0,0.0,0.0,19.064001747553185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2-Pentadecanone,6.181275781662908,5.707643809435317,5.4676408042285605,4.610364453014943,5.515612599424944,5.270600262826063,5.57569447473868,6.34331410928212,6.482368642255816,4.575782209044429,5.978495868268916,4.535122767345477,4.275167811106565,4.638387983136092
"2-Pivaloyl-1,3-indandione",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2-Propyl-1-pentanol,0.0,20.848935159638803,23.330804554244292,22.847485194182077,22.873871242204228,20.772638008565018,18.497953126351106,23.55555668595684,24.06084165307349,22.964505272224688,23.25772771986685,0.0,23.170647812628694,23.127940309364387
