,VECPAC_3307_290124,VECPAC_3319_290124,VECPAC_3329_290124,VECPAC_3336_290124,VECPAC_3337_290124,VECPAC_3354_290124,VECPAC_3371_290124,VECPAC3302_260124,VECPAC3353_260124,VECPAC3369_260124,VECPAC3673_250124,VECPAC3674_250124,VECPAC3675_250124,VECPAC3677_250124,VECPAC3678_250124,VECPAC3679_250124,VECPAC3680_250124,VECPAC3688_260124,VECPAC3697_260124
,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL
Neostigmine ,49266.58177,48468.19487,0,30227.93025,79848.26899,45357.0286,43031.66441,34875.97182,64058.73857,38266.01703,41731.22463,0,49708.39463,42183.12082,42834.09707,44342.96085,44593.71762,78148.4535,0
Niacin,251398.5091,227187.9787,272491.6071,205311.0046,215925.4937,299048.4464,237829.0826,350119.5144,280849.488,386909.3655,284590.8247,422255.6065,495542.3429,520969.4134,556516.8283,387441.1674,561467.5591,280221.7796,389299.532
Niacinamide,98409733.8,18600234.64,31412222.14,13163656.52,19377711.41,36747923.5,50278057.18,50686437.41,41236411.51,49869415.17,50451981.44,144213234.9,53219463.29,64289036.27,53906571.94,74449590.49,52569590.18,34989476.46,47511190.57
Niclosamide,55182.7248,30183.73842,15793.22595,51207.22941,49298.46122,36757.26148,46662.72768,55640.78257,44311.05646,47100.74105,2195.172225,14515.8959,21186.95731,24906.30788,21434.70813,29878.45577,39730.05619,28662.58556,40836.1078
Nitrosothymol,0,54179.02761,161510.0838,0,44825.70827,37754.71163,96000.51282,0,0,72438.39989,0,62815.34678,0,0,11594.75007,0,4158.665211,0,20065.61281
Nonadecanoic acid,2700.227898,6720.259439,3170.73202,2938.487245,6586.667633,6539.67906,0,5542.988196,5363.143646,0,4178.977802,4929.962369,1908.12843,6114.825987,4977.679333,5785.606249,5086.725794,2532.620975,0
Nonanal,39315.19139,45237.41472,49765.73533,57585.20083,53739.11252,25969.18808,47848.66525,49892.19591,46945.47791,50287.42084,28129.24709,43023.09769,41268.64927,41999.79029,41658.14401,47875.08379,40624.65017,45529.42465,48703.11598
Nonanoic acid,0,278.8263812,0,0,39756.76705,0,31102.16256,0,0,0,0,371.8900217,0,0,0,0,37259.37608,0,0
Norketamine,697227150.6,0,488126986.7,0,0,274738700.3,524450400.4,199836110.1,293146409,464879940.6,527303979.1,420529241.3,469668449.6,443265677,528177691,450167947.4,648414463.4,298026416.2,238681514.6
"O-Methyl-N,N'-diisopropylisourea ",0,0,0,0,316521489.6,0,1258851559,0,0,0,246692410,476500099.3,4209406189,1571935124,0,2987914117,0,0,409906068.4
Oct-1-en-3-ol,0,0,5977955.953,0,0,0,0,0,0,0,0,0,0,0,0,9944338.307,0,0,0
"Octadecanamide, N-(2-methylpropyl)-N-nitroso-",0,0,0,0,0,0,10155.59935,9507.822542,0,0,1924.668633,0,0,0,14799.93888,13403.02679,2291.347379,3612.581522,0
Octan-2-yl palmitate,2193727.437,2929800.441,1111435.677,0,2343027.957,3353210.071,3961278.598,144010.8009,1562455.097,2075725.462,3709415.571,1461281.52,1404068.771,2434354.64,2501903.722,0,654990.8369,1332870.509,3048632.662
"Octanamide, N-(2-hydroxyethyl)-",0,0,0,0,301892.52,0,0,0,0,0,0,0,0,0,0,0,0,0,351019.2993
"Octane, 1-propoxy-",6332.631897,6650.734296,5563.47409,8765.745533,7895.482315,5926.004763,0,6324.123007,344.1853783,7008.416644,5394.314356,5480.032532,4716.652204,4731.777062,9846.927687,5904.664379,5337.64299,6719.70627,6787.630862
Octanoic acid,1397531.847,1411923.938,1679758.844,1410831.257,1467411.531,1666341.92,1666022.21,1453763.942,1240686.776,1453003.862,1416196.577,1594114.837,1467485.319,1766801.465,1503958.643,1520046.49,1487273.134,1334426.777,1435102.35
Octocrylene,13910.70498,0,28226.74064,4675.669462,13085.90759,40537.1321,15860.71815,4441.185378,0,0,0,0,16250.36842,0,10987.98968,15925.85756,8594.510608,13506.40582,15807.33027
Octopamine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ornithine,0,0,0,0,0,10560128.96,0,0,0,0,14586142.29,0,0,19517507.07,0,0,0,117546587.7,0
Oxalic acid,975665.4556,785328.2913,969866.6227,692180.4704,802169.9608,860109.0653,708409.4373,1202579.805,892626.4223,1167859.445,1041735.523,1242257.489,1326192.784,1376663.496,1399148.809,1276713.375,1527555.909,1062075.191,1133699.003
"Oxalic acid, allyl octyl ester",52853.09254,54740.86709,42773.18221,82277.53733,61189.43063,0,0,41233.49758,0,73494.15217,0,87844.52502,0,55648.45408,53535.70045,59643.49004,43858.81775,0,0
p-Hydroxydiisopropylbenzene,1549917.838,1149005.58,1035270.923,1044762.905,1149935.736,1058743.124,1291614.491,980953.5115,925456.6426,1064495.249,969365.7877,1157258.667,1189926.496,1134981.131,1182174.013,1178989.512,1080042.679,904081.8432,980884.1785
p-Toluic acid,307.8241083,0,316.0963032,0,355.7779999,348.7088424,0,0,0,0,789.8120557,0,348.8854808,0,374.1893348,0,0,394.09716,0
Palmitelaidic acid,25787980.47,16581939.02,3661683.856,50908148.51,51314916.23,13436942.27,12792883.06,30943915.91,12784108.33,7527342.082,14923177.66,11111781.78,9818139.745,12593047.56,7706027.532,11311408.44,0,12827942.94,38572443.58
Palmitic Acid,487627.7556,23150.00832,232257.851,1600202.658,1373299.477,471791.4148,459221.1634,0,460542.1265,104910.8213,0,10054174.26,20691178.05,1084315.415,99592.26278,72829.31473,2593249.416,0,4012755.973
Pantolactone,205073.9585,224736.9765,167352.4521,200628.7783,228242.1244,175529.041,177328.4711,163266.5165,175495.7948,163049.8676,172796.2363,185034.663,188854.8497,177535.5276,184454.9134,227735.6199,195834.2251,203231.4841,202896.9063
Pantothenic acid ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pentacosanoic acid,0,0,0,0,0,13150.63113,0,0,0,0,12044.3345,0,0,7553.29328,0,0,0,0,0
Pentadecanoic acid,167061.4161,4363264.629,3684771.332,4252028.038,5164596.259,6598813.78,4178119.327,4964560.687,4523424.636,5104334.321,4074268.817,4742496.492,4721789.791,5346495.982,4666567.72,6088754.113,4935375.507,4954189.687,5689148.004
"Pentanedioic acid, 2-[(trimethylsilyl)oxy]-",0,0,0,0,0,0,6171.687001,0,0,0,0,244238.1468,114625.158,0,0,0,0,0,0
"Pentanedioic acid, 2,4-bis[(trimethylsilyl)oxy]",0,0,0,0,0,0,0,0,0,137.3664268,0,0,0,0,1319.521763,2360.727236,0,0,0
