Name,Tissue,"BiBC, Feces-Cortex, via Plasma","BiBC, Feces-Cortex, via Plasma (%ile)","BiBC, Feces-Cortex, via Plexus","BiBC, Feces-Cortex, via Plexus (%ile)","BiBC, Feces-Cortex, via Plasma + Plexus","BiBC, Feces-Cortex, via Plasma + Plexus (%ile)","BiBC, Feces-Striatum, via Plasma","BiBC, Feces-Striatum, via Plasma (%ile)","BiBC, Feces-Striatum, via Plexus","BiBC, Feces-Striatum, via Plexus (%ile)","BiBC, Feces-Striatum, via Plasma + Plexus","BiBC, Feces-Striatum, via Plasma + Plexus (%ile)","BiBC, Plasma-Plexus","BiBC, Plasma-Plexus (%ile)","BiBC, Plasma - Cortex","BiBC Percentile, Plasma - Cortex","BiBC, Plasma - Striatum","BiBC Percentile, Plasma - Striatum","BiBC, Choroid Plexus - Cortex","BiBC Percentile, Choroid Plexus - Cortex","BiBC, Choroid Plexus - Striatum","BiBC Percentile, Choroid Plexus - Striatum","BiBC, Choroid Plexus - Remaining Brain","BiBC Percentile, Choroid Plexus - Remaining Brain","BiBC, Choroid Plexus - Other Transcriptomics","BiBC Percentile, Choroid Plexus - Other Transcriptomics"
Cebpa,Choroid Plexus,0.0,0.0%,,,0.0,0.0%,0.0,0.0%,,,0.0,0.0%,,,,,,,12.5,19.2%,26.2,20.8%,360.8,55.9%,399.5,29.6%
Stag2,Choroid Plexus,81.5,50.6%,3635.3,99.6%,2936.1,99.5%,0.1,19.0%,3117.4,99.4%,2123.1,98.7%,36.1,26.1%,127.4,43.7%,2.5,21.7%,1842.8,86.0%,2041.9,88.3%,1216.1,86.5%,5100.8,87.8%
Rpp30,Choroid Plexus,781.7,88.4%,468.3,74.7%,568.0,85.0%,7435.5,99.8%,1601.2,95.7%,2756.5,99.4%,906.1,72.0%,1309.7,87.3%,14849.5,99.9%,895.5,70.1%,3739.4,96.9%,650.2,69.8%,5285.1,88.5%
Hdgfl3,Choroid Plexus,0.1,18.8%,4.1,22.8%,2.3,21.2%,215.0,64.1%,222.0,57.3%,223.0,63.4%,0.0,0.0%,3.1,22.3%,369.0,57.6%,128.0,35.8%,68.1,27.9%,51.3,29.9%,247.4,25.1%
Tmem203,Choroid Plexus,295.3,72.6%,234.9,60.5%,236.1,67.7%,21.6,36.1%,5.1,22.5%,1.9,18.7%,294.2,44.6%,444.8,65.3%,47.3,33.2%,659.5,60.5%,361.8,47.7%,575.9,67.0%,1597.3,56.5%
Usp22,Choroid Plexus,0.1,18.8%,0.0,0.0%,0.1,14.7%,0.1,19.1%,0.0,0.0%,1.3,17.6%,38.0,26.3%,9.2,25.3%,4.7,23.1%,,,,,,,,
Gm4017,Choroid Plexus,0.0,0.0%,28.3,32.7%,20.8,32.5%,0.0,0.0%,3.1,21.3%,1.3,17.5%,734.0,67.5%,0.0,8.8%,0.0,9.0%,844.6,68.4%,821.5,66.8%,482.5,63.1%,2148.6,65.4%
Kif21a,Choroid Plexus,40.8,42.7%,243.1,61.0%,102.3,50.5%,143.7,56.1%,214.9,54.0%,115.8,51.0%,744.5,68.0%,91.7,40.1%,292.4,53.4%,949.5,71.4%,842.3,67.6%,590.8,67.6%,2382.5,68.8%
Iba57,Choroid Plexus,32.9,40.3%,0.0,0.0%,7.9,25.5%,99.2,50.6%,27.9,31.1%,47.5,39.3%,78.9,30.7%,56.1,36.2%,137.5,42.6%,23.8,22.0%,107.6,32.4%,28.5,24.9%,160.0,21.3%
Atp7a,Choroid Plexus,42.3,43.0%,37.5,35.0%,30.3,36.0%,12.7,31.8%,5.6,22.6%,21.9,32.8%,1105.2,76.7%,359.8,58.1%,341.3,55.3%,0.0,7.1%,0.0,6.8%,758.0,73.5%,758.0,38.6%
Dync1h1,Choroid Plexus,849.4,90.0%,1063.6,92.1%,487.9,82.5%,687.6,86.4%,814.3,86.7%,466.6,81.6%,1024.2,74.8%,1139.6,84.4%,972.0,81.1%,4495.1,97.7%,3369.8,96.0%,1945.1,94.5%,9810.0,97.0%
Pfn1,Choroid Plexus,477.7,81.4%,739.8,85.4%,365.4,76.7%,299.7,71.1%,514.3,76.8%,206.5,61.0%,1697.8,86.4%,1114.4,84.2%,579.5,69.0%,2756.3,92.8%,1869.7,86.9%,1233.4,87.0%,5859.4,90.8%
Tagln2,Choroid Plexus,87.5,51.5%,69.8,40.8%,39.9,38.6%,12.6,31.7%,24.8,30.4%,12.9,28.3%,102.8,32.8%,354.8,57.7%,67.8,35.6%,1072.1,74.3%,680.7,60.3%,463.8,62.1%,2216.5,66.2%
Rgs7,Choroid Plexus,61.7,47.7%,197.2,54.3%,72.4,45.7%,0.4,20.3%,0.6,18.4%,0.4,15.8%,855.1,70.6%,806.6,78.1%,558.0,68.1%,444.3,53.6%,344.2,46.9%,329.6,54.2%,1118.2,48.1%
2310014F06Rik,Choroid Plexus,8.0,29.4%,458.7,74.0%,275.0,71.4%,135.3,55.1%,800.1,86.4%,493.6,83.1%,0.0,0.0%,10.7,25.7%,298.9,53.6%,203.5,41.3%,564.1,56.1%,654.5,69.9%,1422.0,53.2%
Map3k5,Choroid Plexus,408.0,77.9%,802.6,87.3%,784.4,90.8%,125.0,54.0%,431.4,71.6%,212.0,61.5%,2339.0,92.1%,804.4,78.0%,3169.8,97.0%,3125.3,94.5%,1689.2,84.8%,1542.4,91.2%,6356.9,92.3%
Chdh,Choroid Plexus,0.0,0.0%,,,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,,,0.0,8.8%,601.0,70.6%,0.0,7.1%,0.0,6.8%,0.0,7.1%,0.0,6.1%
Mpp2,Choroid Plexus,,,,,,,328.9,72.9%,319.1,65.0%,308.5,72.9%,,,,,523.7,66.6%,66.9,29.1%,797.4,66.0%,487.2,63.3%,1351.6,52.0%
Tceal8,Choroid Plexus,,,18.4,29.6%,8.6,26.1%,,,12.0,25.7%,2.4,19.6%,,,,,,,,,,,,,,
B130034C11Rik,Choroid Plexus,38.5,41.8%,43.1,35.9%,18.2,31.4%,5.8,27.3%,12.4,25.8%,7.7,25.3%,27.1,24.6%,253.5,53.2%,14.4,26.2%,588.5,58.4%,258.4,43.0%,175.5,44.4%,1022.4,46.4%
Ptgr3,Choroid Plexus,,,13.4,27.4%,2.1,20.9%,,,26.0,30.6%,4.1,21.5%,,,,,,,,,,,,,,
Ube2q2,Choroid Plexus,335.8,74.6%,281.0,64.2%,249.5,69.2%,22.0,36.2%,104.3,43.6%,73.6,44.2%,424.8,53.0%,503.0,67.7%,63.3,35.1%,1194.8,77.3%,1137.6,75.5%,1056.3,83.0%,3388.7,78.0%
Phactr2,Choroid Plexus,304.7,73.4%,1588.4,96.4%,1313.2,96.9%,100.3,50.8%,1598.2,95.7%,1183.0,95.7%,471.2,56.1%,511.0,67.9%,189.7,47.1%,2816.6,92.9%,2413.7,91.4%,2212.0,96.0%,7442.4,94.4%
Fcho2,Choroid Plexus,1558.7,95.8%,531.0,77.1%,494.6,82.7%,1060.5,92.4%,1245.2,93.2%,918.0,92.9%,1476.4,82.6%,1452.0,89.0%,1824.5,92.0%,6007.5,99.1%,5621.9,98.8%,3328.7,99.2%,14958.1,99.4%
Lrrc75b,Choroid Plexus,0.0,0.0%,,,0.0,0.0%,175.0,58.8%,0.0,0.0%,2.2,19.3%,0.0,0.0%,0.0,8.8%,751.5,76.1%,42.3,25.2%,130.0,34.3%,380.5,57.0%,552.8,34.0%
Ndufaf1,Choroid Plexus,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,8.8%,0.0,9.0%,0.0,7.1%,0.0,6.8%,0.0,7.1%,0.0,6.1%
Smarca5,Choroid Plexus,9944.3,99.8%,5732.2,100.0%,6162.6,100.0%,1906.1,97.4%,1851.1,97.3%,1281.3,96.5%,4906.4,98.6%,11601.3,99.9%,2179.3,93.6%,15348.3,100.0%,10401.2,99.9%,6399.5,99.9%,32149.0,100.0%
Pard6a,Choroid Plexus,30.9,39.9%,21.5,30.6%,28.1,35.1%,18.2,34.9%,0.0,0.0%,2.8,20.5%,709.7,65.6%,487.4,67.2%,153.6,44.2%,761.1,64.9%,504.3,53.6%,1160.5,85.3%,2425.8,69.3%
Sh2b3,Choroid Plexus,333.9,74.4%,51.6,37.7%,208.5,63.3%,2756.0,98.7%,418.5,71.0%,966.6,93.6%,1.3,17.4%,384.1,61.7%,3423.8,97.9%,39.5,24.9%,780.8,65.7%,357.9,55.7%,1178.2,49.1%
Ints5,Choroid Plexus,0.0,0.0%,0.0,0.0%,0.0,0.0%,,,,,,,,,0.0,8.8%,,,0.0,7.1%,0.0,6.8%,0.0,7.1%,0.0,6.1%
Mrln,Choroid Plexus,,,,,,,0.0,0.0%,0.0,0.0%,0.0,0.0%,,,,,0.0,9.0%,0.0,7.1%,0.0,6.8%,0.0,7.1%,0.0,6.1%
Gm38380,Choroid Plexus,141.1,56.9%,0.0,0.0%,65.6,44.4%,7.6,28.7%,0.0,0.0%,1.9,18.8%,54.6,28.8%,148.2,45.5%,15.7,26.6%,0.0,7.1%,0.0,6.8%,0.0,7.1%,0.0,6.1%
Timm13,Choroid Plexus,,,,,,,,,,,,,,,,,,,,,,,,,,
Junb,Choroid Plexus,0.0,0.0%,0.0,16.7%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.1,17.9%,0.0,9.0%,1.1,15.7%,1.8,14.7%,0.8,15.5%,3.7,12.4%
Ncbp2,Choroid Plexus,0.0,0.0%,117.7,46.2%,72.7,45.9%,,,0.0,0.0%,0.0,0.0%,,,0.0,8.8%,,,0.0,7.1%,0.0,6.8%,0.0,7.1%,0.0,6.1%
Zfp300,Choroid Plexus,0.0,0.0%,6.3,24.0%,0.7,17.5%,36.8,40.9%,112.9,44.5%,24.8,33.7%,27.4,24.7%,2.1,21.1%,40.0,32.1%,0.0,7.1%,0.0,6.8%,0.0,7.1%,0.0,6.1%
Gtpbp4,Choroid Plexus,365.1,75.7%,3692.8,99.7%,3224.1,99.7%,582.7,83.5%,4767.5,99.7%,4008.2,99.8%,323.5,45.8%,799.3,77.8%,1327.2,87.2%,4620.0,97.8%,6808.9,99.5%,2345.0,96.7%,13773.9,99.2%
Ube3c,Choroid Plexus,59.8,47.2%,677.7,83.4%,120.8,53.7%,1608.7,96.5%,1609.9,95.8%,1378.8,97.2%,467.2,55.6%,452.4,65.5%,702.7,73.7%,22.5,21.6%,84.9,30.1%,21.7,23.2%,129.1,19.9%
Pthlh,Choroid Plexus,4.5,27.1%,257.3,62.3%,245.6,68.6%,220.1,65.4%,518.1,77.0%,474.4,82.0%,40.1,26.8%,43.2,34.2%,420.1,62.4%,1009.2,73.0%,834.0,67.4%,383.5,57.2%,2226.7,66.4%
Ccdc186,Choroid Plexus,716.7,87.4%,1129.7,93.0%,940.6,93.6%,80.9,48.6%,127.5,45.8%,80.6,45.5%,738.9,67.9%,1308.6,87.2%,216.2,49.2%,4846.6,97.9%,3013.5,94.5%,2361.8,96.8%,10221.9,97.5%
Smurf1,Choroid Plexus,,,,,,,,,,,,,,,,,,,737.0,63.2%,699.0,61.4%,1161.0,85.3%,2597.0,70.9%
Inpp4a,Choroid Plexus,201.7,62.2%,249.9,61.5%,245.8,68.6%,0.0,0.0%,0.0,0.0%,0.0,0.0%,367.0,49.6%,327.5,56.8%,0.0,9.0%,1682.0,84.5%,648.7,59.3%,920.9,79.6%,3251.6,77.0%
Bloc1s1,Choroid Plexus,,,,,,,216.1,64.7%,234.9,59.6%,231.0,66.2%,,,,,381.3,60.5%,571.4,57.9%,615.3,57.8%,141.6,41.2%,1328.3,51.8%
Dynll1,Choroid Plexus,127.3,55.7%,1001.5,91.2%,638.5,87.3%,135.1,55.1%,945.0,89.3%,731.8,89.8%,891.5,71.6%,300.9,55.7%,408.2,61.9%,1179.9,77.0%,1260.2,78.0%,823.3,77.2%,3263.4,77.2%
Fam98b,Choroid Plexus,135.8,56.3%,181.5,52.6%,210.3,63.4%,0.4,20.2%,17.8,28.0%,6.9,24.8%,369.1,50.4%,174.3,46.9%,2.5,21.6%,729.5,62.6%,425.3,50.2%,261.3,50.6%,1416.1,53.0%
Serpinb8,Choroid Plexus,65.4,48.1%,386.7,69.9%,349.1,75.7%,5.0,26.8%,741.8,84.9%,379.0,76.7%,75.0,30.4%,119.9,43.0%,88.2,38.0%,439.9,53.3%,323.7,45.9%,876.5,78.6%,1640.1,57.1%
Src,Choroid Plexus,1.4,23.2%,0.0,16.9%,0.0,0.0%,4.2,26.0%,0.3,17.9%,0.2,15.0%,7.2,19.6%,6.9,24.3%,25.9,29.1%,54.8,27.2%,75.0,29.0%,40.3,28.0%,170.1,21.7%
Abitram,Choroid Plexus,19.7,35.7%,887.7,89.3%,761.8,90.3%,0.0,0.0%,43.3,34.0%,32.5,35.8%,1101.0,76.4%,97.1,40.9%,0.0,9.0%,2089.4,88.5%,1648.1,84.1%,1181.3,85.7%,4918.8,87.0%
Sufu,Choroid Plexus,20.0,35.9%,0.6,18.7%,0.8,18.0%,8.8,29.4%,0.3,18.0%,0.3,15.6%,14.8,22.5%,9.4,25.5%,5.2,23.4%,1.1,15.7%,0.4,14.0%,0.3,14.9%,1.7,12.2%
Stxbp4,Choroid Plexus,323.1,73.9%,821.4,87.8%,553.5,84.6%,303.4,71.4%,912.5,88.9%,572.1,85.5%,1269.2,79.7%,689.6,73.8%,788.5,77.5%,1059.7,74.0%,1440.7,81.3%,468.5,62.5%,2968.9,74.4%
Hmmr,Choroid Plexus,0.0,0.0%,403.7,70.7%,381.3,77.6%,,,0.0,0.0%,0.0,0.0%,,,0.0,8.8%,,,9.8,18.2%,4.3,15.7%,1413.3,89.5%,1427.4,53.2%
Dnase1l1,Choroid Plexus,2.3,24.7%,100.4,44.2%,97.1,49.8%,19.5,35.3%,373.0,68.6%,393.0,77.6%,367.0,49.5%,4.6,23.1%,116.8,41.0%,615.9,59.1%,998.5,71.9%,391.8,57.7%,2006.2,63.7%
Ccar1,Choroid Plexus,137.0,56.5%,418.7,71.7%,331.3,74.9%,230.0,66.5%,540.0,78.0%,414.6,78.8%,296.2,44.7%,305.0,55.9%,567.2,68.4%,1949.4,87.3%,2551.9,92.5%,935.3,80.1%,5436.6,89.0%
Cnnm4,Choroid Plexus,20.8,36.1%,11.8,26.4%,13.1,29.1%,2535.2,98.3%,910.9,88.8%,1489.3,97.8%,180.1,38.0%,45.9,34.6%,3084.0,96.8%,320.7,48.7%,1431.5,81.1%,426.6,60.3%,2178.8,65.7%
Igfbp6,Choroid Plexus,9.8,31.0%,882.0,89.2%,107.2,51.4%,376.6,75.7%,876.3,88.2%,455.4,80.9%,189.5,38.7%,214.0,50.1%,615.6,71.1%,90.7,32.0%,483.3,52.7%,56.2,30.9%,630.3,35.7%
Arl2bp,Choroid Plexus,0.0,0.0%,32.0,33.8%,21.5,32.8%,0.0,0.0%,11.2,25.4%,1.5,18.1%,0.0,0.0%,0.0,8.8%,0.0,9.0%,5.7,17.0%,3.7,15.4%,2.7,16.7%,12.1,12.9%
Pfas,Choroid Plexus,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,8.8%,0.0,9.0%,20.7,21.2%,33.4,22.1%,21.4,23.1%,75.5,16.8%
Cntn1,Choroid Plexus,1.5,23.4%,300.3,65.4%,206.7,63.0%,5.6,27.2%,185.1,51.6%,126.9,52.7%,38.3,26.4%,19.3,28.8%,4.8,23.1%,284.0,46.3%,213.8,40.3%,170.5,44.0%,668.3,36.7%
Shoc2,Choroid Plexus,342.8,74.8%,846.8,88.3%,574.1,85.3%,175.4,58.8%,539.0,77.9%,379.2,76.8%,523.1,58.5%,1212.1,85.7%,1009.2,82.0%,3762.3,96.5%,3135.8,95.1%,1443.3,89.9%,8341.5,95.8%
Mpnd,Choroid Plexus,0.0,0.0%,0.0,0.0%,0.0,0.0%,,,,,,,,,0.0,8.8%,,,1516.0,82.0%,758.0,63.9%,758.0,73.5%,3032.0,75.1%
Dcxr,Choroid Plexus,24.2,37.9%,0.1,17.2%,2.9,21.9%,1.6,23.2%,0.0,0.0%,1.0,17.0%,421.1,52.9%,67.4,37.7%,207.3,48.9%,384.8,51.1%,462.1,51.6%,697.0,71.5%,1543.9,55.6%
Gm1976,Choroid Plexus,218.1,65.6%,0.6,18.8%,48.2,40.6%,164.3,57.7%,0.0,0.0%,28.6,34.8%,220.8,41.0%,1385.2,88.2%,525.6,66.8%,96.0,32.7%,124.9,34.0%,48.5,29.4%,269.4,25.9%
Klf8,Choroid Plexus,,,521.7,76.3%,270.9,70.9%,,,970.5,89.6%,479.5,82.3%,,,,,,,,,,,,,,
Dhx9,Choroid Plexus,264.2,70.7%,219.8,58.5%,186.1,61.0%,159.7,57.4%,146.3,47.8%,147.5,55.2%,73.3,30.3%,432.0,64.4%,189.9,47.2%,163.0,38.4%,162.0,36.5%,77.5,34.1%,402.4,29.7%
Gsta4,Choroid Plexus,14.5,33.6%,1972.1,97.8%,1361.1,97.2%,37.3,41.0%,1670.8,96.4%,886.5,92.4%,243.6,42.2%,25.0,30.3%,193.5,47.3%,539.6,57.1%,1096.5,74.4%,568.5,66.8%,2204.6,66.1%
Haus4,Choroid Plexus,0.0,18.2%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,22.3,23.5%,10.6,25.6%,10.9,25.1%,0.0,7.1%,0.0,6.8%,0.0,7.1%,0.0,6.1%
Kmt5b,Choroid Plexus,0.0,0.0%,202.4,55.0%,144.3,56.6%,0.0,0.0%,265.0,62.2%,253.6,68.4%,,,0.0,8.8%,0.0,9.0%,128.8,35.9%,78.8,29.5%,829.3,77.4%,1036.9,46.6%
Ehd1,Choroid Plexus,1865.1,97.1%,1744.3,97.2%,1672.7,98.2%,298.1,71.0%,753.3,85.4%,593.4,86.2%,1278.4,80.1%,4165.5,98.4%,1191.2,85.4%,5463.6,98.7%,3281.1,95.7%,2017.4,95.2%,10762.2,97.9%
Mia2,Choroid Plexus,100.6,53.1%,10.0,25.9%,36.0,37.7%,428.8,77.6%,40.5,33.7%,111.1,50.2%,177.4,37.8%,110.7,42.2%,275.9,52.3%,51.0,26.5%,123.5,33.9%,29.9,25.5%,204.4,23.3%
Acbd4,Choroid Plexus,101.9,53.4%,297.1,65.2%,173.7,59.6%,85.6,48.9%,196.5,52.4%,124.4,52.2%,1448.2,82.1%,884.1,79.6%,865.4,79.0%,1885.0,86.5%,1982.2,87.8%,973.4,80.9%,4840.6,86.4%
Ap2a1,Choroid Plexus,,,,,,,,,,,,,,,,,,,0.0,7.1%,0.0,6.8%,0.0,7.1%,0.0,6.1%
Mef2a,Choroid Plexus,502.5,82.3%,348.6,68.4%,356.5,76.2%,13.9,32.7%,28.9,31.7%,23.0,33.0%,779.6,69.2%,1194.6,85.4%,139.5,43.0%,2977.8,93.8%,2020.3,88.1%,1552.4,91.3%,6550.6,92.9%
Sympk,Choroid Plexus,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,8.8%,0.0,9.0%,87.9,31.7%,46.4,25.1%,105.4,37.3%,239.7,24.8%
Erap1,Choroid Plexus,,,,,,,,,,,,,,,,,,,,,,,,,,
Spata13,Choroid Plexus,345.6,75.0%,16.3,28.4%,98.7,50.0%,744.1,87.6%,77.2,40.0%,338.3,74.7%,732.3,66.6%,616.3,71.2%,1344.8,87.4%,232.1,43.3%,441.4,50.7%,142.9,41.4%,816.5,41.6%
Dr1,Choroid Plexus,71.0,49.0%,66.7,40.5%,69.2,45.2%,0.0,0.0%,1.1,19.1%,9.4,26.2%,314.2,45.5%,454.9,65.8%,4.0,22.7%,638.2,59.8%,455.4,51.3%,588.5,67.5%,1682.1,57.9%
Slain2,Choroid Plexus,5.3,27.6%,206.3,55.3%,111.7,52.1%,205.4,61.0%,410.8,70.7%,299.6,72.3%,2291.0,91.5%,26.1,30.6%,374.1,59.8%,1453.5,81.0%,2352.0,90.8%,1784.7,93.5%,5590.2,89.9%
Vps36,Choroid Plexus,539.0,83.4%,549.6,78.2%,547.1,84.4%,20.9,35.8%,74.7,39.7%,58.4,41.1%,1066.6,75.9%,2293.8,94.7%,546.1,67.1%,1508.8,81.9%,648.6,59.3%,923.0,79.8%,3080.5,75.6%
Tbc1d2,Choroid Plexus,71.6,49.1%,1.6,20.5%,16.9,30.8%,302.6,71.3%,178.3,50.7%,163.6,56.9%,147.4,36.1%,357.5,57.9%,693.9,73.5%,851.1,68.8%,1653.1,84.1%,460.0,62.0%,2964.2,74.3%
Zbtb39,Choroid Plexus,,,0.0,0.0%,0.0,0.0%,0.0,0.0%,208.0,53.5%,150.9,55.5%,,,,,0.0,9.0%,0.0,7.1%,0.0,6.8%,0.0,7.1%,0.0,6.1%
Lama1,Choroid Plexus,0.0,0.0%,89.8,42.9%,107.0,51.3%,0.0,0.0%,145.8,47.5%,193.7,59.7%,,,0.0,8.8%,0.0,9.0%,8.3,17.7%,16.8,19.2%,0.0,7.1%,25.0,13.7%
Crygn,Choroid Plexus,230.9,67.4%,58.8,39.3%,154.7,57.5%,265.4,69.3%,17.5,27.8%,105.1,49.0%,77.5,30.6%,302.3,55.8%,256.9,51.2%,182.5,39.7%,115.0,33.2%,63.1,32.2%,360.7,28.6%
Comt,Cortex,,,0.0,0.0%,0.0,0.0%,,,,,,,,,,,,,236.4,43.6%,523.8,54.3%,226.6,48.1%,986.9,45.5%
Tpd52l2,Cortex,,,,,,,,,,,,,,,,,,,0.0,7.1%,0.0,6.8%,0.0,7.1%,0.0,6.1%
Dlg3,Cortex,117.0,54.8%,28.2,32.7%,44.7,39.9%,,,,,,,,,189.0,48.1%,,,389.0,51.4%,392.4,49.1%,334.1,54.5%,1115.5,48.1%
Heatr6,Cortex,,,,,,,,,,,,,,,,,,,0.0,7.1%,0.0,6.8%,0.0,7.1%,0.0,6.1%
Cfp,Cortex,1.7,23.7%,1.0,19.5%,1.1,18.8%,,,,,,,,,3.3,22.4%,,,7.9,17.6%,2.4,14.9%,849.0,77.6%,859.3,42.6%
Tulp3,Cortex,321.9,73.8%,498.4,75.8%,401.1,78.6%,,,,,,,,,1212.5,85.7%,,,1531.0,82.5%,169.4,37.1%,240.4,49.0%,1940.9,62.6%
Ddt,Cortex,44.0,43.5%,1074.3,92.3%,980.6,94.2%,,,,,,,,,176.7,47.1%,,,1619.0,83.8%,2249.4,89.8%,772.5,75.0%,4640.9,85.4%
Folh1,Cortex,0.0,0.0%,0.0,0.0%,0.0,0.0%,,,,,,,,,0.0,8.8%,,,159.1,38.0%,139.6,35.0%,328.5,54.1%,627.2,35.6%
Ppm1j,Cortex,0.0,0.0%,0.0,0.0%,0.0,0.0%,,,,,,,,,0.0,8.8%,,,1050.3,73.7%,1824.3,86.2%,1360.4,88.8%,4235.0,83.5%
Ccdc97,Cortex,7.1,28.8%,3.6,22.5%,3.3,22.2%,,,,,,,,,4.6,23.0%,,,66.3,29.0%,651.1,59.4%,321.6,53.8%,1038.9,46.7%
Shh,Cortex,0.2,19.5%,2.0,21.3%,0.8,17.9%,,,,,,,,,2.6,21.6%,,,140.5,36.7%,1153.1,75.9%,167.5,43.6%,1461.1,53.9%
Plekha3,Cortex,185.2,60.7%,113.5,45.8%,100.1,50.3%,,,,,,,,,269.7,54.2%,,,1596.9,83.6%,2332.7,90.4%,87.1,35.1%,4016.7,82.4%
Kdelr1,Cortex,236.8,68.0%,345.4,68.3%,281.8,72.0%,,,,,,,,,516.0,68.1%,,,1312.5,79.1%,1152.4,75.9%,1313.5,88.2%,3778.4,80.6%
Atg4d,Cortex,165.3,59.0%,157.4,49.7%,169.1,59.2%,,,,,,,,,187.5,48.0%,,,1114.7,75.5%,814.0,66.4%,369.8,56.4%,2298.5,67.5%
Arrdc2,Cortex,7.2,29.0%,22.7,30.9%,19.1,31.6%,,,,,,,,,55.0,36.0%,,,143.5,37.0%,12.1,18.1%,6.3,17.8%,161.9,21.4%
Pnkp,Cortex,1.2,22.8%,32.2,33.9%,4.1,23.0%,,,,,,,,,139.3,44.8%,,,111.7,34.4%,236.2,41.5%,145.4,41.7%,493.2,32.6%
Plag1,Cortex,0.0,0.0%,0.0,0.0%,0.0,0.0%,,,,,,,,,0.0,8.8%,,,1968.8,87.4%,1633.1,83.8%,2453.5,97.2%,6055.5,91.4%
Etv3,Cortex,213.5,63.3%,193.4,53.8%,193.3,61.9%,,,,,,,,,374.9,60.8%,,,1982.1,87.7%,535.2,54.8%,1082.4,83.7%,3599.7,79.3%
St8sia6,Cortex,137.0,56.5%,279.8,64.1%,247.8,68.9%,,,,,,,,,331.3,56.9%,,,603.9,58.8%,193.2,38.7%,82.6,34.3%,879.7,42.9%
Nosip,Cortex,71.6,49.1%,196.3,54.1%,142.6,56.2%,,,,,,,,,493.2,67.5%,,,894.5,70.0%,207.7,39.9%,437.0,60.9%,1539.2,55.4%
Bicd1,Cortex,5.5,27.7%,42.6,35.9%,34.8,37.2%,,,,,,,,,27.0,30.9%,,,756.7,64.1%,530.3,54.6%,553.6,66.2%,1840.7,60.8%
Ess2,Cortex,0.0,0.0%,0.0,0.0%,0.0,0.0%,,,,,,,,,0.0,8.8%,,,105.3,33.9%,159.4,36.2%,207.0,46.9%,471.8,31.9%
Ercc1,Cortex,81.1,50.4%,233.5,60.4%,116.2,52.8%,,,,,,,,,197.2,49.0%,,,3760.0,96.4%,3137.7,95.1%,3332.7,99.2%,10230.3,97.5%
Rpl8,Cortex,251.8,69.7%,399.0,70.5%,334.3,75.1%,,,,,,,,,537.5,68.8%,,,2284.5,90.2%,530.3,54.5%,881.3,78.8%,3696.0,80.0%
Hmox2,Cortex,257.8,70.1%,317.3,66.6%,281.0,71.8%,,,,,,,,,683.5,73.5%,,,1426.8,80.6%,582.6,56.9%,243.5,49.3%,2253.0,66.9%
Map3k20,Cortex,0.0,0.0%,0.0,0.0%,0.0,0.0%,,,,,,,,,0.0,8.8%,,,0.0,7.1%,0.0,6.8%,0.0,7.1%,0.0,6.1%
Etv1,Cortex,92.8,52.2%,31.8,33.6%,20.7,32.4%,,,,,,,,,130.5,44.1%,,,475.1,54.7%,210.1,40.0%,127.5,39.5%,812.7,41.2%
Emg1,Cortex,3.3,26.2%,3.0,22.1%,2.4,21.4%,,,,,,,,,7.4,24.6%,,,27.0,22.8%,17.3,19.4%,3.2,16.9%,47.4,14.7%
Utp20,Cortex,266.5,70.8%,260.7,62.6%,248.2,69.0%,,,,,,,,,465.1,66.1%,,,1221.9,77.8%,202.6,39.6%,54.2,30.6%,1478.8,54.2%
9330159F19Rik,Cortex,537.4,83.3%,470.9,74.9%,506.3,83.2%,,,,,,,,,923.9,80.4%,,,739.8,63.6%,38.8,23.6%,11.3,19.6%,789.8,40.7%
Gab2,Cortex,213.3,63.3%,135.4,47.4%,94.2,49.3%,,,,,,,,,372.9,60.6%,,,2110.0,88.7%,5264.6,98.7%,1418.8,89.6%,8793.4,96.4%
Tmem242,Cortex,218.4,65.7%,154.5,49.2%,145.0,56.7%,,,,,,,,,319.3,56.3%,,,1156.1,76.3%,631.6,58.4%,786.9,75.6%,2574.6,70.6%
Rasa4,Cortex,,,0.0,0.0%,0.0,0.0%,,,,,,,,,,,,,2982.0,93.8%,2912.0,94.2%,808.0,76.5%,6702.0,93.2%
Slc1a2,Cortex,47.6,44.5%,115.7,46.0%,89.7,48.4%,,,,,,,,,150.3,45.7%,,,78.7,30.5%,111.9,32.7%,293.5,52.4%,484.0,32.3%
Pard6a,Cortex,395.3,77.2%,542.4,78.0%,469.2,81.6%,,,,,,,,,1262.5,86.3%,,,5114.5,98.3%,2368.9,91.0%,3220.1,99.0%,10703.5,97.8%
