ID,101,100,102,896,897,T0.5,T0.6,T0.7,T0.8,UNK12
ENSMUSG00000020823-S,,,,8.266893752244872,8.387065381704737,7.704838798601192,8.66515714971724,8.087258457902077,8.06688089703158,7.88015861683627
ENSMUSG00000020941-S,,,,1.7531052066154809,3.3861897080618717,1.0734381410836893,2.8995552480740754,1.6174904035785849,3.1302528173062325,2.5676535256117945
ENSMUSG00000020953-S,,,,6.350644446931225,5.243228737858562,5.139048664821464,6.427648334425291,5.829012826775243,5.0393709389050985,5.471522667112676
ENSMUSG00000021115-S,,,,6.1724273821695075,5.827499744162157,5.784443417320143,5.98790392997914,5.829012826775243,5.876228291829624,5.534238621210172
ENSMUSG00000021124-S,,,,8.93484559728034,8.726765518675528,8.98851183947956,8.901193592722526,9.240732151931862,8.336729975454741,8.858831890719111
ENSMUSG00000021130-S,,,,6.308111331133143,6.634261692806636,6.445371160715401,6.900496435713966,6.3333112728776,6.295701694911521,5.594341428586481
ENSMUSG00000021265-S,,,,2.5214694711790284,3.5110943465210323,4.04108489557414,1.6571770513440311,3.7452856327273945,2.8140077179681233,3.681254252786181
ENSMUSG00000021266-S,,,,5.996096692001416,5.803275643832191,5.425218178459538,6.53207501755108,5.8550235361182015,5.833262452685216,6.02391562420959
ENSMUSG00000021285-S,,,,6.124207365339061,5.827499744162157,6.207369893083204,5.71961349329045,5.775540810837221,6.4600585978304865,6.169315637342454
ENSMUSG00000021376-S,,,,4.481395701641587,3.924408272841376,3.8332251737724303,4.349499012537491,4.293934962094727,3.2656842343095707,3.980512728075003
ENSMUSG00000021379-S,,,,8.353100739493271,8.710575577949,8.137136724507288,9.043437475737472,8.423416609425274,8.089879107027466,8.641033985968065
ENSMUSG00000021451-S,,,,5.884730060308097,5.702094612990986,5.139048664821464,5.426357382629078,5.539313296677603,5.183183166298148,6.129246279082635
ENSMUSG00000021461-S,,,,4.231221059285832,3.2494373180102527,2.70536152666095,3.2654295374315025,3.6295017433582815,3.503498654563891,3.151454677338699
ENSMUSG00000021481-S,,,,4.991899588549008,4.677186385635806,4.781707059287405,5.748801996863467,4.631493946766409,5.183183166298148,4.787306984655747
ENSMUSG00000021500-S,,,,7.220881987378875,6.777922179259309,6.949454690443953,6.6757795768072805,6.990647436365343,6.87452966637938,7.1592577104847575
ENSMUSG00000021536-S,,,,6.412181562061996,6.634261692806636,6.842445702571434,5.805464973333747,6.237691695986564,6.956897399824481,6.549280249801624
ENSMUSG00000021606-S,,,,8.28893321670433,8.138672446322907,8.079399380895387,8.481738779363194,7.955212675631297,7.985825476341329,8.31911882045723
ENSMUSG00000021662-S,,,,4.991899588549008,4.382428162223967,4.893144085689784,1.0544969576130625,5.439701828856735,5.001060685730714,4.067898628139776
ENSMUSG00000021704-S,,,,5.487370989830314,5.313519301122996,4.222733565229572,5.596569362094286,4.80164013442276,4.600962596990739,4.6804492949194545
ENSMUSG00000021721-S,,,,2.792247919928092,2.2576740803150352,0.0,2.408161705255035,3.2131345784895036,3.389486084443645,3.3032253887584098
ENSMUSG00000021806-S,,,,3.216907381183005,2.517968120511531,1.0734381410836893,0.0,2.3608744879735837,2.625408260291476,1.9844312973810097
ENSMUSG00000021991-S,,,,7.7910813423838015,7.606128930963478,7.399814274903159,8.156469335264633,7.655606507832578,7.254278622847229,7.533904434112734
ENSMUSG00000022003-S,,,,4.319521475349487,4.921819046364764,3.8332251737724303,4.561745944895255,3.365669685238544,4.438449685700989,3.440538753915217
