node1,node2,layer1,layer2
N-Methyl-alpha-aminoisobutyric acid,Phloretic acid,1,1
4-Hydroxybenzaldehyde,1-Octanol,1,1
4-Hydroxybenzaldehyde,"2-Propenoic acid, 2-hydroxy-3-(4-hydroxyphenyl)",1,1
4-Hydroxybenzaldehyde,D-(+)-Glucosamine,1,1
4-Hydroxybenzaldehyde,DL-Phenylalanine,1,1
4-Hydroxybenzaldehyde,Phenylalanine,1,1
4-Hydroxybenzaldehyde,Tetrahydrolinalool,1,2
9H-Purin-6-ol,Dihydrouracil,1,1
9H-Purin-6-ol,Levulinic acid,1,2
D-Arabinose,1-Dodecanol,2,1
D-Arabinose,"Hexadecanoic acid, 4-hydroxybutyl ester",2,1
D-Arabinose,Lignoceric acid,2,1
D-Arabinose,Methyl 2-acetamido-2-deoxy-3-O-methyl-alpha-D-galactopyranoside,2,2
D-Arabinose,Pentanoic acid,2,1
N-Ethyldiethanolamine,5-Methyluridine,2,1
N-Ethyldiethanolamine,D-(+)-Glucosamine,2,1
Palmitic Acid,1-Tetradecanol,1,1
Palmitic Acid,"Acetamide, N-(2-butyl)-N-methyl-",1,2
Palmitic Acid,Arachidic acid,1,2
Phloretic acid,3-Deoxyhexitol,1,1
Phloretic acid,N-(2-hydroxyethyl)-succinimide,1,1
L-(+)-Lactic acid,Butyl Succinate,1,1
L-(+)-Lactic acid,Ethyl glycolate,1,2
L-(+)-Lactic acid,Isopropyl palmitate,1,2
L-(+)-Lactic acid,Lactic Acid,1,2
L-(+)-Lactic acid,"Methyl (3,4-dimethoxyphenyl)(hydroxy)acetate",1,2
L-(+)-Lactic acid,Pimelic acid,1,1
L-(+)-Lactic acid,"Propanoic acid, 2-oxo",1,2
Pimelic acid,11-Hydroxy-.DELTA.-9-tetrahydrocannabinol,1,1
Pimelic acid,"2,3-Butanediol",1,1
Pimelic acid,"2,5-Cyclohexadiene-1,4-dione, 2,6-bis(1,1-dimethylethyl)",1,1
Pimelic acid,"2,5-Di-tert-butyl-4-hydroxyphenol",1,1
Xanthine,Citric acid,1,1
Xanthine,Pentanoic acid,1,1
Xanthine,Phenol,1,1
Xanthine,Pyrogallol,1,1
Pentanoic acid,"2-Butenoic acid, 2-methyl-, 2-methyl-2-propenyl ester",1,1
Pentanoic acid,3-Undecene,1,1
Pentanoic acid,Benzoic Acid,1,1
Pentanoic acid,Heptadecanoic acid,1,2
Pentanoic acid,Tetrahydrogeranyl formate,1,1
Phenol,2-Ethylhexanoic acid,1,1
Phenol,2-tert-Butyl-4-ethylphenol ,1,2
Phenol,Cholesterol,1,1
Pyrogallol,"Hexadecanoic acid, 4-hydroxybutyl ester",1,1
Uracil,DL-Phenylalanine,1,1
"(2,2-Dimethyl-5-[2-(2-ethoxymethoxy)propyl][1,3]dioxolan-4-yl)methanol",D-Mannopyranose,2,1
D-Mannopyranose,2-Ethylhexanoic acid,1,1
"Gulonic acid, gamma-lactone",alpha-D-Xylopyranose,3,3
Idoxuridine ,"2-Furanacetaldehyde, tetrahydro-alpha",1,1
Idoxuridine ,"Erythrono-1,4-lactone",1,1
Idoxuridine ,"Methyl (3,4-dimethoxyphenyl)(hydroxy)acetate",1,2
Idoxuridine ,Tricine,1,1
4-hydroxy-3-penten-2-one,2-tert-Butyl-4-ethylphenol ,2,2
4-hydroxy-3-penten-2-one,"3,4-Dihydrocoumarin, 4,4-dimethyl-6-dimethylamino",2,2
4-hydroxy-3-penten-2-one,4-Aminobenzoic acid,2,3
4-hydroxy-3-penten-2-one,4-Pyridinol,2,1
4-hydroxy-3-penten-2-one,"Hexadecanoic acid, methyl ester",2,2
4-hydroxy-3-penten-2-one,"Methyl galactoside (1S,2S,3S,4R,5R)",2,3
5-Hydroxymethyl-2-furoic acid,"1,5-Anhydroglucitol",1,2
5-Hydroxymethyl-2-furoic acid,3-Hexenedioic acid,1,1
5-Hydroxymethyl-2-furoic acid,Levoglucosan,1,2
Dihydrouracil,Hydracrylic acid,1,1
Dihydrouracil,"Propanoic acid, 2-oxo",1,2
L-Valyl-L-leucine,Cyclohexanemethanol,1,1
L-Valyl-L-leucine,"Xylonic acid, delta-lactone",1,1
"1,3-Dioxane, 2,2-dimethyl-5-hydroxy-","2,3-Dihydroxy-2-methylpropanoic acid",1,2
"2,3-Dihydroxy-2-methylpropanoic acid",4-Pyridinol,2,1
"1,5-Anhydroglucitol",17-alpha-Hydroxypregnenolone,2,2
"1,5-Anhydroglucitol",D-(+)-Glucosamine,2,1
"1,5-Anhydroglucitol",Pantothenic acid ,2,2
D-(+)-Glucosamine,Aconitic acid,1,1
D-(+)-Glucosamine,Pantothenic acid ,1,2
Pantothenic acid ,beta-Alanine,2,1
Pantothenic acid ,L-5-Oxoproline,2,1
Pantothenic acid ,L-Glutamic acid,2,1
Pantothenic acid ,Sebacic acid,2,1
Pantothenic acid ,Syringic acid,2,2
Octadecyl octyl ether,"2,3,4,5-Tetrahydroxypentanoic acid-1,4-lactone",1,1
Octadecyl octyl ether,2-Hydroxy-5-methoxybenzaldehyde,1,2
Octadecyl octyl ether,D-Allofuranose,1,1
Octadecyl octyl ether,d-Erythrotetrofuranose,1,2
Octadecyl octyl ether,"Hexadecanoic acid, ethyl ester",1,2
11-Hydroxy-.DELTA.-9-tetrahydrocannabinol,2'-Deoxyribolactone,1,1
11-Hydroxy-.DELTA.-9-tetrahydrocannabinol,4-Hydroxybutanoic acid,1,2
2'-Deoxyribolactone,1-Dodecanol,1,1
2'-Deoxyribolactone,1-Methyl-4-hydroxy-1H-imidazol-2-amine,1,2
2'-Deoxyribolactone,d-Erythrotetrofuranose,1,2
2'-Deoxyribolactone,Glycerol tricaprylate,1,2
2'-Deoxyribolactone,"Hexadecanoic acid, ethyl ester",1,2
2'-Deoxyribolactone,Trisaminol,1,2
11-Methyldodecanol,"Acetamide, N-(2-butyl)-N-methyl-",2,2
11-Methyldodecanol,D-(+)-Talofuranose,2,1
11-Methyldodecanol,"Guanidine, N,N-dimethyl",2,1
11-Methyldodecanol,"Hexadecanoic acid, 4-hydroxybutyl ester",2,1
"Acetamide, N-(2-butyl)-N-methyl-","Benzenepropanoic acid, 3,5-bis(1,1-dimethylethyl)-4-hydroxy-, methyl ester",2,2
"Acetamide, N-(2-butyl)-N-methyl-","Guanidine, N,N-dimethyl",2,1
"Acetamide, N-(2-butyl)-N-methyl-","Hexadecanoic acid, ethyl ester",2,2
"Acetamide, N-(2-butyl)-N-methyl-","Pentanoic acid, 4-methyl-2-oxo-",2,3
"Acetamide, N-(2-butyl)-N-methyl-","Propane, 2-methyl",2,1
"Guanidine, N,N-dimethyl","2,5-Cyclohexadiene-1,4-dione, 2,6-bis(1,1-dimethylethyl)",1,1
"Guanidine, N,N-dimethyl",3-Undecene,1,1
"Guanidine, N,N-dimethyl","Benzenepropanoic acid, 3,5-bis(1,1-dimethylethyl)-4-hydroxy-, methyl ester",1,2
"Guanidine, N,N-dimethyl","Hexadecanoic acid, 4-hydroxybutyl ester",1,1
"Guanidine, N,N-dimethyl",Menthol,1,1
"Guanidine, N,N-dimethyl",Tetrahydrogeranyl formate,1,1
"Hexadecanoic acid, 4-hydroxybutyl ester",1-Dodecanol,1,1
"Hexadecanoic acid, 4-hydroxybutyl ester",1-Tetradecanol,1,1
"Hexadecanoic acid, 4-hydroxybutyl ester","2-Butenoic acid, 2-hydroxy-",1,1
