Metabolite 1,Metabolite 2,Sign
"1-Methyl-N,N-bis(trimethylsilyl)-4-[(trimethylsilyl)oxy]-1H-imidazol-2-amine",Diphenyl ether,1.0
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol","Cyclopentaneacetic acid, 3-oxo-2-pentyl-",1.0
10-Heptadecenoic acid,Palmitelaidic acid,1.0
"Arabinofuranose, 1,2,3,5-tetrakis-O-",Indole-5-carboxylic acid,1.0
"2-(2,5-Dimethoxy-phenyl)-propionaldehyde","Benzaldehyde, 2,5-dimethyl-",1.0
3-Aminobenzoic acid,Hexanedioic acid,1.0
"beta-D-Galactofuranose, 1,2,3,5,6-pentakis-O-(trimethylsilyl)-",Itaconic acid,1.0
Galactopyranose,Heptanoic acid,1.0
"1-Octanol, 2-butyl-","Cyclohexanone, 3,3,5-trimethyl-",1.0
4-Cumylphenol,phenoxyethanol,1.0
"1-(1-Hydroxybutyl)-2,5-dimethoxybenzene ",Cinnamic acid,1.0
"1,3,5-Trimethyl-1H-pyrazol-4-amine","2,2,4-Trimethyl-1,3-pentanediol diisobutyrate",1.0
"Acetin, bis-1,3-trimethylsilyl ether",L-Threitol,1.0
"Benzaldehyde, 2,5-dimethyl-",Butyrovanillone,1.0
"2-(Decanoyloxy)propane-1,3-diyl dioctanoate",Diphenyl ether,1.0
2-Hydroxybutyric acid,Neostigmine ,1.0
Glucose,Phenol,-1.0
"2,5-Dimethoxyphenol",4-Methoxyphenol,1.0
Acetoacetic acid,Neostigmine ,1.0
"beta-d-Fructopyranose, 1-deoxy-1-(4-morpholinyl)-2,3,4,5-tetrakis-O-(trimethylsilyl)-", 5-Hydroxyhexanoic acid,1.0
1-Aminocyclopropanecarboxylic acid,Propylamine,1.0
"1H-Pyrazole, 3,4-bis(trimethylsilyl)-",Glyoxime,1.0
5-Hydroxyquinoline,N-Isovaleroylglycine,1.0
"1,3-Dioxane-4-methanol, 4,5-dimethyl-",Cyclohexanol,1.0
L-Ornithine,Picolinic acid,1.0
"5-Cholesten-3beta, 7alpha-bis[(trimethylsilyl)oxy]- ",5-Hydroxytryptophan,1.0
"4-Fluoroaniline, N-trimethylsilyl-",Pantolactone,1.0
"3,4-Dihydrocoumarin, 4,4-dimethyl-6-dimethylamino-","Benzo[b]fluorene, 5-amino-7-methyl-1,2,3,4,6,7,8,9-octahydro-11-thia-10-aza-",1.0
cis-4-Trimethylsilyloxy-cyclohexyl(trimethylsilyl)carboxylate,N-Methyl-N-(tetrahydro-2-furanylmethyl)-4-piperidinamine,1.0
D-Arabinose,"Dimethyl hexopyranosiduronate, alpha-D-",1.0
"1,3-bis[(Trimethylsilyl)ethynyl]benzene","N,N-Diethyl-2-aminoethanol",1.0
Neostigmine ,Supraene,1.0
1-Monoacetin,"2,4-Diamino-6,7-dimethylpteridine",1.0
"2,2,4-Trimethyl-1,3-pentanediol diisobutyrate","4-Fluoroaniline, N-trimethylsilyl-",1.0
"1,5-Anhydroglucitol","2,2,4-Trimethyl-1,3-pentanediol diisobutyrate",1.0
"Inosose-2, 1,3,4,5,6-pentakis-","N,N-Dimethyl-2-cyclohexyloxyethylamine",1.0
"Cyclohexanone, 3,3,5-trimethyl-","Spiro[cyclopenta[d]-1,3,2-dioxaborin-4(5H),1'-cyclopentane], 2-ethyl-6,7-dihydro-",1.0
"1-Octene, 2-methyl-","Acetic acid, bis[(trimethylsilyl)oxyl]-",1.0
D-Fructose,N-Isovaleroylglycine,1.0
Niclosamide,"Octane, 1-propoxy-",1.0
"1-(2,4-Dimethoxyphenyl)-propan-2-one",Fenitrothion,1.0
4-Cumylphenol,"Cholest-7-en-3-ol, (3beta,5alpha)-",1.0
1-Monoacetin,"3beta-TRIMETHYLSILOXY-5alpha,6alpha-EPOXYCHOLESTANE",1.0
"Butanoic acid, 2,4-bis[(trimethylsilyl)oxy]-",Deoxycholic Acid,1.0
"2,5-di-tert-Butyl-1,4-benzoquinone", 5-Hydroxyhexanoic acid,1.0
4-Methoxyphenol,"Methyl (3,4-dimethoxyphenyl)(hydroxy)acetate",1.0
"1-Methyl-N,N-bis(trimethylsilyl)-4-[(trimethylsilyl)oxy]-1H-imidazol-2-amine",p-Hydroxydiisopropylbenzene,1.0
"1,4-Butanediol","Acetin, bis-1,3-trimethylsilyl ether",1.0
5-Hydroxyquinoline,"D-(+)-Talofuranose, pentakis",1.0
"2-Hexenoic acid, 2-[(trimethylsilyl)oxy]-",Aceturic acid,1.0
