NAME,CSF_109_21122021,CSF_110_21122021,CSF_113_20122021,CSF_89_PROVA_07122021,CSF_96_20122021,CSF_70_21122021,CSF_97_21122021,CSF_129_21122021,DSS_73_090224,DSS_76_090224,DSS_B896_090224,DSS_T0.7_090224,DSS_T0.8_090224,DSS_91_120224,DSS_117_120224,DSS_907_120224,DSS_T3.6_090224,DSS_912_120224,DSS_T5.7_120224,3297_VECPAC_190224,3679_VECPAC_190224,3681_VECPAC_190224,935_CTR_LPS_CSF_070224,936_CTR_LPS_CSF_070224_2,937_CTR_LPS_CSF_070224,941_CTR_LPS_CSF_070224,942_CTR_LPS_CSF_070224,943_CTR_LPS_CSF_070224,956_CSF_24H_080224,957_CSF_24H_080224,959_CSF_24H_080224
,DSS_T1,DSS_T1,DSS_T1,DSS_T3,DSS_T5,DSS_T5,DSS_T5,DSS_T5,DSS_T0,DSS_T0,DSS_T0,DSS_T0,DSS_T0,DSS_T3,DSS_T3,DSS_T3,DSS_T3,DSS_T5,DSS_T5,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL,LPS_CTRL,LPS_CTRL,LPS_CTRL,LPS_CTRL,LPS_CTRL,LPS_CTRL,LPS_24H,LPS_24H,LPS_24H
"2,5-Dimethoxybenzonitrile",3128071.849,1185624.37,1812896.386,4677740.412,1966143.978,450219.5659,1338232.241,1910172.053,710652.3061,906356.6364,1423998.601,1660495.176,2483865.686,1324911.288,1307447.762,972279.9156,1536188.614,1724499.271,687617.1379,1301553.991,593099.2703,2090882.405,587508.5807,1453473.466,1628038.375,908356.0398,1261123.296,1768610.562,1044098.637,882096.5364,1527820.427
"2,5-Dimethoxyphenol",13779692.6,12655602.49,8954349.051,65511424.71,10864494.58,9878204.913,8270423.844,10152134.49,8524896.435,8565802.041,16258225.91,13626142.07,21222585.6,10385497.76,11888199.54,10428582.24,13264173.56,11995177.99,7048315.749,11831643.02,4117512.171,15790885.36,6173616.204,6662760.057,16991562.22,15283082.14,12431658.23,19315696.23,10963896.93,19264196.87,16529742.69
"2',5'-Dimethoxypropiophenone",29720390.31,33996737.38,37133969.16,309639339.5,35259500.67,26935034.39,26724554.25,36220269.15,34902270.72,39948567.52,52447544.14,60364699.1,92286435.37,41679624.09,46365579.57,42932639.66,57325958.41,63026536.47,26590790.67,37180648.39,30370213.33,65365856.54,23009374.98,56428288.81,51463519.26,29204216.23,44268368.15,66924426.87,37721709.85,41461224.07,51295643.25
"2,6-di-tert-Butyl-4-(dimethylaminomethyl)phenol",869330.8631,1082657.544,1040043.756,10586435.36,1035463.349,987892.4994,1392016.728,1205071.104,3660213.67,4317866.677,0,0,2195043.492,515455.7413,0,3463715.953,0,1883782.188,1975708.93,3304860.66,1418447.112,1310453.362,2632707.217,1880101.139,3258903.406,3273606.422,0,0,0,4261083.12,0
"2-Allyl-1,4-dimethoxybenzene",64451329.75,64646246.43,63374979.92,177178701.6,48647283.22,42078471.08,42596307.69,50465078.53,60795333.84,57921668.58,51324983.45,43646446.75,66256339.76,60067154.52,64635513.29,48621682.69,49799442.62,56216449.55,41423351.54,48078132.53,43783184.68,46942271.91,47532975.66,54400650.31,65264123.3,68414710.94,33772132.94,50964238.62,41007468.61,54601676.14,58940577.81
2-Amino-4-methylbenzophenone,346175.7893,446442.6209,632899.547,2381649.816,364527.6381,272101.9956,410775.1112,447772.981,93567.06994,476208.8245,258352.5975,187792.7756,948783.5996,618195.9799,728492.124,402312.6338,931112.2938,1141176.822,796860.7423,326881.3479,249286.5521,393276.5729,107726.8326,355281.3099,639010.5735,0,393462.9358,943578.192,303918.1096,340071.903,800018.0605
2-Aminoquinolin-8-ol,5735191.167,4450347.061,4762862.249,20161740.71,4043005.161,6110656.548,5985081.6,4203953.6,0,0,0,0,22590135.66,0,0,4848580.27,0,0,0,0,4314503.07,0,0,0,0,0,0,22688656.39,9682941.956,0,12983104.51
2-Butanol,12021625.42,14580190.71,43772609.6,0,13411424.77,24255458.55,38118749.07,16944477.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,311033324.5,0,0
2-Buten-1-ol,1349307.809,1830550.328,1292642.062,441082.4435,1338644.324,1256404.399,1333241.992,1789851.476,0,198997.1767,2144331.195,1326110.622,0,0,2309854.467,0,0,2012513.334,2213144.8,1822458.642,0,1192604.616,0,0,0,2341610.526,0,2437398.723,0,0,0
"2-Butene-1,4-diol",1029329.05,670663.9766,491706.4248,214425.7051,520484.726,318480.0377,0,527331.7631,0,0,1467734.018,69881.86597,0,1490246.931,1674022.957,0,0,0,0,0,0,0,134206.5388,207341.1865,0,173655.0178,95666.84636,0,0,0,3379994.991
2-Butenedioic acid,95285021.6,40569280.43,43156039.46,192434.2821,68440607.31,57496389.54,44929050.41,28155532.67,12722643.27,64482173.89,28333490.37,30861622.49,49437913.01,63919575.34,80715459.88,67405843.92,32504353.14,24924535.38,49932914.26,44970050.85,24802914.28,0,114466233.9,31445876.17,34713852.75,100966459.4,79549888.38,48949864.59,52812462.2,59584607.95,42848102.06
"2-Butenoic acid, 3-[(tert-butyldimethylsilyl)oxy]",118309461.8,114623795.2,118447895.6,11070636.14,74388525.69,91309441.13,104880988.3,83755457.53,40928999.1,86368986.61,79955122.11,62883071.82,128666639.2,100553803.3,91339281.08,76057832.3,84908984.97,101302653.4,98493794.97,73812144.92,53901152.9,56398805.81,61939338.92,74237563.35,114180981,48832093.12,79050235.04,118995273.5,55762207.72,82247901.93,102539662.9
2-Butoxyethanol,30714.91221,29113.91035,26009.87844,47120.37661,22521.69931,28123.50661,29759.50265,23904.48089,40817.27809,31461.0285,24899.30919,27748.87658,24726.40923,24793.21389,25049.49336,22456.48731,24306.13968,28168.97168,22649.4778,63237.95102,24011.20868,941.93859,29.32758957,28804.19621,33582.28864,45764.30959,19880.24966,22522.2148,25594.62222,32016.80187,27986.56476
2-Cyanobenzaldehyde,0,63716594.36,61608002.4,0,31529629.36,0,0,0,0,0,0,0,0,0,462269976.1,0,0,0,0,0,0,96159631.48,34339158.45,68446328.17,46522872.46,105691592.4,0,73511384.47,0,0,0
"2-Cyclohexen-1-one, 3-methyl-6-(1-methylethyl)",318249.7387,705473.6068,713827.3271,4749107.789,561895.0459,629893.7102,681863.222,195148.1387,836680.1657,1035200.476,847672.6374,395098.0004,1077600.842,552683.3826,444628.0343,583357.708,799748.3651,606212.3494,881812.5053,587978.2798,713283.8679,615509.8736,698115.5191,0,1013274.427,1507131.281,441539.801,453885.9009,863910.2371,1042450.827,1044973.301
"2-Cyclohexen-1-one, 3-methyl-",1987107.068,2234127.309,1891809.181,2597825.319,1392033.516,1805970.371,1835463.569,1384556.305,675789.1799,1813074.211,2574761.457,2990352.184,3887371.669,928766.2885,1070179.518,962624.0223,2795687.476,2244705.846,1135303.945,762583.3118,734454.7847,1167497.017,1313978.317,2234359.929,2551319.621,1239861.093,2930758.613,3333785.315,1026933.202,1608829.152,1360160.883
2-Decanol,420980.0121,396160.5971,321602.829,382400.6817,274831.587,346269.3941,365930.9539,356781.3382,789630.3214,572236.898,488420.7012,461053.2978,440772.3649,420329.4881,461726.5166,0,0,0,288566.684,373796.532,0,277386.3654,429847.4107,0,556005.1988,663942.8485,306060.0373,334642.7175,465033.3524,0,557181.8163
2-Ethyl-1-butanol,1527131.538,1557901.703,2275219.906,810409.8025,1710369.034,1627533.173,2242027.342,1758625.34,0,1273639.995,1497658.3,0,2278539.04,0,2778937.793,1754704.172,1529220.273,2229714.036,2005379.425,0,0,0,0,2318767.184,3358832.485,0,0,3033298.256,0,2303327.993,0
2-Ethylhexanoic acid,114697709.4,98637412.43,107095930.1,119419361.7,97956060,84124481.76,80939325.37,87325716.15,140687780.3,109223279.4,105487967.8,65079851.15,81188029.8,94579822.95,110911473.9,85437338.43,86397733.36,95329918.94,78179739.78,88968418.42,67585209.38,57746818.88,98320596.72,109392466.1,142804333.3,147130361.2,76620696.93,102326626.4,82635171.4,142803777.2,99147435.78
