Name,Tissue,"BiBC, Feces-Cortex, via Plasma","BiBC, Feces-Cortex, via Plasma (%ile)","BiBC, Feces-Cortex, via Plexus","BiBC, Feces-Cortex, via Plexus (%ile)","BiBC, Feces-Cortex, via Plasma + Plexus","BiBC, Feces-Cortex, via Plasma + Plexus (%ile)","BiBC, Feces-Striatum, via Plasma","BiBC, Feces-Striatum, via Plasma (%ile)","BiBC, Feces-Striatum, via Plexus","BiBC, Feces-Striatum, via Plexus (%ile)","BiBC, Feces-Striatum, via Plasma + Plexus","BiBC, Feces-Striatum, via Plasma + Plexus (%ile)","BiBC, Plasma-Plexus","BiBC, Plasma-Plexus (%ile)","BiBC, Plasma - Cortex","BiBC Percentile, Plasma - Cortex","BiBC, Plasma - Striatum","BiBC Percentile, Plasma - Striatum","BiBC, Choroid Plexus - Cortex","BiBC Percentile, Choroid Plexus - Cortex","BiBC, Choroid Plexus - Striatum","BiBC Percentile, Choroid Plexus - Striatum","BiBC, Choroid Plexus - Remaining Brain","BiBC Percentile, Choroid Plexus - Remaining Brain","BiBC, Choroid Plexus - Other Transcriptomics","BiBC Percentile, Choroid Plexus - Other Transcriptomics"
Nid2,Striatum,,,,,,,,51.2,,49.8,,55.0,,,,,237.0,50.1%,737.8,63.5%,747.1,63.6%,405.3,58.9%,1890.3,61.9%
Cacna2d3,Striatum,,,,,,,,77.1,,84.1,567.2,85.3,,,,,1188.9,85.3%,1178.8,77.0%,3114.7,95.0%,592.3,67.6%,4885.8,86.8%
Slc25a30,Striatum,,,,,,,,80.7,,77.3,,84.1,,,,,787.6,77.4%,727.0,62.5%,1339.8,79.0%,368.0,56.4%,2434.8,69.4%
Rhobtb2,Striatum,,,,,,,,59.3,,70.6,,70.4,,,,,743.3,75.6%,908.6,70.4%,2046.8,88.4%,304.3,52.9%,3259.7,77.1%
Gfra2,Striatum,,,,,,,,80.8,,80.5,,77.7,,,,,1611.7,90.1%,1304.8,79.1%,2845.8,93.9%,761.5,74.4%,4912.1,86.9%
Gpr180,Striatum,,,,,,,635.7,85.0,1301.9,94.0,1026.9,94.3,,,,,1094.3,83.5%,631.1,59.6%,2762.7,93.5%,389.6,57.5%,3783.4,80.7%
Acin1,Striatum,,,,,,,,57.8,,49.3,,54.5,,,,,349.5,55.9%,87.1,31.5%,738.5,63.4%,241.3,49.1%,1066.9,47.0%
Pabpn1,Striatum,,,,,,,,67.9,,79.2,,81.4,,,,,590.2,69.6%,1852.3,86.0%,1845.9,86.6%,629.6,69.0%,4327.8,84.1%
6030458C11Rik,Striatum,,,,,,,,0.0,,0.0,,0.0,,,,,0.0,9.0%,47.0,26.0%,86.8,30.3%,74.0,33.8%,207.8,23.5%
Laptm4b,Striatum,,,,,,,,68.8,966.0,89.5,552.6,85.0,,,,,748.2,75.8%,507.0,56.3%,3275.5,95.7%,1274.4,87.6%,5056.9,87.6%
Oxr1,Striatum,,,,,,,,32.9,,35.9,,33.9,,,,,56.7,34.4%,796.1,66.5%,625.0,58.2%,556.5,66.4%,1977.5,63.3%
Ebag9,Striatum,,,,,,,,0.0,,0.0,,0.0,,,,,0.0,9.0%,21.2,21.4%,36.2,22.7%,14.6,21.0%,72.0,16.5%
Derl1,Striatum,,,,,,,,84.9,,61.4,,74.5,,,,,939.2,80.2%,426.5,52.9%,1320.1,78.8%,1155.5,85.1%,2902.1,74.0%
Sh3bp1,Striatum,,,,,,,,,,,,,,,,,,,0.0,7.1%,0.0,6.8%,0.0,7.1%,0.0,6.1%
