ID,Mean Log2 Fold Change Direction (DSS)
ENSMUSG00000021886-P,-1
ENSMUSG00000031157-P,1
ENSMUSG00000037326-P,1
ENSMUSG00000046351-P,-1
ENSMUSG00000030605-P,1
ENSMUSG00000030108-P,1
ENSMUSG00000042349-P,-1
ENSMUSG00000037012-P,1
ENSMUSG00000040640-P,1
ENSMUSG00000039943-P,-1
ENSMUSG00000056598-P,1
ENSMUSG00000037736-P,-1
ENSMUSG00000095677-P,1
ENSMUSG00000004098-P,1
ENSMUSG00000100075-P,-1
ENSMUSG00000031918-P,-1
ENSMUSG00000035152-P,-1
ENSMUSG00000104339-P,1
ENSMUSG00000038717-P,-1
ENSMUSG00000019464-P,-1
ENSMUSG00000038990-P,1
ENSMUSG00000025437-P,1
ENSMUSG00000051224-P,-1
ENSMUSG00000078485-P,-1
ENSMUSG00000021392-P,-1
ENSMUSG00000021686-P,-1
ENSMUSG00000044134-P,1
ENSMUSG00000024975-P,-1
ENSMUSG00000002844-P,1
ENSMUSG00000029270-P,-1
ENSMUSG00000029684-P,-1
ENSMUSG00000017697-P,1
ENSMUSG00000022812-P,-1
ENSMUSG00000053749-P,1
ENSMUSG00000025323-P,-1
ENSMUSG00000034863-P,1
ENSMUSG00000068762-P,1
ENSMUSG00000068335-P,-1
ENSMUSG00000021215-P,-1
ENSMUSG00000085197-P,-1
ENSMUSG00000091007-P,-1
ENSMUSG00000028133-P,1
ENSMUSG00000031112-P,-1
ENSMUSG00000028700-P,-1
ENSMUSG00000032018-P,-1
ENSMUSG00000030304-P,-1
ENSMUSG00000054364-P,1
ENSMUSG00000029878-P,-1
ENSMUSG00000057181-P,-1
ENSMUSG00000050321-P,-1
ENSMUSG00000021957-P,1
ENSMUSG00000030265-P,-1
ENSMUSG00000052566-P,-1
ENSMUSG00000030256-P,-1
ENSMUSG00000022361-P,-1
ENSMUSG00000028383-P,1
ENSMUSG00000017221-P,1
ENSMUSG00000021481-P,1
ENSMUSG00000020752-P,1
ENSMUSG00000041642-P,1
ENSMUSG00000031147-P,-1
ENSMUSG00000038084-P,-1
ENSMUSG00000066113-P,1
ENSMUSG00000051043-P,1
ENSMUSG00000042797-P,-1
ENSMUSG00000028030-P,1
ENSMUSG00000028484-P,-1
