node1,node2
Lrrc17-C,"3beta,4beta-Bis(trimethylsiloxy)cholest-5-ene-P"
Lrrc17-C,"6,7,4'-Trihydroxyisoflavone-P"
Lrrc17-C,Arachidonic acid-P
Lrrc17-C,Azatadine-P
Lrrc17-C,beta-Lyxopyranose-P
Lrrc17-C,"D-(+)-Ribono-1,4-lactone (R,S,R)--P"
Lrrc17-C,DL-Glyceraldehyde-P
Lrrc17-C,Isofucosterol-P
Lrrc17-C,L-Aspartic acid-P
Lrrc17-C,Methylmalonic monoamide-P
Lrrc17-C,N-Methyl-N-(tetrahydro-2-furanylmethyl)-4-piperidinamine-P
Lrrc17-C,p-Toluic acid-P
Lrrc17-C,"Pentanedioic acid, 3-methyl-3-[(trimethylsilyl)oxy]--P"
Gas6-C,"N,N-Dimethyl-2-cyclohexyloxyethylamine-P"
Amfr-C,12-Oxooctadecanoate-P
Amfr-C,Suberic acid-P
Pdap1-C,"2-(Decanoyloxy)propane-1,3-diyl dioctanoate-P"
Pdap1-C,3'-(Trimethylsilyl)oxy-beta-naphthoflavone-P
Tmem204-C,1-Hydroxy-3-methoxy-6-methylanthraquinone-P
Tmem204-C,N-Isovaleroylglycine-P
Ubl3-C,1-Deoxypentitol-P
Ubl3-C,"1,3,5-Benzetriol-P"
Ubl3-C,"2,3,4-Trihydroxybutyric acid tetrakis-P"
Ubl3-C,"2,5-Piperazinedione, 3-benzyl-6-isopropyl--P"
Ubl3-C,"3-Hydroxy-2,3-dihydromaltol-P"
Ubl3-C,4-Hydroxybenzeneacetic acid-P
Ubl3-C,beta-Lyxopyranose-P
Ubl3-C,Dinoseb-P
Ubl3-C,Isofucosterol-P
Ubl3-C,Isopropyl palmitate-P
Ubl3-C,Methyl aminoacetate-P
Ubl3-C,"Pentanedioic acid, 3-methyl-3-[(trimethylsilyl)oxy]--P"
Ubl3-C,Propylamine-P
Ubl3-C,Tartronic acid-P
Ubl3-C,Triethanolamine-P
Cep41-C,3-Methoxysalicylic acid-P
Cep41-C,"Benzaldehyde, 2,5-dimethyl--P"
Cep41-C,"Benzoic acid, pentadecyl ester-P"
Emc10-C,Indole-5-carboxylic acid-P
Rplp1-C,Indole-5-carboxylic acid-P
Rora-C,2-Methyl-4-pentenoic acid-P
Rora-C,3-Indoleacetic acid-P
Rora-C,Guanabenz-P
Rora-C,Pimelic acid-P
Igfbp2-C,"1-Butanamine, N,N-diethyl--P"
Pdss1-C,Allylescaline-P
Pdss1-C,Niclosamide-P
Stk33-C,Doconexent-P
Fndc3a-C,"2,5-Piperazinedione, 3-benzyl-6-isopropyl--P"
Sppl3-C,12-Oxooctadecanoate-P
Sppl3-C,Pimelic acid-P
Sppl3-C,Suberic acid-P
4930556M19Rik-C,Isopropyl palmitate-P
4930556M19Rik-C,Propylamine-P
BC065397-C,cis-4-Trimethylsilyloxy-cyclohexyl(trimethylsilyl)carboxylate-P
Brd2-C,2-Hydroxybutyric acid-P
Tgfb1i1-C,"3-Buten-2-one, 3-trimethylsilyloxy--P"
Cd47-C,DL-Glyceraldehyde-P
Cd47-C,"Pentanedioic acid, 3-methyl-3-[(trimethylsilyl)oxy]--P"
Nicol1-C,4-Hydroxybutanoic acid-P
Nicol1-C,"Aziridine, 1-(2-buten-2-yl)--P"
Pdlim1-C,L-Tryptophan-P
Pdlim1-C,"L-Tryptophan, N-acetyl-1-P"
Plscr2-C,"Benzaldehyde, 2,5-dimethyl--P"
Plscr2-C,"Glycine, N-(1-oxobutyl)--P"
