node1,node2
Nfyb-C,Hes6-S
Parp3-C,Gm17322-S
Gm14798-C,Mllt11-S
Heatr3-C,Rbmx-S
Gpaa1-C,Slc5a5-S
Gpaa1-C,Zim1-S
Gpaa1-C,Calb2-S
Gpaa1-C,Amz2-S
4921504A21Rik-C,Amigo2-S
Npepps-C,Amigo2-S
Eef1a1-C,AA986860-S
Eef1a1-C,Gm7467-S
Rmnd5b-C,Ctnna1-S
Rmnd5b-C,Dtx4-S
Gpr65-C,Psmc5-S
Gpr65-C,Gtf3c1-S
Gpr65-C,Stk19-S
Zfp322a-C,Ric8a-S
Zfp322a-C,Nmnat1-S
Mfge8-C,Smyd4-S
Mfge8-C,Gm7467-S
Slc6a13-C,Trim68-S
Hk1-C,Nit2-S
Hk1-C,Gm7467-S
Drc3-C,Mir9-3hg-S
Limch1-C,Htr6-S
1700018L02Rik-C,Thop1-S
1700018L02Rik-C,Psmc5-S
1700018L02Rik-C,Pmm1-S
Mtmr2-C,Zfp142-S
Mtmr2-C,Fntb-S
Ap2b1-C,Snx7-S
Ptger1-C,Prlr-S
Cables2-C,Sting1-S
Usp33-C,Plcg1-S
Ap3b1-C,Amigo2-S
Pdcd4-C,Nop56-S
Pdcd4-C,Rps3a3-S
Pdcd4-C,Lrrc8b-S
Pdcd4-C,Synj2bp-S
Ada-C,Gm10699-S
Sp4-C,Rad51ap1-S
Dok1-C,Me2-S
Net1-C,Sfr1-S
Net1-C,Slc35e2-S
1700125H03Rik-C,Pea15a-S
1700125H03Rik-C,Casp8-S
1700125H03Rik-C,Tbc1d22b-S
1700125H03Rik-C,Mrps12-S
Pomgnt1-C,Med25-S
Pomgnt1-C,Cep63-S
Pomgnt1-C,Podxl2-S
Sc5d-C,Rgs20-S
Sc5d-C,Dctn2-S
Sc5d-C,Gm19967-S
Sc5d-C,Gm42869-S
Ergic2-C,Bltp3b-S
Rhob-C,Pdzd11-S
Dbpht2-C,Phf12-S
Dbpht2-C,Idnk-S
5730455P16Rik-C,Pcdhb20-S
Tkt-C,Phf12-S
Tkt-C,Gm7467-S
Hook2-C,Zfp512b-S
Hook2-C,Tpbg-S
Bhlhe41-C,Ace2-S
Zhx1-C,Osbpl6-S
Zfp346-C,Cdip1-S
Zfp346-C,Phf12-S
Zfp346-C,Prss22-S
Recql5-C,Snap47-S
Recql5-C,Lca5l-S
Opa1-C,Emd-S
Opa1-C,Podxl2-S
Opa1-C,Dcun1d4-S
Opa1-C,Gm20712-S
Gprc5c-C,Celf1-S
Aqp11-C,Stip1-S
Aqp11-C,Pcdhb7-S
Aqp11-C,Gm19967-S
Aqp11-C,Gm42869-S
Tbck-C,Bet1-S
Psip1-C,1700017B05Rik-S
Psip1-C,Amigo2-S
Zfp36l2-C,Cxadr-S
Iqgap2-C,Sostdc1-S
Eif3g-C,Cdk17-S
Eif3g-C,Tiam2-S
Eif3g-C,Trim26-S
Eif3g-C,Cachd1-S
Lrrc8a-C,Ttc39c-S
Lrrc8a-C,Spns2-S
Sntb2-C,1700017B05Rik-S
Alkbh6-C,Slc25a53-S
Gm25517-C,Atp5po-S
Gm25517-C,Ccdc30-S
Gm25517-C,Trappc3-S
Gm25517-C,Gm42727-S
Pebp4-C,Gm13375-S
Sema3g-C,Tec-S
Gm43513-C,Dync1li1-S
Gm43513-C,Nkx2-9-S
Dusp28-C,Ndufs6-S
Zfp760-C,Amz2-S
Zfp760-C,Cxadr-S
Mrps34-C,Impdh2-S
Ccdc88a-C,Tspan33-S
Ccdc88a-C,Amigo2-S
Lurap1-C,Gm20045-S
Ddx23-C,Alas1-S
Olfm2-C,Htr1d-S
Pi4ka-C,Ckmt1-S
Zfp768-C,Laptm4b-S
Zfp768-C,Ccdc34-S
Zfp768-C,Gm20712-S
Spen-C,Ankub1-S
Dusp1-C,Osbpl6-S
Dusp1-C,C130075A20Rik-S
Suclg2-C,Podxl2-S
Suclg2-C,Gm20712-S
Arid4a-C,Plekhj1-S
Asb8-C,Nop56-S
Slc25a16-C,Trnt1-S
Preb-C,Acadm-S
Rpl37-C,Cxadr-S
Top1-C,Cachd1-S
Top1-C,Sostdc1-S
Exoc1-C,Slc25a30-S
Exoc1-C,Rab29-S
Exoc1-C,Tob2-S
Eeig1-C,Ddb2-S
Dstn-C,Plekhj1-S
Atp6v1f-C,Gm7467-S
Kpna4-C,Nkx2-9-S
Cldn22-C,Cyria-S
Cldn22-C,Ttc39c-S
Cldn22-C,AA986860-S
Ube2m-C,Col27a1-S
Ints11-C,Pdia5-S
Asb16-C,2310022A10Rik-S
Retreg3-C,Tmem42-S
Rdx-C,Amigo2-S
Atp5me-C,Tspyl5-S
Hcn3-C,Gm42600-S
Tatdn2-C,Mob2-S
Itch-C,Pabpn1-S
Golm2-C,Amigo2-S
Csnk1a1-C,Irf8-S
Emc3-C,Prss22-S
Dbndd1-C,Ppp1r13b-S
Dbndd1-C,Fam13b-S
Tmem161b-C,Mon1b-S
Tulp4-C,Smyd4-S
Tulp4-C,Stip1-S
Dync2i2-C,Hapln3-S
Dync2i2-C,Nkx2-9-S
Dync2i2-C,Gm4924-S
Sncg-C,Slc25a30-S
Synm-C,Stx3-S
Tpr-C,Bltp3b-S
Tpr-C,1700017B05Rik-S
Gm42636-C,Pkia-S
Gm42636-C,Nkrf-S
Gm42636-C,Gm3294-S
Wbp4-C,Prmt8-S
Gm5141-C,Dcun1d4-S
Gm5141-C,Nkx2-9-S
Ptges2-C,Ndufs6-S
Tspan9-C,Lrrc8b-S
Vps13b-C,Amigo2-S
Snora35-C,Tubb2b-S
Kcmf1-C,Sugp1-S
Mpi-C,Polr2j-S
Nop16-C,Inha-S
Cfap46-C,Lamtor4-S
Cfap46-C,Gm37397-S
Acot6-C,Epor-S
Acot6-C,Elavl2-S
Acot6-C,Gfra2-S
Acot6-C,Pmvk-S
Acot6-C,Cisd3-S
Rab5a-C,Cmas-S
Rab5a-C,Clec12a-S
Dpysl4-C,Rundc1-S
Dpysl4-C,Pld5-S
Dpysl4-C,Rad51ap2-S
5430402O13Rik-C,Fntb-S
5430402O13Rik-C,Scarb1-S
Evi5-C,Cmas-S
Col9a2-C,Acad9-S
Uqcc5-C,Gsta3-S
Tmem80-C,Itpr3-S
Meaf6-C,Mthfr-S
Lrrc8c-C,Ubr7-S
Lrrc8c-C,BB031773-S
Alx3-C,Mrc2-S
Alx3-C,Gorasp1-S
Cep57-C,Fli1-S
Cep57-C,Bltp3b-S
Cep57-C,Snx7-S
Zfp654-C,Smyd4-S
Zfp654-C,Naa40-S
Imp3-C,Rgs2-S
Imp3-C,Adra2a-S
Imp3-C,Tspyl5-S
Hmgb2-C,Zfp87-S
Ndufa8-C,Gm37735-S
Reep2-C,Trpc3-S
Nipbl-C,Dlx5-S
Nipbl-C,Amigo2-S
Brd4-C,Tubb2b-S
Nsmf-C,Faf2-S
Nsmf-C,Irs2-S
Nsmf-C,Arsj-S
Nsmf-C,Mir9-3hg-S
Clec14a-C,Atr-S
Slc22a17-C,Slc5a5-S
Slc22a17-C,Slc36a1-S
Slc22a17-C,Cmas-S
Slc22a17-C,Arsj-S
Slc22a17-C,Clec12a-S
Serp2-C,Eif1b-S
Serp2-C,Stxbp3-S
Enpp5-C,Ckmt1-S
Cxxc4-C,Tiam2-S
Cxxc4-C,Mkrn1-S
Cxxc4-C,Fam241a-S
Cxxc4-C,Clec12a-S
Strada-C,Nop56-S
Strada-C,Crybb3-S
Strada-C,Lrrc8b-S
Fgfr1op2-C,Trim26-S
Fgfr1op2-C,Nptn-S
Fgfr1op2-C,Clec12a-S
Hip1-C,Mesd-S
Hip1-C,Fam8a1-S
Nsg2-C,Ddx46-S
Nsg2-C,Laptm4b-S
Nsg2-C,Ric8a-S
Nsg2-C,2700097O09Rik-S
Dlgap4-C,Fbxl16-S
Dlgap4-C,Adra2a-S
Dlgap4-C,Ano2-S
Ofd1-C,Icosl-S
Tomm22-C,Wdsub1-S
Fundc2-C,Nid2-S
Baz1b-C,1700017B05Rik-S
Vangl1-C,Zbtb3-S
Zmat5-C,Med23-S
Rnasel-C,Pea15a-S
Rnasel-C,Dock3-S
Rnasel-C,Kcnk6-S
Rnasel-C,Stk19-S
