Gene,Metabolite,Sign
ENSMUSG00000036501,5-Hydroxymethyl-2-furoic acid,1
ENSMUSG00000033411,"2-Propenoic acid, 2-hydroxy-3-(4-hydroxyphenyl)",1
ENSMUSG00000033411,4-Hydroxybenzoic acid,1
ENSMUSG00000033411,beta-Alanine,1
ENSMUSG00000033411,DL-Phenylalanine,1
ENSMUSG00000033411,L-Aspartic acid,1
ENSMUSG00000033411,L-Isoleucine,1
ENSMUSG00000033411,L-Valine,1
ENSMUSG00000035934,"Dimethyl hexopyranosiduronate, alpha-D",1
ENSMUSG00000035934,Pantothenic acid ,-1
ENSMUSG00000003527,Cyclohexanecarboxylic acid,1
ENSMUSG00000019907,Argininosuccinic acid,1
ENSMUSG00000019907,1-Hexacosene,1
ENSMUSG00000019907,Arachidic acid,1
ENSMUSG00000019907,Isopropyl myristate,1
ENSMUSG00000019907,Pyridoxic acid,1
ENSMUSG00000025410,2-Octanol,1
ENSMUSG00000025410,Cyclohexanol,1
ENSMUSG00000061718,"2,5-Cyclohexadiene-1,4-dione, 2,6-bis(1,1-dimethylethyl)",1
ENSMUSG00000061718,4-Methylvaleric acid,1
ENSMUSG00000061718,Hydroquinone,1
ENSMUSG00000061718,Phenol,1
ENSMUSG00000061718,Phthalazin-1-one ,1
ENSMUSG00000061718,Sedoheptulose anhydride,1
ENSMUSG00000061718,Trisaminol,1
ENSMUSG00000008690,Monolaurin,1
ENSMUSG00000004895,9-Octadecenamide,1
ENSMUSG00000004895,D-Fucitol,1
ENSMUSG00000004895,Methyl beta-Arabinofuranoside,-1
ENSMUSG00000028273,L-Isoleucine,1
ENSMUSG00000028273,Serine,1
ENSMUSG00000024193,Isocitric acid lactone,1
ENSMUSG00000021585,Picolinic acid,1
ENSMUSG00000021585,Suberic acid,1
ENSMUSG00000026623,Stearic acid,1
ENSMUSG00000001964,Xanthine,-1
ENSMUSG00000001964,13-Docosenamide,-1
ENSMUSG00000001964,"Pentanoic acid, 4-methyl-2-oxo-",-1
ENSMUSG00000057367,1-Tetradecanol,1
ENSMUSG00000057367,4-Methyl-5-thiazoleethanol,1
ENSMUSG00000057367,Methyl stearate,1
ENSMUSG00000057367,Phenol,1
ENSMUSG00000057367,Salsoline,1
ENSMUSG00000036613,4-Methylvaleric acid,1
ENSMUSG00000036613,"Gulonic acid, gamma-lactone",-1
ENSMUSG00000036613,Hexanedioic acid,1
ENSMUSG00000036613,Malic acid,1
ENSMUSG00000031010,"1,4-Butanediol",-1
ENSMUSG00000031010,1-Monopalmitin,-1
ENSMUSG00000015839,L-Norvaline,1
ENSMUSG00000015839,4-Hydroxybenzoic acid,1
ENSMUSG00000015839,"Gluconolactone (3R,4S,5R,6R)",1
ENSMUSG00000038859,"2-Butenoic acid, 2-hydroxy-",1
ENSMUSG00000038859,3-Amino-2-piperidone,1
ENSMUSG00000038859,D-Ribose,1
ENSMUSG00000038859,Pipecolic acid,1
ENSMUSG00000038859,Pyrrole-2-carboxylic acid,1
ENSMUSG00000038859,Ribitol,1
