brain_name,direction_brain,type_brain,CSF_name,direction_CSF,type_CSF,VECPAC r,VECPAC n,LPS r,LPS n,DSS r,DSS n,non-NaN_treatment_groups,Pooled r,Pooled n,Pooled_r_valid,Pooled FDR,FDR < 0.15,within_model_sign,pooled_sign,predicted_effect_sign,within_model = pooled,number within_model = pooled_n,within_model = predicted,number within_model = predicted,predicted = pooled,number predicted = pooled,all_signs_agree,number all_signs_agree
ENSMUSG00000001855,,CPX,6-Methyluracil,-1,CSF,0.5,3,0.8986451052612952,6,0.5,3,3,0.8295370132366225,12,True,0.1427394798598596,True,1.0,1.0,,1.0,2,,1,,1,1.0,2
ENSMUSG00000042010,,CPX,Azelaic acid,-1,CSF,-0.5,3,-0.8986451052612952,6,-0.5,3,3,-0.8771983822781297,12,True,0.0931518790188005,True,-1.0,-1.0,,-1.0,2,,1,,1,-1.0,2
ENSMUSG00000047264,,CPX,Azelaic acid,-1,CSF,-0.5,3,-0.9856107606091624,6,-0.5,3,3,-0.8491280340452296,12,True,0.1337770259910183,True,-1.0,-1.0,,-1.0,2,,1,,1,-1.0,2
ENSMUSG00000036478,,CPX,"2-Butenoic acid, 3-[(tert-butyldimethylsilyl)oxy]",-1,CSF,0.8660254037844387,3,0.7714285714285715,6,0.5,3,3,0.8324838680348632,12,True,0.1410684749713042,True,1.0,1.0,,1.0,2,,1,,1,1.0,2
ENSMUSG00000039323,,CPX,Azelaic acid,-1,CSF,-0.5,3,-0.9856107606091624,6,-1.0,3,3,-0.8315840663996671,12,True,0.1410684749713042,True,-1.0,-1.0,,-1.0,2,,1,,1,-1.0,2
ENSMUSG00000030979,,CPX,"2-Cyclohexen-1-one, 3-methyl-",-1,CSF,0.5,3,0.6,6,0.5,3,3,0.8231186002975568,12,True,0.1495547607717696,True,1.0,1.0,,1.0,2,,1,,1,1.0,2
ENSMUSG00000022941,,CPX,Salsoline,1,CSF,-0.8660254037844387,3,-0.632455532033676,4,-1.0,3,3,-0.8754275592730113,10,True,0.1464916034216051,True,-1.0,-1.0,,-1.0,2,,1,,1,-1.0,2
ENSMUSG00000106718,,CPX,"2-(Ethylamino)ethanol, N-acetyl",1,CSF,-0.8660254037844387,3,-0.9411239481143202,6,-1.0,3,3,-0.8668836823077811,12,True,0.1083987191191021,True,-1.0,-1.0,,-1.0,2,,1,,1,-1.0,2
ENSMUSG00000055044,,CPX,"Cyclohexanone, 3,3,5-trimethyl",-1,CSF,-1.0,3,-0.8999999999999998,5,-1.0,3,3,-0.9020524542048464,11,True,0.0886971072624437,True,-1.0,-1.0,,-1.0,2,,1,,1,-1.0,2
ENSMUSG00000055044,,CPX,Diethylamine,-1,CSF,-1.0,3,-0.8986451052612952,6,-0.5,3,3,-0.8506164278852064,12,True,0.1320099876980142,True,-1.0,-1.0,,-1.0,2,,1,,1,-1.0,2
ENSMUSG00000032372,,CPX,"Benzoic acid, 2-hydroxy-3-[(2-hydroxy-4-methoxy-6-propylbenzoyl)oxy]-4-methoxy-6-propyl-, methyl ester ",-1,CSF,1.0,3,0.8116794499134279,6,0.5,3,3,0.8365669879250683,12,True,0.1397985201150076,True,1.0,1.0,,1.0,2,,1,,1,1.0,2
ENSMUSG00000021254,,CPX,L-Valine,1,CSF,1.0,3,0.8285714285714287,6,1.0,3,3,0.8315840663996671,12,True,0.1410684749713042,True,1.0,1.0,,1.0,2,,1,,1,1.0,2
ENSMUSG00000020477,,CPX,2-Butenedioic acid,-1,CSF,,0,-0.6,6,-0.5,3,2,-0.8656058903985899,11,True,0.1397985201150076,True,-1.0,-1.0,,-1.0,2,,1,,1,-1.0,2
ENSMUSG00000022561,,CPX,Azelaic acid,-1,CSF,-0.5,3,-0.7826908981308054,6,-0.5,3,3,-0.8701807952199048,12,True,0.1069760336157668,True,-1.0,-1.0,,-1.0,2,,1,,1,-1.0,2
ENSMUSG00000001441,,CPX,Benzoic Acid,1,CSF,-0.8660254037844387,3,-0.8196885999705371,6,-0.5,3,3,-0.8402222419676119,12,True,0.1397985201150076,True,-1.0,-1.0,,-1.0,2,,1,,1,-1.0,2
ENSMUSG00000001054,,CPX,Aconitic acid,1,CSF,1.0,3,0.9276336570439176,6,0.5,3,3,0.824566479341442,12,True,0.1482093715799158,True,1.0,1.0,,1.0,2,,1,,1,1.0,2
ENSMUSG00000021886,,CPX,"1-(2,5-Dimethoxyphenyl)-1-[(trimethylsilyl)oxy]propan-2-amine",1,CSF,-1.0,3,-0.753702346348183,6,-0.5,3,3,-0.8450913782447986,12,True,0.1384910532125031,True,-1.0,-1.0,,-1.0,2,,1,,1,-1.0,2
ENSMUSG00000021886,,CPX,Glycolic acid,1,CSF,-0.5,3,-0.753702346348183,6,-0.5,3,3,-0.8506269373019603,12,True,0.1320099876980142,True,-1.0,-1.0,,-1.0,2,,1,,1,-1.0,2
ENSMUSG00000030605,,CPX,Azelaic acid,-1,CSF,-0.5,3,-0.7247137945655605,6,-1.0,3,3,-0.9298302852148176,12,True,0.0340022386477405,True,-1.0,-1.0,,-1.0,2,,1,,1,-1.0,2
ENSMUSG00000042349,,CPX,"Hymexazole, tert-butyldimethylsilyl ether",-1,CSF,0.5,3,0.942857142857143,6,0.5,3,3,0.8266212326392487,12,True,0.1466238614491081,True,1.0,1.0,,1.0,2,,1,,1,1.0,2
ENSMUSG00000037012,,CPX,Azelaic acid,-1,CSF,-1.0,3,-0.753702346348183,6,-1.0,3,3,-0.9543918399186052,12,True,0.0194190603337951,True,-1.0,-1.0,,-1.0,2,,1,,1,-1.0,2
ENSMUSG00000039943,,CPX,Benzoic Acid,1,CSF,-0.8660254037844387,3,-0.9411239481143202,6,-0.5,3,3,-0.8913662045221622,12,True,0.0779691887416785,True,-1.0,-1.0,,-1.0,2,,1,,1,-1.0,2
ENSMUSG00000051224,,CPX,Leucylglycine,1,CSF,,0,-0.8857142857142858,6,-1.0,3,2,-0.9030303030303028,10,True,0.122825342636201,True,-1.0,-1.0,,-1.0,2,,1,,1,-1.0,2
ENSMUSG00000021392,,CPX,Oleamide,1,CSF,-0.5,3,-0.8285714285714287,6,-1.0,3,3,-0.8380489500927585,12,True,0.1397985201150076,True,-1.0,-1.0,,-1.0,2,,1,,1,-1.0,2
ENSMUSG00000002844,,CPX,"5-Ethyl-1,3-dioxane-5-methanol, tert-butyldimethylsilyl ether",1,CSF,1.0,3,0.7999999999999999,4,,0,2,0.9,9,True,0.1473887598816649,True,1.0,1.0,,1.0,2,,1,,1,1.0,2
ENSMUSG00000052566,,CPX,"3,5-Dimethylphenol",1,CSF,-0.5,3,-0.8999999999999998,5,-1.0,3,3,-0.8883849927775,11,True,0.1083987191191021,True,-1.0,-1.0,,-1.0,2,,1,,1,-1.0,2
ENSMUSG00000052566,,CPX,Isopropylamine,-1,CSF,1.0,3,0.7714285714285715,6,1.0,3,3,0.833626497322632,12,True,0.1410684749713042,True,1.0,1.0,,1.0,2,,1,,1,1.0,2
ENSMUSG00000017221,,CPX,Azelaic acid,-1,CSF,-0.5,3,-0.6957252427829382,6,-1.0,3,3,-0.8947423499236925,12,True,0.0769560434550055,True,-1.0,-1.0,,-1.0,2,,1,,1,-1.0,2
ENSMUSG00000020752,,CPX,"5-Chlorovaleric acid, nonyl ester",1,CSF,0.8660254037844387,3,0.7142857142857143,6,1.0,3,3,0.8280752728705546,12,True,0.1442802015085309,True,1.0,1.0,,1.0,2,,1,,1,1.0,2
ENSMUSG00000007476,,CPX,Monocaproin,1,CSF,1.0,3,0.5,3,,0,2,0.9523809523809524,8,True,0.1083987191191021,True,1.0,1.0,,1.0,2,,1,,1,1.0,2
ENSMUSG00000033436,,CPX,Phenol,-1,CSF,-1.0,3,-0.7,5,-0.5,3,3,-0.8610500699228079,11,True,0.1397985201150076,True,-1.0,-1.0,,-1.0,2,,1,,1,-1.0,2
ENSMUSG00000031967,,CPX,m-Toluic acid,1,CSF,-1.0,3,-0.7826908981308054,6,-1.0,3,3,-0.8501212381203476,12,True,0.1323664205186684,True,-1.0,-1.0,,-1.0,2,,1,,1,-1.0,2
ENSMUSG00000090110,,CPX,m-Toluic acid,1,CSF,-0.5,3,-0.4638168285219587,6,-1.0,3,3,-0.83601134205196,12,True,0.1397985201150076,True,-1.0,-1.0,,-1.0,2,,1,,1,-1.0,2
ENSMUSG00000047181,,CPX,"1,3-Oxazolidine, 2,5-diphenyl-4-methyl-, trans-",-1,CSF,-0.5,3,-0.9710083124552245,6,-0.5,3,3,-0.83601134205196,12,True,0.1397985201150076,True,-1.0,-1.0,,-1.0,2,,1,,1,-1.0,2
ENSMUSG00000047181,,CPX,N-Ethylamphetamine,-1,CSF,-1.0,3,-0.9856107606091624,6,,0,2,-0.8949864993553575,11,True,0.099434000881522,True,-1.0,-1.0,,-1.0,2,,1,,1,-1.0,2
ENSMUSG00000034786,,CPX,L-Tyrosine,-1,CSF,1.0,3,0.9746794344808964,5,,0,2,0.9509918346667656,10,True,0.0429154967937735,True,1.0,1.0,,1.0,2,,1,,1,1.0,2
ENSMUSG00000041720,,CPX,"1-(2,5-Dimethoxyphenyl)-1-[(trimethylsilyl)oxy]propan-2-amine",1,CSF,1.0,3,0.8116794499134279,6,0.5,3,3,0.8380489500927585,12,True,0.1397985201150076,True,1.0,1.0,,1.0,2,,1,,1,1.0,2
ENSMUSG00000041720,,CPX,Nonanoic acid,1,CSF,1.0,3,0.9746794344808964,5,1.0,3,3,0.9428139787760988,11,True,0.0340022386477405,True,1.0,1.0,,1.0,2,,1,,1,1.0,2
ENSMUSG00000033453,,CPX,"Cyclohexanone, 3,3,5-trimethyl",-1,CSF,-1.0,3,-0.7,5,-1.0,3,3,-0.8636363636363636,11,True,0.1397985201150076,True,-1.0,-1.0,,-1.0,2,,1,,1,-1.0,2
ENSMUSG00000048175,,CPX,3-Heptanol,1,CSF,1.0,3,0.6377481392176932,6,0.5,3,3,0.8350928599287796,12,True,0.140022595840943,True,1.0,1.0,,1.0,2,,1,,1,1.0,2
ENSMUSG00000048175,,CPX,"Cyclohexanone, 3,3,5-trimethyl",-1,CSF,-1.0,3,-0.8999999999999998,5,-0.5,3,3,-0.8545454545454546,11,True,0.1410684749713042,True,-1.0,-1.0,,-1.0,2,,1,,1,-1.0,2
ENSMUSG00000047547,,CPX,Benzenepropanoic acid,-1,CSF,-0.5,3,-0.7944613465542746,6,-1.0,3,3,-0.8269015865060569,12,True,0.1465385951872946,True,-1.0,-1.0,,-1.0,2,,1,,1,-1.0,2
ENSMUSG00000027598,,CPX,"1-(2,5-Dimethoxyphenyl)-1-[(trimethylsilyl)oxy]propan-2-amine",1,CSF,-1.0,3,-0.753702346348183,6,-1.0,3,3,-0.8380489500927585,12,True,0.1397985201150076,True,-1.0,-1.0,,-1.0,2,,1,,1,-1.0,2
ENSMUSG00000030697,,CPX,Synephrine,-1,CSF,-0.5,3,-0.4638168285219587,6,-0.8660254037844387,3,3,-0.824566479341442,12,True,0.1482093715799158,True,-1.0,-1.0,,-1.0,2,,1,,1,-1.0,2
ENSMUSG00000030286,,CPX,Azelaic acid,-1,CSF,-1.0,3,-0.3188740696088466,6,-1.0,3,3,-0.8807071758072423,12,True,0.0886971072624437,True,-1.0,-1.0,,-1.0,2,,1,,1,-1.0,2
ENSMUSG00000022023,,CPX,Stearic acid,1,CSF,-0.8660254037844387,3,-0.3999999999999999,4,-0.5,3,3,-0.8902604526458922,10,True,0.1384910532125031,True,-1.0,-1.0,,-1.0,2,,1,,1,-1.0,2
ENSMUSG00000031489,,CPX,Adenine,1,CSF,,0,-0.942857142857143,6,-1.0,3,2,-0.9176829268292684,10,True,0.0936797638137409,True,-1.0,-1.0,,-1.0,2,,1,,1,-1.0,2
ENSMUSG00000031489,,CPX,Aniline,1,CSF,-0.8660254037844387,3,-0.942857142857143,6,-1.0,3,3,-0.8939985141611507,12,True,0.0769560434550055,True,-1.0,-1.0,,-1.0,2,,1,,1,-1.0,2
ENSMUSG00000031489,,CPX,Cycloheptanol,1,CSF,-0.8660254037844387,3,-0.6667366910003157,6,-1.0,3,3,-0.8763305593358316,12,True,0.0938735566825742,True,-1.0,-1.0,,-1.0,2,,1,,1,-1.0,2
ENSMUSG00000043535,,CPX,"Benzoic acid, methyl ester",-1,CSF,1.0,3,0.7714285714285715,6,0.5,3,3,0.8251748251748254,12,True,0.1481029461842615,True,1.0,1.0,,1.0,2,,1,,1,1.0,2
ENSMUSG00000007613,,CPX,Palmitic Acid,1,CSF,-1.0,3,-0.7999999999999999,4,,0,2,-0.9,9,True,0.1473887598816649,True,-1.0,-1.0,,-1.0,2,,1,,1,-1.0,2
ENSMUSG00000029772,,CPX,Mevalonolactone,-1,CSF,0.5,3,0.8285714285714287,6,0.8660254037844387,3,3,0.8616475560561659,12,True,0.1202388015495211,True,1.0,1.0,,1.0,2,,1,,1,1.0,2
