NAME,DSS_73_090224,DSS_76_090224,DSS_B896_090224,DSS_T0.7_090224,DSS_T0.8_090224,935_CTR_LPS_CSF_070224,936_CTR_LPS_CSF_070224_2,937_CTR_LPS_CSF_070224,941_CTR_LPS_CSF_070224,942_CTR_LPS_CSF_070224,943_CTR_LPS_CSF_070224,3297_VECPAC_190224,3679_VECPAC_190224,3681_VECPAC_190224
,DSS_T0,DSS_T0,DSS_T0,DSS_T0,DSS_T0,LPS_CTRL,LPS_CTRL,LPS_CTRL,LPS_CTRL,LPS_CTRL,LPS_CTRL,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL
2-Decanol,19.411099823967515,18.906679592658044,18.906679592658044,19.37640277060335,18.093337241236465,18.690460877293813,,18.56662934495064,18.982954739510628,18.615783878328397,18.213440774780334,18.41322576348107,,18.093450300951073
2-Ethyl-1-butanol,,20.06409663854958,20.962955602028384,,20.483443453466823,,21.77088648474135,21.02798004528315,,,21.345977712345302,,,
2-Ethylhexanoic acid,26.541536707150975,26.618176057480905,26.618176057480905,26.618176057480905,26.106203025933095,26.817565026687067,27.08317556062514,26.462978119096125,26.626530842814773,26.496372035106415,26.626530842814773,26.118559951146683,26.191536273070653,25.77189921675274
2-Ethylhexanol,,,,,,,,,19.47682765044674,,,,,
"2-Furancarbodithioic acid, methyl ester",,,,,,,,,,,,,,
2-Furoic acid,17.43876252190187,16.315779488235655,17.141426024893484,17.25734641178498,15.74565200401426,,17.734745475827314,17.334103444196106,16.781045346316812,,16.460274064665835,16.809273354576217,17.137956348076372,17.368297203599507
2-Hexanol,24.369618043756528,26.32009096286997,25.803968799907153,25.847108480024986,26.541536707150975,26.21781344823559,,25.75342201407116,,26.21781344823559,26.462978119096125,26.01079251454732,26.08805669870927,25.593365452910735
"2'-Hydroxy-2,4,4',5-tetramethoxychalcone",14.072321422707276,7.519992267316956,,12.769349172245516,4.075295904524149,8.805640447572472,13.313676643602143,10.552239157267731,10.552239157267731,12.169900671268373,9.86120623257316,10.89946094216796,9.247167466757874,10.89946094216796
"2-Hydroxy-2',4',6'-trimethoxychalcone",,,,,,,,8.65316424611776,11.397624723125212,,,,,
2-Hydroxy-3-methylbutyric acid,13.261661022690058,5.521747493514037,8.655162300329328,10.491064376645618,3.2128436770041544,8.119707000651585,11.397624723125212,9.273374934180964,4.115880238247084,10.874838034619826,8.805640447572472,10.233023452229114,,3.6255388754845392
