Individual P-value,FDR Threshold,Edges,Positive Edges,Negative Edges,Positive:Negative Ratio,Unique Nodes,Density,Mean Correlation Coefficient
0.2,0.2,34434,25633,8801,2.9125099420520395,519,0.19290432093578258,0.2645740754968334
0.2,0.15,31424,23566,7858,2.9989819292440822,519,0.17604185924046095,0.2778059655697846
0.2,0.1,27046,20525,6521,3.147523385983745,519,0.15151566080121903,0.2989624391703349
0.2,0.05,20864,15969,4895,3.262308478038815,519,0.11688318963826938,0.3271780407683206
0.2,0.01,11960,9145,2815,3.2486678507992894,519,0.06700167504187604,0.36477840272786083
0.15,1.0,34287,25528,8759,2.9144879552460328,519,0.19208080536461572,0.2651384507621213
0.15,0.3,34287,25528,8759,2.9144879552460328,519,0.19208080536461572,0.2651384507621213
0.15,0.25,34287,25528,8759,2.9144879552460328,519,0.19208080536461572,0.2651384507621213
0.15,0.2,34287,25528,8759,2.9144879552460328,519,0.19208080536461572,0.2651384507621213
0.15,0.15,31424,23566,7858,2.9989819292440822,519,0.17604185924046095,0.2778059655697846
0.15,0.1,27046,20525,6521,3.147523385983745,519,0.15151566080121903,0.2989624391703349
0.15,0.05,20864,15969,4895,3.262308478038815,519,0.11688318963826938,0.3271780407683206
0.15,0.01,11960,9145,2815,3.2486678507992894,519,0.06700167504187604,0.36477840272786083
0.1,1.0,31032,23308,7724,3.0176074572760228,519,0.17384581771734928,0.2798604841841232
0.1,0.3,31032,23308,7724,3.0176074572760228,519,0.17384581771734928,0.2798604841841232
0.1,0.25,31032,23308,7724,3.0176074572760228,519,0.17384581771734928,0.2798604841841232
0.1,0.2,31032,23308,7724,3.0176074572760228,519,0.17384581771734928,0.2798604841841232
0.1,0.15,31032,23308,7724,3.0176074572760228,519,0.17384581771734928,0.2798604841841232
0.1,0.1,27046,20525,6521,3.147523385983745,519,0.15151566080121903,0.2989624391703349
0.1,0.05,20864,15969,4895,3.262308478038815,519,0.11688318963826938,0.3271780407683206
0.1,0.01,11960,9145,2815,3.2486678507992894,519,0.06700167504187604,0.36477840272786083
0.05,1.0,25653,19514,6139,3.178693598305913,519,0.14371187038873295,0.305158248643963
0.05,0.3,25653,19514,6139,3.178693598305913,519,0.14371187038873295,0.305158248643963
0.05,0.25,25653,19514,6139,3.178693598305913,519,0.14371187038873295,0.305158248643963
0.05,0.2,25653,19514,6139,3.178693598305913,519,0.14371187038873295,0.305158248643963
0.05,0.15,25653,19514,6139,3.178693598305913,519,0.14371187038873295,0.305158248643963
0.05,0.1,25653,19514,6139,3.178693598305913,519,0.14371187038873295,0.305158248643963
0.05,0.05,20864,15969,4895,3.262308478038815,519,0.11688318963826938,0.3271780407683206
0.05,0.01,11960,9145,2815,3.2486678507992894,519,0.06700167504187604,0.36477840272786083
0.01,1.0,16780,12867,3913,3.2882698696652186,519,0.09400402234136121,0.3455080051474753
0.01,0.3,16780,12867,3913,3.2882698696652186,519,0.09400402234136121,0.3455080051474753
0.01,0.25,16780,12867,3913,3.2882698696652186,519,0.09400402234136121,0.3455080051474753
