brain_name,direction_brain,type_brain,CSF_name,direction_CSF,type_CSF,VECPAC r,VECPAC n,LPS r,LPS n,DSS r,DSS n,non-NaN_treatment_groups,Pooled r,Pooled n,Pooled_r_valid,Pooled FDR,FDR < 0.15,within_model_sign,pooled_sign,predicted_effect_sign,within_model = pooled,number within_model = pooled_n,within_model = predicted,number within_model = predicted,predicted = pooled,number predicted = pooled,all_signs_agree,number all_signs_agree
ENSMUSG00000009863-C,1.0,CTX,Azelaic acid,-1.0,CSF,,2,-1.0,3,0.5,3,2,-0.9047619047619048,8,True,0.0792999095569304,True,,-1.0,-1.0,,1,,1,-1.0,2,-1.0,2.0
ENSMUSG00000014158-C,1.0,CTX,m-Toluic acid,-1.0,CSF,,2,-1.0,3,-0.8660254037844387,3,2,-0.9132233209773138,8,True,0.0623128141923228,True,-1.0,-1.0,-1.0,-1.0,2,-1.0,2,-1.0,2,-1.0,3.0
ENSMUSG00000014763-C,-1.0,CTX,2-Pyrrolidone-5-carboxylic acid,-1.0,CSF,,2,1.0,3,0.8660254037844387,3,2,0.9461247469114746,8,True,0.0158773431418269,True,1.0,1.0,1.0,1.0,2,1.0,2,1.0,2,1.0,3.0
ENSMUSG00000014763-C,-1.0,CTX,8-Methylnonanoic acid,-1.0,CSF,,2,0.8660254037844387,3,0.5,3,2,0.8862434338158116,8,True,0.1282175241235415,True,1.0,1.0,1.0,1.0,2,1.0,2,1.0,2,1.0,3.0
ENSMUSG00000014763-C,-1.0,CTX,Hydracrylic acid,-1.0,CSF,,2,1.0,3,0.5,3,2,0.880952380952381,8,True,0.1418733630990404,True,1.0,1.0,1.0,1.0,2,1.0,2,1.0,2,1.0,3.0
ENSMUSG00000014763-C,-1.0,CTX,N-Acetylaminoethanol,-1.0,CSF,,2,1.0,3,0.8660254037844387,3,2,0.8982196964349441,8,True,0.0949723045352331,True,1.0,1.0,1.0,1.0,2,1.0,2,1.0,2,1.0,3.0
ENSMUSG00000014763-C,-1.0,CTX,Synephrine,-1.0,CSF,,2,0.5,3,0.8660254037844387,3,2,0.9700772721497396,8,True,0.0028117748128617,True,1.0,1.0,1.0,1.0,2,1.0,2,1.0,2,1.0,3.0
ENSMUSG00000014763-C,-1.0,CTX,Uracil,-1.0,CSF,,2,0.5,3,0.5,3,2,0.880952380952381,8,True,0.1418733630990404,True,1.0,1.0,1.0,1.0,2,1.0,2,1.0,2,1.0,3.0
ENSMUSG00000014776-C,1.0,CTX,Azelaic acid,-1.0,CSF,,2,-1.0,3,-0.5,3,2,-0.9285714285714288,8,True,0.0354861073872977,True,-1.0,-1.0,-1.0,-1.0,2,-1.0,2,-1.0,2,-1.0,3.0
ENSMUSG00000014776-C,1.0,CTX,Ethanolamine,-1.0,CSF,,2,-0.5,3,-0.8660254037844387,3,2,-0.8982196964349441,8,True,0.0949723045352331,True,-1.0,-1.0,-1.0,-1.0,2,-1.0,2,-1.0,2,-1.0,3.0
ENSMUSG00000015149-C,1.0,CTX,Aconitic acid,1.0,CSF,,2,1.0,3,1.0,3,2,0.9523809523809524,8,True,0.0110808820921217,True,1.0,1.0,1.0,1.0,2,1.0,2,1.0,2,1.0,3.0
ENSMUSG00000016510-C,1.0,CTX,Triethyl citrate,-1.0,CSF,,2,,1,-1.0,3,1,-0.9856107606091624,6,True,0.0131032756197463,True,-1.0,-1.0,-1.0,-1.0,2,-1.0,2,-1.0,2,-1.0,3.0
ENSMUSG00000016833-C,-1.0,CTX,"6-Methoxy-1-methyl-1,2,3,4-tetrahydroisoquinolin-7-ol ",-1.0,CSF,,0,,1,,2,0,1.0,3,True,0.0,True,,1.0,1.0,,1,,1,1.0,2,1.0,2.0
ENSMUSG00000018238-C,1.0,CTX,Ethanolamine,-1.0,CSF,,2,-0.5,3,,3,1,-0.8931885229584926,8,True,0.107346586187881,True,-1.0,-1.0,-1.0,-1.0,2,-1.0,2,-1.0,2,-1.0,3.0
ENSMUSG00000018697-C,-1.0,CTX,"6-Methoxy-1-methyl-1,2,3,4-tetrahydroisoquinolin-7-ol ",-1.0,CSF,,0,,1,,2,0,1.0,3,True,0.0,True,,1.0,1.0,,1,,1,1.0,2,1.0,2.0
ENSMUSG00000019039-C,1.0,CTX,N-Isobutyrylglycine,1.0,CSF,,2,0.5,3,1.0,3,2,0.880952380952381,8,True,0.1418733630990404,True,1.0,1.0,1.0,1.0,2,1.0,2,1.0,2,1.0,3.0
ENSMUSG00000019579-C,1.0,CTX,Aconitic acid,1.0,CSF,,2,1.0,3,1.0,3,2,0.880952380952381,8,True,0.1418733630990404,True,1.0,1.0,1.0,1.0,2,1.0,2,1.0,2,1.0,3.0
ENSMUSG00000019718-C,-1.0,CTX,alpha-Hydroxyisobutyric acid,-1.0,CSF,,0,1.0,3,,2,1,1.0,5,True,6.078616870869687e-23,True,1.0,1.0,1.0,1.0,2,1.0,2,1.0,2,1.0,3.0
