Gene,ctx_direction,Metabolite,cpx_direction,Sign,edge_direction
ENSMUSG00000024325-B,1.0,"Benzene, 1-ethyl-3,5-dimethyl",,+,
ENSMUSG00000024325-B,1.0,Isosorbide,,-,
ENSMUSG00000024325-B,1.0,Luciferin,,-,
ENSMUSG00000024500-B,-1.0,"3,4-Dihydroxybenzaldehyde",,+,
ENSMUSG00000024500-B,-1.0,cis-2-Decenoic acid,,-,
ENSMUSG00000024500-B,-1.0,L-(+)-Threose,,-,
ENSMUSG00000024500-B,-1.0,Tyr-Val,,-,
ENSMUSG00000024570-B,-1.0,"13-Docosenamide, (Z)",,-,
ENSMUSG00000024570-B,-1.0,"3,3-Dimethylacrylic acid",,+,
ENSMUSG00000024570-B,-1.0,"4,5-Dihydro-1H-pyrazole",,+,
ENSMUSG00000024570-B,-1.0,Isosorbide,,+,
ENSMUSG00000024570-B,-1.0,L-Val-L-Leu,,+,
ENSMUSG00000024570-B,-1.0,Tyr-Val,,-,
ENSMUSG00000024576-B,1.0,"1,2-Cinnolinedicarboxylic acid, 1,2,3,5,6,7,8,8a-octahydro-4-trimethylsilyloxy-, diethyl ester",,+,
ENSMUSG00000024576-B,1.0,"Benzoic acid, methyl ester",,-,
ENSMUSG00000024576-B,1.0,L-(+)-Threose,,-,
ENSMUSG00000024620-B,-1.0,"13-Docosenamide, (Z)",,-,
ENSMUSG00000024620-B,-1.0,2-Norbornanemethanol,,+,
ENSMUSG00000024620-B,-1.0,"3,4-Dihydroxybenzaldehyde",,-,
ENSMUSG00000024620-B,-1.0,8-Methylnonanoic acid,-1.0,-,1.0
ENSMUSG00000024620-B,-1.0,Lupinine,,-,
ENSMUSG00000024620-B,-1.0,Tyr-Val,,+,
ENSMUSG00000025134-B,-1.0,"1-(2,4-Dimethoxyphenyl)-propan-2-one",-1.0,-,1.0
ENSMUSG00000025134-B,-1.0,"1,2-Bis(trimethylsiloxy)cyclohexene",,-,
ENSMUSG00000025134-B,-1.0,"2,4-Dimethoxybenzaldoxime",,+,
ENSMUSG00000025134-B,-1.0,Chlorobenzilate ,,-,
ENSMUSG00000025134-B,-1.0,Diclofenac,,-,
ENSMUSG00000025134-B,-1.0,Isosorbide,,+,
ENSMUSG00000025134-B,-1.0,L-Val-L-Leu,,+,
ENSMUSG00000025134-B,-1.0,"N-[(3,4,5-Trimethoxyphenyl)methylidene]hydroxylamine",,-,
ENSMUSG00000025134-B,-1.0,tert-butyl(dimethyl)silyl-2-([tert-butyl(dimethyl)silyl]oxy)hex-2-enoate,,+,
ENSMUSG00000025340-B,1.0,2-Aminoquinolin-8-ol,,+,
ENSMUSG00000025340-B,1.0,"3-Hydroxy-7,3',4',5'-tetramethoxyflavone",,-,
ENSMUSG00000025340-B,1.0,"Benzene, 1-ethyl-3,5-dimethyl",,+,
ENSMUSG00000025340-B,1.0,cis-2-Decenoic acid,,-,
ENSMUSG00000025340-B,1.0,Formamide,,-,
ENSMUSG00000025340-B,1.0,L-(+)-Threose,,+,
ENSMUSG00000025340-B,1.0,L-Val-L-Leu,,-,
ENSMUSG00000025354-B,-1.0,"(2R)-Pyrrolidine-1,2-dicarboxylic acid, bis(tert-butyldimethylsilyl) ester",1.0,-,-1.0
ENSMUSG00000025354-B,-1.0,"1,2-Bis(trimethylsiloxy)cyclohexene",,-,
ENSMUSG00000025354-B,-1.0,"3,4-Dihydroxybenzaldehyde",,-,
ENSMUSG00000025354-B,-1.0,7-Hydroxy-4-(methoxymethyl)coumarin,,-,
ENSMUSG00000025354-B,-1.0,Chlorobenzilate ,,-,
ENSMUSG00000025354-B,-1.0,Iminodiacetic acid,1.0,-,-1.0
ENSMUSG00000025354-B,-1.0,L-(+)-Threose,,-,
ENSMUSG00000025354-B,-1.0,L-Ornithine,,+,
ENSMUSG00000025354-B,-1.0,Octadecanoic acid,,-,
ENSMUSG00000025355-B,1.0,"3,4-Dihydroxybenzaldehyde",,-,
ENSMUSG00000025355-B,1.0,cis-2-Decenoic acid,,-,
ENSMUSG00000025355-B,1.0,"N-[(3,4,5-Trimethoxyphenyl)methylidene]hydroxylamine",,-,
ENSMUSG00000025372-B,1.0,"1,2-Bis(trimethylsiloxy)cyclohexene",,-,
ENSMUSG00000025372-B,1.0,"1,2-Cinnolinedicarboxylic acid, 1,2,3,5,6,7,8,8a-octahydro-4-trimethylsilyloxy-, diethyl ester",,-,
ENSMUSG00000025372-B,1.0,"13-Docosenamide, (Z)",,+,
ENSMUSG00000025372-B,1.0,2-Norbornanemethanol,,-,
ENSMUSG00000025372-B,1.0,"3,4-Dihydroxybenzaldehyde",,+,
ENSMUSG00000025372-B,1.0,Phenol,-1.0,-,-1.0
ENSMUSG00000025372-B,1.0,Tyr-Val,,-,
ENSMUSG00000025466-B,1.0,"Benzene, 1-ethyl-3,5-dimethyl",,+,
ENSMUSG00000025466-B,1.0,cis-2-Decenoic acid,,-,
ENSMUSG00000025466-B,1.0,L-(+)-Threose,,+,
ENSMUSG00000025466-B,1.0,Tyr-Val,,+,
ENSMUSG00000025510-B,-1.0,"1,2-Cinnolinedicarboxylic acid, 1,2,3,5,6,7,8,8a-octahydro-4-trimethylsilyloxy-, diethyl ester",,-,
ENSMUSG00000025510-B,-1.0,2-Buten-1-ol,,-,
ENSMUSG00000025510-B,-1.0,2-Norbornanemethanol,,-,
ENSMUSG00000025510-B,-1.0,4-tert-Butyldimethylsiloxy-3-penten-2-one,,+,
ENSMUSG00000025510-B,-1.0,"N-[(3,4,5-Trimethoxyphenyl)methylidene]hydroxylamine",,+,
ENSMUSG00000025510-B,-1.0,Octacosanol,-1.0,-,1.0
ENSMUSG00000025732-B,1.0,3-(4-Methoxyphenyl)coumarin,,-,
ENSMUSG00000025732-B,1.0,"3-Hydroxy-7,3',4',5'-tetramethoxyflavone",,+,
ENSMUSG00000025732-B,1.0,"Benzene, 1-ethyl-3,5-dimethyl",,+,
ENSMUSG00000025732-B,1.0,Chlorobenzilate ,,-,
ENSMUSG00000025732-B,1.0,L-(+)-Threose,,+,
ENSMUSG00000025732-B,1.0,"l-Leucine, n-butoxycarbonyl-N-methyl-, hexadecyl ester",,+,
ENSMUSG00000025825-B,-1.0,"(2R)-Pyrrolidine-1,2-dicarboxylic acid, bis(tert-butyldimethylsilyl) ester",1.0,-,-1.0
ENSMUSG00000025825-B,-1.0,"1,2-Cinnolinedicarboxylic acid, 1,2,3,5,6,7,8,8a-octahydro-4-trimethylsilyloxy-, diethyl ester",,-,
ENSMUSG00000025825-B,-1.0,"13-Docosenamide, (Z)",,-,
ENSMUSG00000025825-B,-1.0,2-Aminoquinolin-8-ol,,+,
ENSMUSG00000025825-B,-1.0,Diclofenac,,+,
ENSMUSG00000025825-B,-1.0,L-(+)-Threose,,-,
ENSMUSG00000025825-B,-1.0,"l-Leucine, n-butoxycarbonyl-N-methyl-, hexadecyl ester",,+,
ENSMUSG00000025825-B,-1.0,Synephrine,,+,
ENSMUSG00000025927-B,1.0,"1,2-Bis(trimethylsiloxy)cyclohexene",,-,
ENSMUSG00000025927-B,1.0,"13-Docosenamide, (Z)",,+,
ENSMUSG00000025927-B,1.0,2-Aminoquinolin-8-ol,,+,
ENSMUSG00000025927-B,1.0,"3,3-Dimethylacrylic acid",,+,
ENSMUSG00000025927-B,1.0,Chlorobenzilate ,,-,
ENSMUSG00000025927-B,1.0,cis-2-Decenoic acid,,-,
ENSMUSG00000025927-B,1.0,Isosorbide,,+,
ENSMUSG00000025937-B,1.0,"3,3-Dimethylacrylic acid",,-,
ENSMUSG00000025937-B,1.0,"3-Hydroxy-7,3',4',5'-tetramethoxyflavone",,+,
ENSMUSG00000025937-B,1.0,"4,5-Dihydro-1H-pyrazole",,-,
ENSMUSG00000025937-B,1.0,L-Val-L-Leu,,-,
ENSMUSG00000025937-B,1.0,m-Toluic acid,1.0,+,1.0
ENSMUSG00000025937-B,1.0,"N-[(3,4,5-Trimethoxyphenyl)methylidene]hydroxylamine",,+,
ENSMUSG00000025937-B,1.0,Tyr-Val,,+,
ENSMUSG00000026035-B,-1.0,"1,2-Cinnolinedicarboxylic acid, 1,2,3,5,6,7,8,8a-octahydro-4-trimethylsilyloxy-, diethyl ester",,+,
ENSMUSG00000026035-B,-1.0,"13-Docosenamide, (Z)",,-,
ENSMUSG00000026035-B,-1.0,2-Aminoquinolin-8-ol,,+,
ENSMUSG00000026035-B,-1.0,"3,4-Dihydroxybenzaldehyde",,+,
ENSMUSG00000026035-B,-1.0,"3-Hydroxy-7,3',4',5'-tetramethoxyflavone",,-,
ENSMUSG00000026035-B,-1.0,Tyr-Val,,-,
ENSMUSG00000026087-B,1.0,"1,2-Bis(trimethylsiloxy)cyclohexene",,+,
ENSMUSG00000026087-B,1.0,"1,2-Cinnolinedicarboxylic acid, 1,2,3,5,6,7,8,8a-octahydro-4-trimethylsilyloxy-, diethyl ester",,-,
ENSMUSG00000026087-B,1.0,2-Aminoquinolin-8-ol,,+,
ENSMUSG00000026087-B,1.0,2-Ethyl-1-butanol,-1.0,+,-1.0
ENSMUSG00000026087-B,1.0,2-Norbornanemethanol,,-,
ENSMUSG00000026087-B,1.0,"3,4-Dihydroxybenzaldehyde",,-,
ENSMUSG00000026087-B,1.0,Luciferin,,-,
ENSMUSG00000026096-B,1.0,"2,4-Dimethoxybenzaldoxime",,+,
ENSMUSG00000026096-B,1.0,"3,4-Dihydroxybenzaldehyde",,+,
ENSMUSG00000026096-B,1.0,Chlorobenzilate ,,+,
ENSMUSG00000026096-B,1.0,cis-2-Decenoic acid,,-,
ENSMUSG00000026096-B,1.0,L-(+)-Threose,,+,
ENSMUSG00000026096-B,1.0,L-Tyrosine,-1.0,+,-1.0
ENSMUSG00000026096-B,1.0,Luciferin,,-,
ENSMUSG00000026096-B,1.0,Tyr-Val,,-,
ENSMUSG00000026097-B,1.0,"1,2-Bis(trimethylsiloxy)cyclohexene",,-,
ENSMUSG00000026097-B,1.0,"1,2-Cinnolinedicarboxylic acid, 1,2,3,5,6,7,8,8a-octahydro-4-trimethylsilyloxy-, diethyl ester",,+,
ENSMUSG00000026097-B,1.0,"13-Docosenamide, (Z)",,+,
ENSMUSG00000026097-B,1.0,"2,4-Dimethoxybenzaldoxime",,+,
ENSMUSG00000026097-B,1.0,"3,4-Dihydroxybenzaldehyde",,-,
ENSMUSG00000026097-B,1.0,6-Nitroveratryl alcohol,,-,
ENSMUSG00000026097-B,1.0,Octadecanoic acid,,-,
ENSMUSG00000026197-B,1.0,2-Norbornanemethanol,,-,
ENSMUSG00000026197-B,1.0,"l-Leucine, n-butoxycarbonyl-N-methyl-, hexadecyl ester",,-,
ENSMUSG00000026197-B,1.0,L-Val-L-Leu,,+,
ENSMUSG00000026197-B,1.0,"N-[(3,4,5-Trimethoxyphenyl)methylidene]hydroxylamine",,+,
ENSMUSG00000026260-B,-1.0,3-(4-Methoxyphenyl)coumarin,,+,
ENSMUSG00000026260-B,-1.0,"3-Hydroxy-7,3',4',5'-tetramethoxyflavone",,-,
ENSMUSG00000026260-B,-1.0,cis-2-Decenoic acid,,-,
ENSMUSG00000026260-B,-1.0,Guanosine,-1.0,+,1.0
ENSMUSG00000026260-B,-1.0,"l-Leucine, n-butoxycarbonyl-N-methyl-, hexadecyl ester",,-,
ENSMUSG00000026260-B,-1.0,"N-[(3,4,5-Trimethoxyphenyl)methylidene]hydroxylamine",,+,
ENSMUSG00000026315-B,1.0,"13-Docosenamide, (Z)",,-,
ENSMUSG00000026315-B,1.0,cis-2-Decenoic acid,,+,
ENSMUSG00000026315-B,1.0,Isosorbide,,-,
ENSMUSG00000026315-B,1.0,Tyr-Val,,+,
ENSMUSG00000026418-B,-1.0,"1,2-Bis(trimethylsiloxy)cyclohexene",,+,
ENSMUSG00000026418-B,-1.0,"1,2-Cinnolinedicarboxylic acid, 1,2,3,5,6,7,8,8a-octahydro-4-trimethylsilyloxy-, diethyl ester",,-,
ENSMUSG00000026418-B,-1.0,"13-Docosenamide, (Z)",,+,
ENSMUSG00000026418-B,-1.0,"2,4-Dimethoxybenzaldoxime",,+,
ENSMUSG00000026418-B,-1.0,2-Norbornanemethanol,,-,
ENSMUSG00000026418-B,-1.0,Isosorbide,,+,
ENSMUSG00000026418-B,-1.0,Octadecanoic acid,,+,
ENSMUSG00000026473-B,1.0,"13-Docosenamide, (Z)",,-,
ENSMUSG00000026473-B,1.0,"2,4-Dimethoxybenzaldoxime",,-,
ENSMUSG00000026473-B,1.0,2-Aminoquinolin-8-ol,,+,
ENSMUSG00000026473-B,1.0,3-(4-Methoxyphenyl)coumarin,,+,
ENSMUSG00000026473-B,1.0,"3,3-Dimethylacrylic acid",,-,
ENSMUSG00000026473-B,1.0,cis-2-Decenoic acid,,-,
ENSMUSG00000026473-B,1.0,"l-Leucine, n-butoxycarbonyl-N-methyl-, hexadecyl ester",,+,
ENSMUSG00000026473-B,1.0,L-Val-L-Leu,,-,
ENSMUSG00000026504-B,1.0,"13-Docosenamide, (Z)",,-,
ENSMUSG00000026504-B,1.0,"2,4-Dimethoxybenzaldoxime",,-,
ENSMUSG00000026504-B,1.0,Tyr-Val,,+,
ENSMUSG00000026514-B,-1.0,"1,2-Cinnolinedicarboxylic acid, 1,2,3,5,6,7,8,8a-octahydro-4-trimethylsilyloxy-, diethyl ester",,-,
ENSMUSG00000026514-B,-1.0,Isosorbide,,-,
ENSMUSG00000026514-B,-1.0,L-(+)-Threose,,+,
ENSMUSG00000026514-B,-1.0,"N-[(3,4,5-Trimethoxyphenyl)methylidene]hydroxylamine",,+,
ENSMUSG00000026514-B,-1.0,Octadecanoic acid,,-,
ENSMUSG00000026553-B,-1.0,"1,2-Bis(trimethylsiloxy)cyclohexene",,-,
ENSMUSG00000026553-B,-1.0,"13-Docosenamide, (Z)",,-,
ENSMUSG00000026553-B,-1.0,3-(4-Methoxyphenyl)coumarin,,+,
ENSMUSG00000026553-B,-1.0,"3-Hydroxy-7,3',4',5'-tetramethoxyflavone",,-,
ENSMUSG00000026553-B,-1.0,Azelaic acid,-1.0,-,1.0
ENSMUSG00000026553-B,-1.0,Isosorbide,,-,
ENSMUSG00000026553-B,-1.0,L-(+)-Threose,,-,
ENSMUSG00000026553-B,-1.0,Octadecanoic acid,,-,
ENSMUSG00000026628-B,1.0,"13-Docosenamide, (Z)",,+,
ENSMUSG00000026628-B,1.0,2-Aminoquinolin-8-ol,,-,
ENSMUSG00000026628-B,1.0,"3,3-Dimethylacrylic acid",,-,
ENSMUSG00000026628-B,1.0,"Benzoic acid, 2-hydroxy-3-[(2-hydroxy-4-methoxy-6-propylbenzoyl)oxy]-4-methoxy-6-propyl-, methyl ester ",,-,
ENSMUSG00000026628-B,1.0,cis-2-Decenoic acid,,+,
ENSMUSG00000026628-B,1.0,Isosorbide,,-,
ENSMUSG00000026628-B,1.0,Synephrine,,-,
ENSMUSG00000026628-B,1.0,Tyr-Val,,+,
ENSMUSG00000026630-B,1.0,"13-Docosenamide, (Z)",,-,
ENSMUSG00000026630-B,1.0,2-Aminoquinolin-8-ol,,-,
ENSMUSG00000026630-B,1.0,"3-Hydroxy-7,3',4',5'-tetramethoxyflavone",,+,
ENSMUSG00000026630-B,1.0,cis-2-Decenoic acid,,+,
ENSMUSG00000026630-B,1.0,"l-Leucine, n-butoxycarbonyl-N-methyl-, hexadecyl ester",,+,
ENSMUSG00000026630-B,1.0,Sulindac,,-,
ENSMUSG00000026788-B,1.0,"1,2-Bis(trimethylsiloxy)cyclohexene",,-,
ENSMUSG00000026788-B,1.0,"13-Docosenamide, (Z)",,+,
ENSMUSG00000026788-B,1.0,"2,4-Dimethoxybenzaldoxime",,+,
ENSMUSG00000026788-B,1.0,"3,3-Dimethylacrylic acid",,+,
ENSMUSG00000026788-B,1.0,"3,4-Dihydroxybenzaldehyde",,+,
ENSMUSG00000026788-B,1.0,"3-Hydroxy-7,3',4',5'-tetramethoxyflavone",,-,
ENSMUSG00000026788-B,1.0,5-Hydroxy-7-methoxy-2-methyl-3-phenyl-4-chromenone,-1.0,+,-1.0
ENSMUSG00000026788-B,1.0,Glabridin,,-,
ENSMUSG00000026788-B,1.0,Tyr-Val,,-,
ENSMUSG00000026893-B,1.0,"1,2-Bis(trimethylsiloxy)cyclohexene",,-,
ENSMUSG00000026893-B,1.0,"2,4-Dimethoxybenzaldoxime",,-,
ENSMUSG00000026893-B,1.0,"3,4-Dihydroxybenzaldehyde",,-,
ENSMUSG00000026893-B,1.0,"3-Hydroxy-7,3',4',5'-tetramethoxyflavone",,+,
ENSMUSG00000026893-B,1.0,cis-2-Decenoic acid,,-,
ENSMUSG00000026893-B,1.0,"N-[(3,4,5-Trimethoxyphenyl)methylidene]hydroxylamine",,+,
ENSMUSG00000026893-B,1.0,Octadecanoic acid,,-,
ENSMUSG00000027193-B,-1.0,"1,2-Bis(trimethylsiloxy)cyclohexene",,-,
ENSMUSG00000027193-B,-1.0,2-Aminoquinolin-8-ol,,+,
ENSMUSG00000027193-B,-1.0,3-(4-Methoxyphenyl)coumarin,,+,
ENSMUSG00000027193-B,-1.0,Azelaic acid,-1.0,-,1.0
ENSMUSG00000027193-B,-1.0,L-(+)-Threose,,-,
ENSMUSG00000027193-B,-1.0,Octadecanoic acid,,-,
ENSMUSG00000027208-B,1.0,"1,2-Bis(trimethylsiloxy)cyclohexene",,-,
ENSMUSG00000027208-B,1.0,"1,2-Cinnolinedicarboxylic acid, 1,2,3,5,6,7,8,8a-octahydro-4-trimethylsilyloxy-, diethyl ester",,+,
ENSMUSG00000027208-B,1.0,2-Norbornanemethanol,,+,
ENSMUSG00000027208-B,1.0,"3,4-Dihydroxybenzaldehyde",,-,
ENSMUSG00000027208-B,1.0,4-tert-Butyldimethylsiloxy-3-penten-2-one,,-,
ENSMUSG00000027208-B,1.0,Adipoyl-L-carnitine,,-,
ENSMUSG00000027208-B,1.0,"Benzene, 1-ethyl-3,5-dimethyl",,+,
ENSMUSG00000027208-B,1.0,cis-2-Decenoic acid,,-,
ENSMUSG00000027208-B,1.0,L-(+)-Threose,,+,
ENSMUSG00000027208-B,1.0,L-Ornithine,,+,
ENSMUSG00000027208-B,1.0,Octadecanoic acid,,-,
ENSMUSG00000027318-B,1.0,"1,2-Cinnolinedicarboxylic acid, 1,2,3,5,6,7,8,8a-octahydro-4-trimethylsilyloxy-, diethyl ester",,-,
ENSMUSG00000027318-B,1.0,"13-Docosenamide, (Z)",,+,
ENSMUSG00000027318-B,1.0,"2,4-Dimethoxybenzaldoxime",,+,
ENSMUSG00000027318-B,1.0,2-Norbornanemethanol,,-,
ENSMUSG00000027318-B,1.0,Aniline,-1.0,+,-1.0
ENSMUSG00000027318-B,1.0,cis-2-Decenoic acid,,+,
ENSMUSG00000027318-B,1.0,Isosorbide,,-,
ENSMUSG00000027318-B,1.0,Lupinine,,+,
ENSMUSG00000027318-B,1.0,L-Val-L-Leu,,+,
ENSMUSG00000027331-B,1.0,"1,2-Bis(trimethylsiloxy)cyclohexene",,-,
ENSMUSG00000027331-B,1.0,"2,4-Dimethoxybenzaldoxime",,+,
ENSMUSG00000027331-B,1.0,2-Aminoquinolin-8-ol,,+,
ENSMUSG00000027331-B,1.0,3-(4-Methoxyphenyl)coumarin,,-,
ENSMUSG00000027331-B,1.0,Chlorobenzilate ,,-,
ENSMUSG00000027331-B,1.0,Isosorbide,,-,
ENSMUSG00000027331-B,1.0,L-Ornithine,,+,
ENSMUSG00000027331-B,1.0,Octadecanoic acid,,-,
ENSMUSG00000027339-B,-1.0,"1,2-Cinnolinedicarboxylic acid, 1,2,3,5,6,7,8,8a-octahydro-4-trimethylsilyloxy-, diethyl ester",,-,
ENSMUSG00000027339-B,-1.0,"13-Docosenamide, (Z)",,+,
ENSMUSG00000027339-B,-1.0,"3-Hydroxy-7,3',4',5'-tetramethoxyflavone",,-,
ENSMUSG00000027339-B,-1.0,Isosorbide,,-,
ENSMUSG00000027339-B,-1.0,L-Val-L-Leu,,-,
ENSMUSG00000027339-B,-1.0,Tyr-Val,,+,
ENSMUSG00000027356-B,-1.0,2-Aminoquinolin-8-ol,,-,
ENSMUSG00000027356-B,-1.0,3-(4-Methoxyphenyl)coumarin,,-,
ENSMUSG00000027356-B,-1.0,"3,4-Dihydroxybenzaldehyde",,+,
ENSMUSG00000027356-B,-1.0,cis-2-Decenoic acid,,+,
ENSMUSG00000027356-B,-1.0,L-(+)-Threose,,+,
ENSMUSG00000027356-B,-1.0,"N-[(3,4,5-Trimethoxyphenyl)methylidene]hydroxylamine",,+,
ENSMUSG00000027356-B,-1.0,Sulindac,,-,
ENSMUSG00000027356-B,-1.0,Tyr-Val,,-,
ENSMUSG00000027377-B,1.0,"13-Docosenamide, (Z)",,-,
ENSMUSG00000027377-B,1.0,2-Norbornanemethanol,,+,
ENSMUSG00000027377-B,1.0,"3,4-Dihydroxybenzaldehyde",,-,
ENSMUSG00000027377-B,1.0,"3-Hydroxy-7,3',4',5'-tetramethoxyflavone",,+,
ENSMUSG00000027377-B,1.0,cis-2-Decenoic acid,,+,
ENSMUSG00000027377-B,1.0,"l-Leucine, n-butoxycarbonyl-N-methyl-, hexadecyl ester",,+,
ENSMUSG00000027663-B,-1.0,2-Aminoquinolin-8-ol,,+,
ENSMUSG00000027663-B,-1.0,2-Norbornanemethanol,,-,
ENSMUSG00000027663-B,-1.0,"3-Hydroxy-7,3',4',5'-tetramethoxyflavone",,-,
ENSMUSG00000027663-B,-1.0,L-(+)-Threose,,+,
ENSMUSG00000027663-B,-1.0,"l-Leucine, n-butoxycarbonyl-N-methyl-, hexadecyl ester",,-,
ENSMUSG00000027663-B,-1.0,L-Threonine,,+,
ENSMUSG00000027673-B,1.0,"13-Docosenamide, (Z)",,-,
ENSMUSG00000027673-B,1.0,"2,4-Dimethoxybenzaldoxime",,-,
ENSMUSG00000027673-B,1.0,2-Aminoquinolin-8-ol,,+,
ENSMUSG00000027673-B,1.0,"3,4-Dihydroxybenzaldehyde",,-,
ENSMUSG00000027673-B,1.0,Chlorobenzilate ,,-,
ENSMUSG00000027673-B,1.0,cis-2-Decenoic acid,,-,
ENSMUSG00000027673-B,1.0,L-Glutamic acid,,-,
ENSMUSG00000027714-B,1.0,"1,2-Bis(trimethylsiloxy)cyclohexene",,-,
ENSMUSG00000027714-B,1.0,3-(4-Methoxyphenyl)coumarin,,+,
ENSMUSG00000027714-B,1.0,"3-Hydroxy-7,3',4',5'-tetramethoxyflavone",,-,
ENSMUSG00000027714-B,1.0,Isosorbide,,-,
ENSMUSG00000027714-B,1.0,L-Glutamic acid,,-,
ENSMUSG00000027714-B,1.0,L-Val-L-Leu,,-,
ENSMUSG00000027714-B,1.0,"N-[(3,4,5-Trimethoxyphenyl)methylidene]hydroxylamine",,+,
ENSMUSG00000027714-B,1.0,Octadecanoic acid,,-,
ENSMUSG00000027782-B,1.0,2-Aminoquinolin-8-ol,,+,
ENSMUSG00000027782-B,1.0,Chlorobenzilate ,,+,
ENSMUSG00000027782-B,1.0,cis-2-Decenoic acid,,-,
ENSMUSG00000027849-B,1.0,"1,2-Bis(trimethylsiloxy)cyclohexene",,-,
ENSMUSG00000027849-B,1.0,"13-Docosenamide, (Z)",,+,
ENSMUSG00000027849-B,1.0,"2,4-Dimethoxybenzaldoxime",,+,
ENSMUSG00000027849-B,1.0,2-Aminoquinolin-8-ol,,+,
ENSMUSG00000027849-B,1.0,cis-2-Decenoic acid,,-,
ENSMUSG00000027849-B,1.0,L-(+)-Threose,,+,
ENSMUSG00000028044-B,-1.0,"1,2-Bis(trimethylsiloxy)cyclohexene",,+,
ENSMUSG00000028044-B,-1.0,"1,2-Cinnolinedicarboxylic acid, 1,2,3,5,6,7,8,8a-octahydro-4-trimethylsilyloxy-, diethyl ester",,-,
ENSMUSG00000028044-B,-1.0,"13-Docosenamide, (Z)",,+,
ENSMUSG00000028044-B,-1.0,"2,4-Dimethoxybenzaldoxime",,+,
ENSMUSG00000028044-B,-1.0,2-Norbornanemethanol,,-,
ENSMUSG00000028044-B,-1.0,Isosorbide,,-,
ENSMUSG00000028044-B,-1.0,L-Threonine,,+,
ENSMUSG00000028044-B,-1.0,Luciferin,,-,
ENSMUSG00000028044-B,-1.0,"Propanoic acid, 3-[(tert-butyldimethylsilyl)oxy]-2-methyl-",1.0,+,-1.0
ENSMUSG00000028082-B,-1.0,"1,2-Cinnolinedicarboxylic acid, 1,2,3,5,6,7,8,8a-octahydro-4-trimethylsilyloxy-, diethyl ester",,+,
ENSMUSG00000028082-B,-1.0,"2,4-Dimethoxybenzaldoxime",,+,
ENSMUSG00000028082-B,-1.0,"3-Hydroxy-7,3',4',5'-tetramethoxyflavone",,+,
ENSMUSG00000028082-B,-1.0,Diclofenac,,-,
ENSMUSG00000028082-B,-1.0,Isosorbide,,+,
ENSMUSG00000028082-B,-1.0,"l-Leucine, n-butoxycarbonyl-N-methyl-, hexadecyl ester",,-,
ENSMUSG00000028149-B,-1.0,"3-Hydroxy-7,3',4',5'-tetramethoxyflavone",,-,
ENSMUSG00000028149-B,-1.0,7-Hydroxy-4-(methoxymethyl)coumarin,,-,
ENSMUSG00000028149-B,-1.0,Isosorbide,,-,
ENSMUSG00000028149-B,-1.0,L-Val-L-Leu,,-,
ENSMUSG00000028149-B,-1.0,Octadecanoic acid,,-,
ENSMUSG00000028149-B,-1.0,Sulindac,,-,
ENSMUSG00000028167-B,1.0,"13-Docosenamide, (Z)",,-,
ENSMUSG00000028167-B,1.0,2-Aminoquinolin-8-ol,,-,
ENSMUSG00000028167-B,1.0,"3,3-Dimethylacrylic acid",,-,
ENSMUSG00000028167-B,1.0,"3,4-Dihydroxybenzaldehyde",,-,
ENSMUSG00000028167-B,1.0,"3-Hydroxy-7,3',4',5'-tetramethoxyflavone",,+,
ENSMUSG00000028167-B,1.0,"4,5-Dihydro-1H-pyrazole",,-,
ENSMUSG00000028167-B,1.0,L-(+)-Threose,,-,
ENSMUSG00000028214-B,1.0,"3,4,5-Trimethoxyamphetamine",-1.0,-,-1.0
ENSMUSG00000028214-B,1.0,"3,4-Dihydroxybenzaldehyde",,-,
ENSMUSG00000028214-B,1.0,Chlorobenzilate ,,-,
ENSMUSG00000028214-B,1.0,L-(+)-Threose,,+,
ENSMUSG00000028214-B,1.0,Luciferin,,+,
ENSMUSG00000028214-B,1.0,Tyr-Val,,+,
ENSMUSG00000028251-B,-1.0,"1,2-Bis(trimethylsiloxy)cyclohexene",,+,
ENSMUSG00000028251-B,-1.0,"3,4-Dihydroxybenzaldehyde",,+,
ENSMUSG00000028251-B,-1.0,4-tert-Butyldimethylsiloxy-3-penten-2-one,,-,
ENSMUSG00000028251-B,-1.0,7-Hydroxy-4-(methoxymethyl)coumarin,,-,
ENSMUSG00000028251-B,-1.0,cis-2-Decenoic acid,,-,
ENSMUSG00000028251-B,-1.0,L-Serine,,+,
ENSMUSG00000028251-B,-1.0,Luciferin,,-,
ENSMUSG00000028251-B,-1.0,"N-[(3,4,5-Trimethoxyphenyl)methylidene]hydroxylamine",,-,
ENSMUSG00000028251-B,-1.0,Octadecanoic acid,,+,
ENSMUSG00000028251-B,-1.0,Tyr-Val,,-,
ENSMUSG00000028545-B,-1.0,2-Aminoquinolin-8-ol,,+,
ENSMUSG00000028545-B,-1.0,"3-Hydroxy-7,3',4',5'-tetramethoxyflavone",,-,
ENSMUSG00000028545-B,-1.0,4-tert-Butyldimethylsiloxy-3-penten-2-one,,-,
ENSMUSG00000028545-B,-1.0,cis-2-Decenoic acid,,-,
ENSMUSG00000028545-B,-1.0,L-Val-L-Leu,,-,
ENSMUSG00000028545-B,-1.0,"N-[(3,4,5-Trimethoxyphenyl)methylidene]hydroxylamine",,-,
ENSMUSG00000028552-B,-1.0,"1,2-Bis(trimethylsiloxy)cyclohexene",,-,
