Gene,ctx_direction,Metabolite,cpx_direction,Sign,edge_direction
ENSMUSG00000002732-B,1.0,"1,2-Cinnolinedicarboxylic acid, 1,2,3,5,6,7,8,8a-octahydro-4-trimethylsilyloxy-, diethyl ester",,-,
ENSMUSG00000002732-B,1.0,2-Aminoquinolin-8-ol,,+,
ENSMUSG00000002732-B,1.0,2-Norbornanemethanol,,-,
ENSMUSG00000002732-B,1.0,"3,4-Dihydroxybenzaldehyde",,-,
ENSMUSG00000002732-B,1.0,cis-2-Decenoic acid,,-,
ENSMUSG00000002732-B,1.0,"N-[(3,4,5-Trimethoxyphenyl)methylidene]hydroxylamine",,-,
ENSMUSG00000002984-B,-1.0,"13-Docosenamide, (Z)",,+,
ENSMUSG00000002984-B,-1.0,2-Aminoquinolin-8-ol,,+,
ENSMUSG00000002984-B,-1.0,"3,4-Dihydroxybenzaldehyde",,+,
ENSMUSG00000002984-B,-1.0,"3-Hydroxy-7,3',4',5'-tetramethoxyflavone",,-,
ENSMUSG00000002984-B,-1.0,"4,5-Dihydro-1H-pyrazole",,+,
ENSMUSG00000002984-B,-1.0,7-Hydroxy-4-(methoxymethyl)coumarin,,-,
ENSMUSG00000002984-B,-1.0,cis-2-Decenoic acid,,-,
ENSMUSG00000002984-B,-1.0,L-Val-L-Leu,,-,
ENSMUSG00000002984-B,-1.0,"Oxymorphone, bis(trimethylsilyl) ether",1.0,+,-1.0
ENSMUSG00000002984-B,-1.0,Tyr-Val,,-,
ENSMUSG00000004031-B,-1.0,"13-Docosenamide, (Z)",,-,
ENSMUSG00000004031-B,-1.0,2-Aminoquinolin-8-ol,,-,
ENSMUSG00000004031-B,-1.0,"3,4-Dihydroxybenzaldehyde",,+,
ENSMUSG00000004031-B,-1.0,L-(+)-Threose,,-,
ENSMUSG00000004031-B,-1.0,Tyr-Val,,-,
ENSMUSG00000005124-B,1.0,2-Norbornanemethanol,,+,
ENSMUSG00000005124-B,1.0,Glabridin,,-,
ENSMUSG00000005124-B,1.0,"l-Leucine, n-butoxycarbonyl-N-methyl-, hexadecyl ester",,+,
ENSMUSG00000005124-B,1.0,L-Val-L-Leu,,-,
ENSMUSG00000005124-B,1.0,tert-butyl(dimethyl)silyl-2-([tert-butyl(dimethyl)silyl]oxy)hex-2-enoate,,-,
ENSMUSG00000005251-B,1.0,"3,4-Dihydroxybenzaldehyde",,-,
ENSMUSG00000005251-B,1.0,"4,5-Dihydro-1H-pyrazole",,-,
ENSMUSG00000005251-B,1.0,cis-2-Decenoic acid,,-,
ENSMUSG00000005251-B,1.0,L-(+)-Threose,,-,
ENSMUSG00000005251-B,1.0,Tyr-Val,,+,
ENSMUSG00000005360-B,1.0,"1,2-Cinnolinedicarboxylic acid, 1,2,3,5,6,7,8,8a-octahydro-4-trimethylsilyloxy-, diethyl ester",,-,
ENSMUSG00000005360-B,1.0,"2,4-Dimethoxybenzaldoxime",,-,
ENSMUSG00000005360-B,1.0,2-Aminoquinolin-8-ol,,+,
ENSMUSG00000005360-B,1.0,"3,4-Dihydroxybenzaldehyde",,-,
ENSMUSG00000005360-B,1.0,Chlorobenzilate ,,-,
ENSMUSG00000005360-B,1.0,cis-2-Decenoic acid,,-,
ENSMUSG00000005360-B,1.0,L-(+)-Threose,,-,
ENSMUSG00000005360-B,1.0,"N-[(3,4,5-Trimethoxyphenyl)methylidene]hydroxylamine",,-,
ENSMUSG00000005469-B,-1.0,2-Aminoquinolin-8-ol,,+,
ENSMUSG00000005469-B,-1.0,2-Norbornanemethanol,,-,
ENSMUSG00000005469-B,-1.0,"3-Hydroxy-7,3',4',5'-tetramethoxyflavone",,-,
ENSMUSG00000005469-B,-1.0,"4,5-Dihydro-1H-pyrazole",,+,
ENSMUSG00000005469-B,-1.0,L-(+)-Threose,,+,
ENSMUSG00000006019-B,-1.0,"1,2-Bis(trimethylsiloxy)cyclohexene",,-,
