Gene,Metabolite,Pooled r,Pooled p,Pooled FDR
ENSMUSG00000001855,"Quinolin-4-one, 1-[2-(3,4-dimethoxyphenyl)ethyl]-octahydro-",-0.075980392,0.7719448512425434,0.8419584086373448
ENSMUSG00000001855,Trimethylsilyl 3-((trimethylsilyl)thio)propanoate,0.3088235294117646,0.2444986957985179,0.4665647308986891
ENSMUSG00000001964,L-Glutamine,-0.322501593,0.2067728331204464,0.4342430832270484
ENSMUSG00000001964,Neostigmine ,-0.205882353,0.4442846410521438,0.6161574589162276
ENSMUSG00000001964,"Pyrazine, 3,6-dimethyl-2,5-bis(trimethylsilyloxy)-",0.2797202797202798,0.37856867,0.5694417703930754
ENSMUSG00000002319,(pm)-Phenylpropanolamine,-0.030905086,0.909540098,0.9364821976133098
ENSMUSG00000002319,"1-Butanamine, N,N-diethyl-",-0.268877067,0.2966975678281249,0.5082428186553942
ENSMUSG00000002319,1-Octanol,-0.094117647,0.7288144270239805,0.8112442170654812
ENSMUSG00000002319,"1-Propanamine, N,N-diethyl- ",-0.192638182,0.4588452502869511,0.6260503746430535
ENSMUSG00000002319,"2,4-Diamino-6,7-dimethylpteridine",-0.112745098,0.66659205,0.7703920980397396
ENSMUSG00000002319,Allylescaline ,-0.246474602,0.3402563886333561,0.5416034345035823
ENSMUSG00000002319,"Dodecanoic acid, 1-methylethyl ester",-0.151515152,0.6760651759978538,0.7764103040878416
ENSMUSG00000002319,Hippuric acid,0.358062606,0.1581904252178502,0.3906224739630535
ENSMUSG00000002319,L-Isoleucine,0.2621505052160733,0.3266718730625408,0.5322298654036017
ENSMUSG00000002319,Lactic Acid,-0.279120879,0.3338450771945542,0.536640255
ENSMUSG00000002319,Myristic acid,-0.263623261,0.3238614125086205,0.5300743451158946
ENSMUSG00000002319,n-Butylamine,-0.068711708,0.7932941200241286,0.8571512355548175
ENSMUSG00000002319,"N,O-Bis(trimethylsilyl)carbamate",-0.174825175,0.5868236643627043,0.7161755718191997
ENSMUSG00000002319,Neostigmine ,-0.223529412,0.4052983472827589,0.5871851262293895
ENSMUSG00000002319,Nonanal,-0.107909278,0.6801641317736395,0.7789303658017285
ENSMUSG00000002319,Pantolactone,-0.292204302,0.2550868528948453,0.4760011271084459
ENSMUSG00000002319,Phenol,-0.066217057,0.8006542166422368,0.8617881176958982
ENSMUSG00000002319,Triethanolamine,-0.071122024,0.7861984693216044,0.8520987569843962
ENSMUSG00000002324,(CH3)2C=NC2H558,-0.019607843,0.9404583435037518,0.9562489624859096
ENSMUSG00000002324,"1-Butanamine, N,N-diethyl-",-0.045426719,0.8625563589912478,0.9045656348126632
