Gene,Metabolite,VECPAC r,VECPAC p,VECPAC n,DSS r,DSS p,DSS n,LPS r,LPS p,LPS n,Pooled r,Pooled p,Pooled n,Consistent,Sign,Pooled FDR,"('Gene', 'Metabolite')"
ENSMUSG00000035640,Norketamine,0.1739313106957345,0.7417339277316277,6,0.948683298,0.051316702,4,0.1700840128541523,0.7154146957910783,7,0.046798597,0.858444304,17,TRUE,+,0.901979186,"('ENSMUSG00000035640', 'Norketamine')"
ENSMUSG00000035640,p-Toluic acid,0.5,0.6666666666666667,3,0.3999999999999999,0.6,4,0.2319084142609793,0.658373571,6,0.01925724,0.9502111586390533,13,TRUE,+,0.9632748593230288,"('ENSMUSG00000035640', 'p-Toluic acid')"
ENSMUSG00000035640,"Pyrimidine, 5-methyl-2,4-bis[(trimethylsilyl)oxy]-",-0.028571429,0.9571545189504372,6,-0.2,0.8,4,-0.392857143,0.3833168704269726,7,-0.345588235,0.1742515692585699,17,TRUE,-,0.404342676,"('ENSMUSG00000035640', 'Pyrimidine, 5-methyl-2,4-bis[(trimethylsilyl)oxy]-')"
ENSMUSG00000035692,4-Methylvaleric acid,0.6982532518267538,0.1228394633733959,6,0.1054092553389459,0.894590745,4,0.1071428571428571,0.8191508555699912,7,0.049261084,0.8510719592699759,17,TRUE,+,0.8970736007005591,"('ENSMUSG00000035692', '4-Methylvaleric acid')"
ENSMUSG00000035692,"D-Erythro-Pentofuranose, 2-deoxy-1,3-bis-O-",-0.028571429,0.9571545189504372,6,-0.5,0.4999999999999999,4,-0.072074997,0.8779592508225129,7,-0.485855226,0.048011227,17,TRUE,-,0.2579093736319316,"('ENSMUSG00000035692', 'D-Erythro-Pentofuranose, 2-deoxy-1,3-bis-O-')"
ENSMUSG00000035692,"D-Isoleucine, N-acetyl-",0.028571429,0.9571545189504372,6,0.2108185106778919,0.7891814893221081,4,0.1071428571428571,0.8191508555699912,7,0.017199069,0.9477628559783886,17,TRUE,+,0.961825325,"('ENSMUSG00000035692', 'D-Isoleucine, N-acetyl-')"
ENSMUSG00000035692,L-Tryptophan,-0.115954207,0.826848213,6,-0.105409255,0.894590745,4,-0.505224802,0.2474389967208204,7,-0.15413082,0.5547620899305743,17,TRUE,-,0.6948848978883729,"('ENSMUSG00000035692', 'L-Tryptophan')"
ENSMUSG00000035762,2-Butenedioic acid,0.1739313106957345,0.7417339277316277,6,0.3999999999999999,0.6,4,0.1428571428571428,0.7599453002180929,7,0.012262418,0.9627447552847972,17,TRUE,+,0.9720518240793662,"('ENSMUSG00000035762', '2-Butenedioic acid')"
ENSMUSG00000035762,2-Naphthol,-0.173931311,0.7417339277316277,6,-0.8,0.2,4,-0.321428571,0.4820720382996776,7,-0.022072352,0.9329894626710956,17,TRUE,-,0.952280935,"('ENSMUSG00000035762', '2-Naphthol')"
ENSMUSG00000035762,Cyclobutanol,-0.8,0.2,4,-0.8,0.2,4,-0.5,0.6666666666666667,3,-0.2,0.5554454421055854,11,TRUE,-,0.6954111160000735,"('ENSMUSG00000035762', 'Cyclobutanol')"
ENSMUSG00000035762,"Ethanol, 2-(9-octadecenyloxy)-",-0.8,0.2,4,-0.5,0.6666666666666667,3,-0.3,0.6238376647810728,5,-0.300699301,0.3422595289400246,12,TRUE,-,0.5429430362002391,"('ENSMUSG00000035762', 'Ethanol, 2-(9-octadecenyloxy)-')"
ENSMUSG00000035762,Indole-5-carboxylic acid,-0.371428571,0.4684781341107871,6,-0.5,0.6666666666666667,3,-0.4,0.5046315754686911,5,-0.375824176,0.185410029,14,TRUE,-,0.4149121704647799,"('ENSMUSG00000035762', 'Indole-5-carboxylic acid')"
ENSMUSG00000035762,"N,O-Bis(trimethylsilyl)carbamate",-0.5,0.6666666666666667,3,-0.8,0.2,4,-0.3,0.6238376647810728,5,-0.258741259,0.4167747688991383,12,TRUE,-,0.5960083686259524,"('ENSMUSG00000035762', 'N,O-Bis(trimethylsilyl)carbamate')"
ENSMUSG00000035762,Pantolactone,-0.264820449,0.6120552385657049,6,-1,0,4,-0.180187493,0.6990457740939315,7,-0.282382308,0.2721388962794813,17,TRUE,-,0.4904323959425863,"('ENSMUSG00000035762', 'Pantolactone')"
ENSMUSG00000035762,Pyroglutamic acid,0.5,0.6666666666666667,3,1,0,4,0.4999999999999999,0.3910022189557705,5,0.2097902097902098,0.5128409431818263,12,TRUE,+,0.6649919725114658,"('ENSMUSG00000035762', 'Pyroglutamic acid')"
ENSMUSG00000035873,(pm)-Phenylpropanolamine,-0.20519567,0.7405819415910722,5,-0.2,0.8,4,-0.018018749,0.9694153868031988,7,-0.095941195,0.723749965,16,TRUE,-,0.8080881738530272,"('ENSMUSG00000035873', '(pm)-Phenylpropanolamine')"
ENSMUSG00000035873,"2,5-Dimethoxyphenol",-0.277218497,0.594824389,6,-0.4,0.6,4,-0.056136089,0.9048505011274568,7,-0.015470344,0.9530076036528816,17,TRUE,-,0.965474436,"('ENSMUSG00000035873', '2,5-Dimethoxyphenol')"
