Gene,Gene,Metabolite,VECPAC r,VECPAC p,VECPAC n,DSS r,DSS p,DSS n,LPS r,LPS p,LPS n,Pooled r,Pooled p,Pooled n,Consistent,Sign,Pooled FDR
ENSMUSG00000000305-P,ENSMUSG00000000305,"Benzoic acid, pentadecyl ester",-0.028988552,0.9565293523898406,6,-0.5,0.6666666666666667,3,-0.75,0.0521814,7,-0.684830633,0.003421924,16,TRUE,-,0.1186938310737258
ENSMUSG00000000305-P,ENSMUSG00000000305,Benzophenone,-0.333947207,0.5177002083054396,6,-1,0,4,-0.714285714,0.071343561,7,-0.522434816,0.031440646,17,TRUE,-,0.2260941078430916
ENSMUSG00000000305-P,ENSMUSG00000000305,"beta-D-Galactofuranose, 1,2,3,5,6-pentakis-O-(trimethylsilyl)-",-0.142857143,0.7871720116618075,6,-1,0,3,-0.815374248,0.02539921,7,-0.490038101,0.053990222,16,TRUE,-,0.2668334356617609
ENSMUSG00000000305-P,ENSMUSG00000000305,"Cyclopentaneacetic acid, 3-oxo-2-pentyl-",-0.657142857,0.1561749271137023,6,-0.8,0.2,4,-0.490990253,0.2631938105325733,7,-0.589932585,0.012677819,17,TRUE,-,0.1752295635367242
ENSMUSG00000000305-P,ENSMUSG00000000305,"Cyclopentanone, 2,2,4-trimethyl-",-1,0,3,-1,0,3,-0.6,0.2079999999999998,6,-0.629370629,0.028319671,12,TRUE,-,0.2187799648708475
ENSMUSG00000000305-P,ENSMUSG00000000305,"D-Erythro-Pentofuranose, 2-deoxy-1,3-bis-O-",-0.6,0.2079999999999998,6,-0.105409255,0.894590745,4,-0.396412484,0.37863471,7,-0.233885864,0.3662575122977607,17,TRUE,-,0.5609801530545825
ENSMUSG00000000305-P,ENSMUSG00000000305,Dimethyl fumarate,-0.028988552,0.9565293523898406,6,-0.5,0.6666666666666667,3,-0.071428571,0.8790481931481541,7,-0.042678452,0.8752951396111206,16,TRUE,-,0.9131768443200822
ENSMUSG00000000305-P,ENSMUSG00000000305,Dopamine,0.7,0.1881204043741872,5,1,0,3,0.5,0.6666666666666667,3,0.4272727272727273,0.189943725,11,TRUE,+,0.4188690191109105
ENSMUSG00000000305-P,ENSMUSG00000000305,"Glycine, N-(1-oxobutyl)-",0.4616902584383193,0.4337661561690278,5,0.7999999999999999,0.2,4,0.7142857142857144,0.071343561,7,0.094256259,0.728429093,16,TRUE,+,0.8112442170654812
ENSMUSG00000000305-P,ENSMUSG00000000305,Hexanedioic acid,-0.2,0.704,6,-0.4,0.6,4,-0.057977104,0.9131317851623264,6,-0.195876289,0.4672026006102363,16,TRUE,-,0.6321398757856764
ENSMUSG00000000305-P,ENSMUSG00000000305,Hippuric acid,-0.428571429,0.3965014577259474,6,-0.8,0.2,4,-0.342356236,0.4522512215909057,7,-0.309202454,0.2271858684411126,17,TRUE,-,0.4521287022410996
ENSMUSG00000000305-P,ENSMUSG00000000305,Hydroquinone,-0.5,0.6666666666666667,3,-1,0,3,-0.974679434,0.00481823,5,-0.888384993,0.000257796,11,TRUE,-,0.057179816
ENSMUSG00000000305-P,ENSMUSG00000000305,Indole-3-lactic acid,-0.314285714,0.5440932944606414,6,-0.5,0.6666666666666667,3,-0.178571429,0.7016579425162729,7,-0.376747711,0.1503235117036318,16,TRUE,-,0.3834347693900255
