Metabolite 1,Metabolite 2,Spearman Coefficient,p-value,Values Counted
ENSMUSG00000000093-B,Curcumin,0.028571428571428574,0.9571545189504373,6
ENSMUSG00000000093-B,Cyclobutylamine,-0.1449427589131121,0.7841083696021083,6
ENSMUSG00000000093-B,Cyclocurcumin,nan,nan,0
ENSMUSG00000000093-B,Cycloheptanol,0.23190841426097938,0.658373571260927,6
ENSMUSG00000000093-B,"Cyclohexanone, 3,3,5-trimethyl",0.3,0.623837664781073,5
ENSMUSG00000000093-B,Cyclooctylamine,-0.14285714285714288,0.7871720116618076,6
ENSMUSG00000000093-B,"Cyclopentaneacetic acid, 3-oxo-2-pentyl-, methyl ester",0.6957252427829382,0.12478933744028692,6
ENSMUSG00000000093-B,"Cytosine, N-(tert-butyldimethylsilyl)-",0.8285714285714287,0.04156268221574335,6
ENSMUSG00000000093-B,Desmethylverapamil,nan,nan,0
ENSMUSG00000000093-B,Diacetyl monoxime,0.4285714285714286,0.3965014577259473,6
ENSMUSG00000000093-B,Dibutyldodecylamine,nan,nan,0
ENSMUSG00000000093-B,Diclofenac,nan,nan,0
ENSMUSG00000000093-B,Diethylamine,0.20291986247835697,0.699797968157019,6
ENSMUSG00000000093-B,DL-Glyceraldehyde,0.14285714285714288,0.7871720116618076,6
ENSMUSG00000000093-B,DL-p-Hydroxyphenyllactic acid,0.6668859288553501,0.21889398131323157,5
ENSMUSG00000000093-B,"Dodecanoic acid, 1-methylethyl ester",0.8285714285714287,0.04156268221574335,6
ENSMUSG00000000093-B,Dodecanoic acid,0.7714285714285715,0.07239650145772594,6
ENSMUSG00000000093-B,"D-Streptamine, O-6-amino-6-deoxy-alpha-D-glucopyranosyl-(1-4)-O-(3-deoxy-4-C-methyl-3-(methylamino)-beta-L-arabinopyranosyl-(1-6))-2-deoxy-",0.49280538030458115,0.32063258286582746,6
ENSMUSG00000000093-B,Durapan,0.08571428571428573,0.8717434402332361,6
ENSMUSG00000000093-B,"Erythrono-1,4-lactone",0.028571428571428574,0.9571545189504373,6
ENSMUSG00000000093-B,Ethanolamine,0.3188740696088466,0.537900560470205,6
ENSMUSG00000000093-B,Formamide,0.23190841426097938,0.658373571260927,6
ENSMUSG00000000093-B,Frangulin,0.7378647873726218,0.26213521262737816,4
ENSMUSG00000000093-B,Glabridin,nan,nan,0
ENSMUSG00000000093-B,Glyceric acid,nan,nan,0
ENSMUSG00000000093-B,Glycerol,0.6,0.208,6
ENSMUSG00000000093-B,Glycine,0.6087595874350709,0.19966018946036276,6
ENSMUSG00000000093-B,"Glycine, tert.-butyldimethylsilyl ester",0.17393131069573456,0.7417339277316278,6
ENSMUSG00000000093-B,Glycolic acid,0.028988551782622423,0.9565293523898406,6
ENSMUSG00000000093-B,Guanosine,-0.39999999999999997,0.6,4
ENSMUSG00000000093-B,Heptanedioic acid,nan,nan,0
ENSMUSG00000000093-B,Heptanoic acid,0.3768511731740915,0.4614828403508045,6
ENSMUSG00000000093-B,Heptylamine,0.09999999999999999,0.8728885715695384,5
ENSMUSG00000000093-B,Hexacosanoic acid,0.30779350562554625,0.614384002810333,5
ENSMUSG00000000093-B,Hexanoic acid,0.3478626213914691,0.4992532181146332,6
ENSMUSG00000000093-B,Hydracrylic acid,0.2,0.7040000000000001,6
ENSMUSG00000000093-B,Hydroxylamine,nan,nan,0
ENSMUSG00000000093-B,"Hymexazole, tert-butyldimethylsilyl ether",0.14285714285714288,0.7871720116618076,6
ENSMUSG00000000093-B,Hypoxanthine,0.028571428571428574,0.9571545189504373,6
ENSMUSG00000000093-B,Iminodiacetic acid,0.20291986247835697,0.699797968157019,6
ENSMUSG00000000093-B,Indoprofen,nan,nan,0
ENSMUSG00000000093-B,Isobutanol,-0.14285714285714288,0.7871720116618076,6
ENSMUSG00000000093-B,Isonicotinic Acid,0.5797710356524484,0.22778395671501606,6
ENSMUSG00000000093-B,Isopropyl palmitate,0.8116794499134279,0.04985758510134036,6
ENSMUSG00000000093-B,Isopropylamine,-0.48571428571428577,0.3287230320699708,6
ENSMUSG00000000093-B,Isosorbide,nan,nan,0
ENSMUSG00000000093-B,Ketamine,0.6377481392176932,0.17307111024125982,6
ENSMUSG00000000093-B,"Kojic acid, bis(tert-butyldimethylsilyl) ether",0.08571428571428573,0.8717434402332361,6
ENSMUSG00000000093-B,L-(+)-Threose,0.5,0.6666666666666666,3
ENSMUSG00000000093-B,Lactic acid,0.3188740696088466,0.537900560470205,6
ENSMUSG00000000093-B,L-Alanine,0.9856107606091623,0.00030908566784966984,6
ENSMUSG00000000093-B,L-Asparagine,nan,nan,0
ENSMUSG00000000093-B,L-gamma-Glutamyl-L-glutamic acid,nan,nan,0
ENSMUSG00000000093-B,Leucylglycine,-0.6,0.208,6
ENSMUSG00000000093-B,Levulinic acid,0.6767633692869747,0.13983668734781046,6
ENSMUSG00000000093-B,L-Glutamic acid,0.5,0.6666666666666666,3
ENSMUSG00000000093-B,L-Glutamine,0.8406680016960503,0.0360575728451592,6
ENSMUSG00000000093-B,"L-Histidine, N,1-bis(tert-butyldimethylsilyl)-",-0.057977103565244846,0.9131317851623264,6
ENSMUSG00000000093-B,Lignoceric acid,0.753702346348183,0.08352328137325983,6
ENSMUSG00000000093-B,L-Leucine,0.7142857142857143,0.11078717201166179,6
ENSMUSG00000000093-B,"l-Leucine, n-butoxycarbonyl-N-methyl-, hexadecyl ester",nan,nan,0
ENSMUSG00000000093-B,L-Lysine,0.8857142857142858,0.01884548104956266,6
