Metabolite 1,Metabolite 2,Spearman Coefficient,p-value,Values Counted
ENSMUSG00000000093-B,L-Lysine,0.36446563806256416,0.27046371036974254,11
ENSMUSG00000000093-B,L-Norleucine,0.03603749850782236,0.938860561394214,7
ENSMUSG00000000093-B,"l-Norvaline, n-propargyloxycarbonyl-, isohexyl ester",-0.4761904761904762,0.23293553465009806,8
ENSMUSG00000000093-B,L-Ornithine,0.6000000000000001,0.4,4
ENSMUSG00000000093-B,L-Pyroglutamic acid,0.27941176470588236,0.5917893216975373,6
ENSMUSG00000000093-B,L-Serine,0.3,0.623837664781073,5
ENSMUSG00000000093-B,L-Threonine,-0.3,0.623837664781073,5
ENSMUSG00000000093-B,L-Tryptophan,0.37017543859649127,0.23624006830322636,12
ENSMUSG00000000093-B,L-Tyrosine,0.5714312110592608,0.08441186126257025,10
ENSMUSG00000000093-B,Luciferin,0.0,1.0,4
ENSMUSG00000000093-B,Lupinine,-0.28571428571428575,0.5345092286010408,7
ENSMUSG00000000093-B,L-Valine,0.287215852018722,0.3653744519386998,12
ENSMUSG00000000093-B,L-Val-L-Leu,1.0,0.0,3
ENSMUSG00000000093-B,Malic acid,0.18213688176797005,0.5710157812668484,12
ENSMUSG00000000093-B,Maltol,nan,nan,0
ENSMUSG00000000093-B,Methanesulfonic acid,0.20909090909090913,0.5372209352113229,11
ENSMUSG00000000093-B,Methyl lactate,0.02727272727272728,0.9365584481926121,11
ENSMUSG00000000093-B,Methylsuccinic acid,nan,nan,0
ENSMUSG00000000093-B,Methylthiouracil,0.018181818181818184,0.9576852410216188,11
ENSMUSG00000000093-B,Mevalonolactone,0.19649122807017544,0.5404907057784528,12
ENSMUSG00000000093-B,Monocaproin,0.28571428571428575,0.49272624501695705,8
ENSMUSG00000000093-B,m-Toluic acid,-0.1473684210526316,0.6476339110732001,12
ENSMUSG00000000093-B,Myristic acid,0.6625669283320721,0.01888027959063519,12
ENSMUSG00000000093-B,"N,N-Dimethyl-2-aminoethanol",0.04555820475782052,0.894187401026699,11
ENSMUSG00000000093-B,"N-[(3,4,5-Trimethoxyphenyl)methylidene]hydroxylamine",1.0,0.0,3
ENSMUSG00000000093-B,N-Acetylaminoethanol,0.4066926620085462,0.1895217118803049,12
ENSMUSG00000000093-B,N-Acetylaspartic acid,0.49202861138446163,0.12421399642576283,11
ENSMUSG00000000093-B,N-Acetyl-L-alanine,0.6304738215045117,0.02796025965102629,12
ENSMUSG00000000093-B,"Naringenin 4',7-dimethylether",0.8383383833392813,0.009323115735056052,8
ENSMUSG00000000093-B,N-Caffeoyl-O-methyltyramine,0.10942299786241164,0.7634826463741491,10
ENSMUSG00000000093-B,N-Ethylamphetamine,0.2219685445513019,0.5118381791647244,11
ENSMUSG00000000093-B,N-Ethyldiethanolamine,0.3467606018274814,0.269479388463033,12
ENSMUSG00000000093-B,Niacin,0.19863013698630141,0.5582129017821597,11
ENSMUSG00000000093-B,Niacinamide,0.10933969141876927,0.7489532016128978,11
ENSMUSG00000000093-B,N-Isobutyrylglycine,-0.3964912280701755,0.20194511740261023,12
ENSMUSG00000000093-B,N-Methyl-1-[(trimethylsilyl)oxy]-1-{4-[(trimethylsilyl)oxy]phenyl}propan-2-amine,0.37690143708164003,0.28300336500570794,10
ENSMUSG00000000093-B,N-Methylacetamide,0.6028128817450947,0.03801371138786508,12
ENSMUSG00000000093-B,Nonanoic acid,-0.29223744292237447,0.3831908436781285,11
ENSMUSG00000000093-B,Norephedrine,0.33333333333333337,0.38071318167686347,9
ENSMUSG00000000093-B,Norketamine,0.5581020513277452,0.059326542181487495,12
ENSMUSG00000000093-B,"Norleucine, N-trimethylsilyl-",nan,nan,0
ENSMUSG00000000093-B,Octacosanol,-0.28571428571428575,0.5345092286010408,7
ENSMUSG00000000093-B,"Octadecanoic acid, octyl ester",nan,nan,0
ENSMUSG00000000093-B,Octadecanoic acid,-0.5,0.6666666666666666,3
ENSMUSG00000000093-B,Octanoic acid,0.8857142857142858,0.01884548104956266,6
ENSMUSG00000000093-B,Octocrylene,nan,nan,0
ENSMUSG00000000093-B,Oleamide,0.12959739664259406,0.6881039438604583,12
ENSMUSG00000000093-B,Oleic Acid,0.0,1.0,3
ENSMUSG00000000093-B,Olomoucine,nan,nan,0
ENSMUSG00000000093-B,Oxalic acid,-0.005281722883227872,0.9870024935461599,12
ENSMUSG00000000093-B,"Oxalic acid, di(cyclohexylmethyl) ester",nan,nan,0
