Metabolite,Gene,AL Consistent,Matt consistent,Consistent differs,Matt,AL,Diff (Matt-AL),Abs Diff
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol",ENSMUSG00000094002,False,False,False,0.0,,,
"(9H-fluoren-9-yl)methanol, O-methoxycarbonyl-",ENSMUSG00000094002,False,False,False,0.0,,,
(CH3)2C=NC2H558,ENSMUSG00000094002,False,False,False,0.0,,,
(pm)-alpha-Tocopherol acetate,ENSMUSG00000094002,False,False,False,0.0,,,
(pm)-Norketamine,ENSMUSG00000094002,False,False,False,0.0,,,
(pm)-Phenylpropanolamine,ENSMUSG00000094002,False,False,False,0.0,,,
"(R*,S*)-2,3-Dihydroxybutanoic acid",ENSMUSG00000094002,False,False,False,0.0,,,
"1-(1-Hydroxybutyl)-2,5-dimethoxybenzene",ENSMUSG00000094002,False,False,False,0.0,,,
"1-(2,4-Dimethoxyphenyl)-propan-2-one",ENSMUSG00000094002,False,False,False,0.0,,,
"1-(4-Methoxyphenyl)-4,6-dimethyl-2(1H)-pyrimidinone",ENSMUSG00000094002,False,False,False,0.0,,,
1-Aminocyclopropanecarboxylic acid,ENSMUSG00000094002,False,False,False,0.0,,,
"1-Butanamine, N,N-diethyl-",ENSMUSG00000094002,False,False,False,0.0,,,
1-Cyclopentylethanol,ENSMUSG00000094002,False,False,False,0.0,,,
"1-Decanol, 2-methyl-",ENSMUSG00000094002,False,False,False,0.0,,,
"1-Decene, 8-methyl-",ENSMUSG00000094002,False,False,False,0.0,,,
1-Hexadecanol,ENSMUSG00000094002,False,False,False,0.0,,,
"1-Methyl-N,N-bis(trimethylsilyl)-4-[(trimethylsilyl)oxy]-1H-imidazol-2-amine",ENSMUSG00000094002,False,False,False,0.0,,,
1-Monoacetin,ENSMUSG00000094002,False,False,False,0.0,,,
1-Octadecanol,ENSMUSG00000094002,False,False,False,0.0,,,
"1-Octanol, 2-butyl-",ENSMUSG00000094002,False,False,False,0.0,,,
1-Octanol,ENSMUSG00000094002,False,False,False,0.0,,,
"1-Octene, 2-methyl-",ENSMUSG00000094002,False,False,False,0.0,,,
1-Phenethylamine,ENSMUSG00000094002,False,False,False,0.0,,,
"1-Phenyl-1,2-ethanediol",ENSMUSG00000094002,False,False,False,0.0,,,
"1-Propanamine, N,N-diethyl-",ENSMUSG00000094002,False,False,False,0.0,,,
1-Tetradecanol,ENSMUSG00000094002,False,False,False,0.0,,,
"1,1'-Biphenyl, 3,4-diethyl-",ENSMUSG00000094002,False,False,False,0.0,,,
"1,2-Benzenedicarboxylic acid",ENSMUSG00000094002,False,False,False,0.0,,,
"1,2-Butanediol",ENSMUSG00000094002,False,False,False,0.0,,,
"1,2-Dimethoxy-4-(1-methoxyethenyl)benzene",ENSMUSG00000094002,False,False,False,0.0,,,
"1,2,2-Trimethyl-1-aza-spiro[2.3]hexane",ENSMUSG00000094002,False,False,False,0.0,,,
"1,2,3-Butanetriol",ENSMUSG00000094002,False,False,False,0.0,,,
"1,2,3,10,11,11a-Hexahydro-6,7,8-trimethoxy-3-oxo-5H-dibenzo(a,d)cycloheptene",ENSMUSG00000094002,False,False,False,0.0,,,
"1,3-bis[(Trimethylsilyl)ethynyl]benzene",ENSMUSG00000094002,False,False,False,0.0,,,
"1,3-Dioxane-4-methanol, 4,5-dimethyl-",ENSMUSG00000094002,False,False,False,0.0,,,
"1,3,5-Trimethyl-1H-pyrazol-4-amine",ENSMUSG00000094002,False,False,False,0.0,,,
"1,5-Anhydroglucitol",ENSMUSG00000094002,False,False,False,0.0,,,
10-Heptadecenoic acid,ENSMUSG00000094002,False,False,False,0.0,,,
12-Oxooctadecanoate,ENSMUSG00000094002,False,False,False,0.0,,,
13-Docosenamide,ENSMUSG00000094002,False,False,False,0.0,,,
"1H-Pyrazole, 3,4-bis(trimethylsilyl)-",ENSMUSG00000094002,False,False,False,0.0,,,
"2-(2,5-Dimethoxy-phenyl)-propionaldehyde",ENSMUSG00000094002,False,False,False,0.0,,,
2-(Bis[2-(trimethylsilyl)oxyethyl]amino)acetic acid,ENSMUSG00000094002,False,False,False,0.0,,,
2-Amino-4-methylphenol,ENSMUSG00000094002,False,False,False,0.0,,,
2-Aminoadipic acid,ENSMUSG00000094002,False,False,False,0.0,,,
