Metabolite,Gene,AL Consistent,Matt consistent,Consistent differs,Matt,AL,Diff (Matt-AL),Abs Diff
"N,O-Bis(trimethylsilyl)carbamate",ENSMUSG00000056531,False,False,False,0.0,,,
Nitrosothymol,ENSMUSG00000056531,False,False,False,0.0,,,
p-Toluic acid,ENSMUSG00000056531,False,False,False,0.0,,,
"Phenol, 3,5-bis(1,1-dimethylethyl)-",ENSMUSG00000056531,False,False,False,0.0,,,
Phenylpropanolamine,ENSMUSG00000056531,False,False,False,0.0,,,
Pyroglutamic acid,ENSMUSG00000056531,False,False,False,0.0,,,
Sertraline carbamoyl glucuronide,ENSMUSG00000056531,False,False,False,0.0,,,
Adipoyl-L-carnitine,ENSMUSG00000030703,False,False,False,0.0,,,
N-Isobutyrylglycine,ENSMUSG00000027690,False,False,False,0.0,,,
"Octadecanamide, N-(2-methylpropyl)-N-nitroso-",ENSMUSG00000027690,False,False,False,0.0,,,
2-Oxooctanoic acid,ENSMUSG00000023341,False,False,False,0.0,,,
"2-Propenamide, 3-phenyl-N-2-propenyl-",ENSMUSG00000023341,False,False,False,0.0,,,
"2,6-Bis[2-[2-S-thiosulfuroethylamino]ethoxy]pyrazine",ENSMUSG00000023341,False,False,False,0.0,,,
3-Methoxysalicylic acid,ENSMUSG00000023341,False,False,False,0.0,,,
5-Aminovaleric acid,ENSMUSG00000023341,False,False,False,0.0,,,
Mirin,ENSMUSG00000023341,False,False,False,0.0,,,
"Morpholine, 4-[2,3,4,6-tetrakis-O-(trimethylsilyl)-alpha-d-mannopyranosyl]-",ENSMUSG00000023341,False,False,False,0.0,,,
"1-Decene, 8-methyl-",ENSMUSG00000087640,False,False,False,0.0,,,
"1,4-diazabicyclo[4.3.0]nonan-2,5-dione, 3-methyl",ENSMUSG00000087640,False,False,False,0.0,,,
Cadaverine,ENSMUSG00000087640,False,False,False,0.0,,,
Carfentrazone-ethyl,ENSMUSG00000087640,False,False,False,0.0,,,
L-Norleucine,ENSMUSG00000087640,False,False,False,0.0,,,
"1-(4-Methoxyphenyl)-4,6-dimethyl-2(1H)-pyrimidinone",ENSMUSG00000100075,False,False,False,0.0,,,
1-Phenethylamine,ENSMUSG00000100075,False,False,False,0.0,,,
"1,2-Cyclohexanedicarboxylic acid, dinonyl ester",ENSMUSG00000100075,False,False,False,0.0,,,
"1,3-Cyclohexanebis(methylamine)",ENSMUSG00000100075,False,False,False,0.0,,,
2-Isopropyl-5-methyl-1-heptanol,ENSMUSG00000100075,False,False,False,0.0,,,
"2,2-Diallylpyrrolidine",ENSMUSG00000100075,False,False,False,0.0,,,
"5,6-Dimethyl-4-phenyl-3-cyanopyridine-2(1H)-thione",ENSMUSG00000100075,False,False,False,0.0,,,
Adipoyl-L-carnitine,ENSMUSG00000100075,False,False,False,0.0,,,
Arsenous acid,ENSMUSG00000100075,False,False,False,0.0,,,
"Aziridine, 1-(2-buten-2-yl)-",ENSMUSG00000100075,False,False,False,0.0,,,
