Metabolite,Gene,AL Consistent,Matt consistent,Consistent differs,Matt,AL,Diff (Matt-AL),Abs Diff
(6S)-5-Methyltetrahydrofolic acid,ENSMUSG00000078486,False,False,False,1.0,,,
"1-Decanol, 2-methyl-",ENSMUSG00000078486,False,False,False,1.0,,,
"1,3-Dioxane-4-methanol, 4,5-dimethyl-",ENSMUSG00000078486,False,False,False,1.0,,,
"2-Butenoic acid, 2-[(trimethylsilyl)oxy]-",ENSMUSG00000078486,False,False,False,1.0,,,
"2-Propenoic acid, 2-[(trimethylsilyl)oxy]-3-[4-[(trimethylsilyl)oxy]phenyl]-",ENSMUSG00000078486,False,False,False,1.0,,,
3-Methyl-2-butanol,ENSMUSG00000078486,False,False,False,1.0,,,
"4-[2-(4,7-Dimethoxy-2H-1,3-benzodioxol-5-yl)ethenyl]-2-methoxyphenol",ENSMUSG00000078486,False,False,False,1.0,,,
"4-Methylethcathinone, N-acetyl-",ENSMUSG00000078486,False,False,False,1.0,,,
5-Methyluridine,ENSMUSG00000078486,False,False,False,1.0,,,
"7-Keto-3alpha,12-alpha-dihydroxycholanic acid",ENSMUSG00000078486,False,False,False,1.0,,,
8-Hydroxy-5-(hydroxymethyl)quinoline,ENSMUSG00000078486,False,False,False,1.0,,,
"Carbonic diamide, N,N'-dibutyl-N'-methyl-",ENSMUSG00000078486,False,False,False,1.0,,,
"D-(+)-Xylose, tetrakis",ENSMUSG00000078486,False,False,False,1.0,,,
"Methanone, [1-(5-chloropentyl)-1H-indol-3-yl](4-methyl-1-naphthalenyl)-",ENSMUSG00000078486,False,False,False,1.0,,,
"Methyl 2,4-dihydroxybenzoate",ENSMUSG00000078486,False,False,False,1.0,,,
Mitoxantrone,ENSMUSG00000078486,False,False,False,1.0,,,
"Morpholine, 4-(2,6-dimethoxybenzoyl)-2,6-dimethyl-",ENSMUSG00000078486,False,False,False,1.0,,,
N-Acetyl-L-phenylalanine,ENSMUSG00000078486,False,False,False,1.0,,,
Phthalazin-1-one,ENSMUSG00000078486,False,False,False,1.0,,,
"Pyrazine, 3,6-dihydro-3,6-dimethyl-",ENSMUSG00000078486,False,False,False,1.0,,,
Sedoheptulose anhydride,ENSMUSG00000078486,False,False,False,1.0,,,
Thymidine,ENSMUSG00000078486,False,False,False,1.0,,,
"Xylonic acid, 2,3,4-tris-O-(trimethylsilyl)-, delta-lactone",ENSMUSG00000078486,False,False,False,1.0,,,
(6S)-5-Methyltetrahydrofolic acid,ENSMUSG00000025789,False,False,False,1.0,,,
"1,2,3-Butanetriol",ENSMUSG00000025789,False,False,False,1.0,,,
Ecgonine,ENSMUSG00000025789,False,False,False,1.0,,,
"1-Cyclohexanone, 3-butyl-3-methyl-",ENSMUSG00000022439,False,False,False,1.0,,,
"D-(+)-Xylose, tetrakis",ENSMUSG00000022439,False,False,False,1.0,,,
"Gulonic acid, gamma-lactone",ENSMUSG00000022439,False,False,False,1.0,,,
"2-Pentenedioic acid, 3-methyl-",ENSMUSG00000031637,False,False,False,1.0,,,
(6S)-5-Methyltetrahydrofolic acid,ENSMUSG00000086769,False,False,False,1.0,,,
Tetradecanenitrile,ENSMUSG00000086769,False,False,False,1.0,,,
(6S)-5-Methyltetrahydrofolic acid,ENSMUSG00000085184,False,False,False,1.0,,,
(6S)-5-Methyltetrahydrofolic acid,ENSMUSG00000101059,False,False,False,1.0,,,
"1-Cyclohexanone, 3-butyl-3-methyl-",ENSMUSG00000101059,False,False,False,1.0,,,
"1H-Inden-1-one, 2,3-dihydro-7-hydroxy-3-methyl-",ENSMUSG00000101059,False,False,False,1.0,,,
"2-Pentenedioic acid, 3-methyl-",ENSMUSG00000101059,False,False,False,1.0,,,
Arabinaric acid,ENSMUSG00000101059,False,False,False,1.0,,,
"Arabinonic acid, 2,3,5-tris-O-(trimethylsilyl)-, gamma-lactone",ENSMUSG00000101059,False,False,False,1.0,,,
"Gulonic acid, gamma-lactone",ENSMUSG00000101059,False,False,False,1.0,,,
"Methanone, [1-(4-chloropentyl)-1H-indol-3-yl](2,2,3,3-tetramethylcyclopropyl)-",ENSMUSG00000101059,False,False,False,1.0,,,
"Morpholine, 4-[2,3,4,6-tetrakis-O-(trimethylsilyl)-alpha-d-mannopyranosyl]-",ENSMUSG00000101059,False,False,False,1.0,,,
"Pentanedioic acid, 2-[(trimethylsilyl)oxy]-",ENSMUSG00000101059,False,False,False,1.0,,,
"Pentanedioic acid, 2,4-bis[(trimethylsilyl)oxy]",ENSMUSG00000101059,False,False,False,1.0,,,
alpha-D-Mannopyranose,ENSMUSG00000020330,False,False,False,1.0,,,
"Furan-2-carboxaldehyde, 5-(1-piperidyl)-",ENSMUSG00000020330,False,False,False,1.0,,,
L-Norleucine,ENSMUSG00000020330,False,False,False,1.0,,,
"Oxalic acid, allyl octyl ester",ENSMUSG00000020330,False,False,False,1.0,,,
(6S)-5-Methyltetrahydrofolic acid,ENSMUSG00000041649,False,False,False,1.0,,,
"1-Decanol, 2-methyl-",ENSMUSG00000041649,False,False,False,1.0,,,
"1,2,3-Butanetriol",ENSMUSG00000041649,False,False,False,1.0,,,
10-Nonadecenoic acid,ENSMUSG00000041649,False,False,False,1.0,,,
"2-Butenoic acid, 2-[(trimethylsilyl)oxy]-",ENSMUSG00000041649,False,False,False,1.0,,,
